ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score
AA,4673.392235832046,24.693148511285123,2,2,4739.528162765096,4,63.25,0.444858,0.834962,0.054754,4,0,0,0.0,0.0,4656.642605921567,13.190349794810507,2,2,94.96848616933283,103083.0,104005.0,4648.699087320761,LONG,2336.696117916023,12.346574255642562,0.003584,0.46583,99.0,1.0,18576956234.0,6e-06,6e-06,0.001257846596871098,6.646177177855196e-06,0.23111211307897828,0.23714510736469255
AAOI,27713.516749696668,2108.1010223755347,3,1,33787.13605875172,4,63.0,0.116351,0.106916,0.144654,4,0,0,0.0,0.0,21313.32092907887,2108.1010223755347,3,1,3.2601160322782157,283786.0,30275.0,25605.41572732113,LONG,9237.838916565555,2108.1010223755347,0.230941,0.0,13.146199568020423,1.0,11830277890.0,2.4e-05,3e-06,0.007808640678148563,0.0017819539337765586,0.292138800770932,0.18717526412658086
AAPL,117417.62687073319,0.0,1,0,117417.62687073319,1,62.0,0.051417,0.051417,,1,0,0,0.0,0.0,117417.62687073319,0.0,1,0,0.0,118385.0,0.0,117417.62687073319,LONG,117417.62687073319,0.0,0.0,0.0,99.0,1.0,3867012276000.0,0.0,0.0,0.0003036391366002821,0.0,0.05,0.05
ACMR,0.00018183288995816382,0.0002281331449454556,1,3,0.000638099179849075,4,36.0,0.740043,0.120273,0.946634,4,1,0,0.00018183288995816382,0.0,0.00018183288995816382,0.00022651099985073782,1,3,195.68375594974134,51870.0,123032.5,-4.6300254987291766e-05,SHORT,0.00018183288995816382,7.60443816484852e-05,0.0,0.007111,0.797047224337517,1.0,2907199948.0,1.8e-05,4.2e-05,6.254571175376335e-10,2.615725887749816e-10,0.24942506767675093,0.3581383424226826
AG,12682.282160477913,3473.1729594182057,4,2,16399.192149658786,6,82.5,0.829815,0.145665,2.198115,6,0,0,0.0,0.0,7767.083680166086,3379.9748720057323,4,2,27.24174060378203,277809.0,451868.0,9209.109201059708,LONG,3170.570540119478,1736.5864797091028,0.387564,0.026834,3.651497437260462,1.0,10342334499.0,2.7e-05,4.4e-05,0.003065623665939291,0.0016791049253696189,0.32436187012134404,0.4250118091020787
ALB,44651.124372074875,2480.850816263359,2,4,49565.05958981669,6,56.666667,2.740778,2.17699,3.022672,6,1,1,10983.751361288361,11.153753501126927,33667.37301078651,2421.930647977325,2,4,706.3253262513712,486498.0,267130.0,42170.27355581152,LONG,22325.562186037438,620.2127040658397,0.24599,0.02375,17.998310934040003,1.0,25410217576.0,1.9e-05,1.1e-05,0.008786057073011439,0.00024408004465559233,0.37830203795262196,0.41704702861686005
ALK,1.735472363737581e-05,361.59776313360686,1,2,723.1955436219374,3,32.0,1.861565,4.392857,0.595918,3,0,0,0.0,0.0,1.735472363737581e-05,262.726587806715,1,2,41671393.989225596,70110.0,97722.5,-361.5977457788832,SHORT,1.735472363737581e-05,180.79888156680343,0.0,0.273429,4.799455474220787e-08,1.0,4717495668.0,1.5e-05,2.1e-05,3.67880012166146e-11,0.0003832518231934144,0.3775015405800337,0.27758819474586616
AMD,294797.7351960903,85544.27526288753,2,1,465886.28572186537,3,71.666667,0.063775,0.079275,0.032775,3,1,0,68885.83525913086,0.0,225911.89993695944,85544.27526288753,2,1,5.763165227935765,306820.0,88335.0,209253.45993320277,LONG,147398.86759804515,85544.27526288753,0.233672,0.0,3.4461421794753946,1.0,453678121173.0,1e-06,0.0,0.0032489745641015363,0.0018855719786907497,0.21538133333333334,0.18
AMGN,3171.267179421396,1.540047879370838e-06,1,4,6342.5343603828405,5,68.6,3.909723,5.8,3.437154,5,0,3,0.0,4.961544676297606e-07,3171.267179421396,1.0438934117410774e-06,1,4,2.85227001826235e+25,49155.0,1865212.5,3171.2671778813483,LONG,3171.267179421396,3.850119698427095e-07,0.0,0.322168,99.0,1.0,188344854968.0,0.0,1e-05,0.00016837556725190066,2.0441862874784842e-14,0.33,0.4546045946115649
APLD,87379.70357604635,1667.1401700057838,3,4,93461.67776180133,7,36.428571,0.508626,0.448624,0.553626,7,0,1,0.0,222.75485344741156,79472.9377747418,1025.7019689947515,3,4,14.435335164505359,989599.0,264297.5,85712.56340604056,LONG,29126.567858682116,416.78504250144596,0.090487,0.384754,52.4129315267733,1.0,8598805429.0,0.000115,3.1e-05,0.03387280721628027,0.00048470109708008137,0.4672755817253818,0.35122619085540974
