ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score
AA,2272.3763199247537,3.8651422369817565,5,1,4548.617782086489,6,90.0,11.293747,13.485066,0.337151,6,1,0,1039.9336945080477,0.0,1039.9336945080477,3.8651422369817565,5,1,7.8368952489080215,824919.5,109395.0,2268.511177687772,LONG,454.47526398495074,3.8651422369817565,0.542359,0.0,99.0,1.0,394294243.08651024,0.002092,0.000277,0.6122474772872593,0.22893414322100467
AAOI,1515.0578540834224,888.2752757978992,1,5,3291.6084056792206,6,84.833333,7.139394,41.0,0.367273,6,0,0,0.0,0.0,1515.0578540834224,349.3004789312936,1,5,7.656940566811282,304920.0,656096.5,626.7825782855232,LONG,1515.0578540834224,177.65505515957983,0.0,0.606766,1.705617498722467,1.0,1132609116.2982662,0.000269,0.000579,0.3772784877025362,0.3638829513654974
AAP,8.834525536645828,15.429848655259072,1,1,39.69422284716397,2,30.5,69.543401,138.631579,0.455223,2,0,0,0.0,0.0,8.834525536645828,15.429848655259072,1,1,3.4930791905588325,3752500.0,675000.0,-6.595323118613244,SHORT,8.834525536645828,15.429848655259072,0.0,0.0,0.5725607382179144,1.0,79798906.86510544,0.047024,0.008459,0.5800000000000001,0.43
ABVX,0.06881769036106612,16.852712320066992,1,2,33.843060020856115,3,111.0,0.608784,1.15625,0.335052,3,0,0,0.0,0.0,0.06881769036106612,8.537114765933401,1,2,0.9662633998540714,56065.0,55495.0,-16.783894629705927,SHORT,0.06881769036106612,8.426356160033496,0.0,0.493428,0.004083478614841303,0.7,116274821.00659943,0.000482,0.000477,0.1922706930842391,0.19366500003128734
ACHR,1870.6990235250764,0.0,2,0,3741.398047050153,2,56.0,580.96875,580.96875,,2,1,0,961.3978826548499,0.0,961.3978826548499,0.0,2,0,1.0572931666342853,251377.5,0.0,1870.6990235250764,LONG,935.3495117625382,0.0,0.486076,0.0,99.0,1.0,178902341.47694007,0.001405,0.0,0.4550174586299671,0.09581603722081904
AEM,1.1724470457426708,3388.3017414396027,1,3,3939.6146233761847,4,58.5,0.968474,1.378049,0.831949,4,1,1,1.1724470457426708,548.9679878450966,1.1724470457426708,2835.4148977192312,1,3,627.9546428708807,41815.0,607675.0,-3387.12929439386,SHORT,1.1724470457426708,1129.433913813201,0.0,0.163175,0.0003460279323424507,1.0,477319582.55250853,8.8e-05,0.001273,0.24518294000000002,0.39230151750580955
AGNC,0.0,370.57092994673997,0,1,370.57092994673997,1,90.0,0.08687,,0.08687,1,0,0,0.0,0.0,0.0,370.57092994673997,0,1,0.0,0.0,72000.0,-370.57092994673997,SHORT,0.0,370.57092994673997,0.0,0.0,0.0,1.0,216799154.325,0.0,0.000332,0.05,0.10944617789869021
AGRO,4.677597608074335,0.0,1,0,4.677597608074335,1,92.0,4.170492,4.170492,,1,0,0,0.0,0.0,4.677597608074335,0.0,1,0,0.0,120000.0,0.0,4.677597608074335,LONG,4.677597608074335,0.0,0.0,0.0,99.0,0.7,26333546.682755426,0.004557,0.0,0.42155706475975463,0.02857142857142857
ALAB,0.08168588793833355,29.705830644889577,1,3,50.6822880260853,4,54.25,1.943465,3.0,1.591286,4,0,1,0.0,20.81308560531906,0.08168588793833355,20.81308560531906,1,3,22.792649161265302,46460.0,406490.0,-29.624144756951242,SHORT,0.08168588793833355,9.901943548296526,0.0,0.29936,0.002749826756734248,1.0,562772275.9501362,8.3e-05,0.000722,0.33,0.4079887478084649
AMZN,5798.291208463484,5063.4272167997615,4,6,13426.560903025984,10,85.6,0.077371,0.133399,0.040019,10,0,0,0.0,0.0,2903.173353294907,1905.1425726751775,4,6,1.7589502846091978,652752.5,717358.0,734.8639916637221,LONG,1449.572802115871,843.9045361332936,0.499305,0.623744,1.1451317378919843,1.0,9433033421.53916,6.9e-05,7.6e-05,0.19474296471401759,0.23029813138068428
ARCC,0.0,0.003532680169858694,0,1,0.007065360339717388,1,94.0,1.085189,,1.085189,1,0,1,0.0,0.003532680169858694,0.0,0.003532680169858694,0,1,0.0,0.0,29134.0,-0.003532680169858694,SHORT,0.0,0.003532680169858694,0.0,0.0,0.0,0.7,164702217.40215418,0.0,0.000177,0.02857142857142857,0.1013242070045678
ARKK,440.0057011455275,364.0134271299741,1,1,1608.038256551003,2,90.0,0.480355,0.790909,0.169802,2,0,0,0.0,0.0,440.0057011455275,364.0134271299741,1,1,1.2087622827946392,44460.0,36874.0,75.99227401555339,LONG,440.0057011455275,364.0134271299741,0.0,0.0,1.2087622827946392,1.0,787183774.7776676,5.6e-05,4.7e-05,0.11983423892110104,0.10237969892110103
ASTS,0.0,1439.7705262709976,0,2,2018.691550644347,2,73.0,0.191194,,0.191194,2,0,0,0.0,0.0,0.0,860.8495018976482,0,2,1.3449993828123998,0.0,167660.0,-1439.7705262709976,SHORT,0.0,719.8852631354988,0.0,0.402093,0.0,1.0,1142455282.8959007,0.0,0.000147,0.10828330658853733,0.15948769730115323
AVGO,8942.639169192562,2587.1832180943807,4,4,14117.005605381324,8,80.875,0.120806,0.065681,0.17593,8,0,0,0.0,0.0,4532.230595214974,1009.0416107336644,4,4,0.5786173788622133,1768487.0,368303.0,6355.455951098182,LONG,2235.6597922981405,646.7958045235952,0.493189,0.609984,3.4565156061036006,1.0,9252010792.059778,0.000191,4e-05,0.17210579603593215,0.1515008483221245
