ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,bullish_score,bearish_score
ALAB,0.0,679.6131323885821,0,2,679.6131323885821,2,44.0,1.65,,1.65,2,0,0,0.0,0.0,0.0,529.3041945313757,0,2,-679.6131323885821,SHORT,0.0,339.80656619429107,0.0,0.78,0.0,1.0,0.05,0.4115173449850469
AMAT,185696.2372040305,0.0,1,0,185696.2372040305,1,90.0,0.54,0.54,,1,0,0,0.0,0.0,185696.2372040305,0.0,1,0,185696.2372040305,LONG,185696.2372040305,0.0,1.0,0.0,inf,1.0,0.5695978564568422,0.05
BMNR,42186.7805479758,0.0,1,0,42186.7805479758,1,90.0,0.42,0.42,,1,0,0,0.0,0.0,42186.7805479758,0.0,1,0,42186.7805479758,LONG,42186.7805479758,0.0,1.0,0.0,inf,1.0,0.5152407604253855,0.05
CIA,0.0,115546.3157245414,0,1,115546.3157245414,1,56.0,0.22,,0.22,1,0,0,0.0,0.0,0.0,115546.3157245414,0,1,-115546.3157245414,SHORT,0.0,115546.3157245414,0.0,1.0,0.0,1.0,0.05,0.5551374602316758
CMG,0.0,124883.26170972246,0,3,124883.26170972246,3,54.0,37.62,,37.62,3,0,2,0.0,124447.27962429894,0.0,102771.8848356205,0,3,-124883.26170972246,SHORT,0.0,41627.75390324082,0.0,0.82,0.0,1.0,0.05,0.8363652923119902
CRM,2783.961950192312,583.9264388486586,1,3,3367.8883890409707,4,44.0,6.82,0.93,8.79,4,0,0,0.0,0.0,2783.961950192312,247.8725020300962,1,3,2200.0355113436535,LONG,2783.961950192312,194.6421462828862,1.0,0.42,4.7676586723518035,1.0,0.42443401452775054,0.4526471622854
GLNG,231947.80898575322,0.0,5,0,231947.80898575322,5,83.6,16.44,16.44,,5,1,0,82542.65518977543,0.0,82542.65518977543,0.0,5,0,231947.80898575322,LONG,46389.56179715064,0.0,0.36,0.0,inf,1.0,0.8894066925384986,0.05
HIMS,0.0,45808.18900253234,0,1,45808.18900253234,1,119.0,0.63,,0.63,1,0,0,0.0,0.0,0.0,45808.18900253234,0,1,-45808.18900253234,SHORT,0.0,45808.18900253234,0.0,1.0,0.0,0.7,0.0,0.47413456330670567
HOOD,7.369476987545309,53638.243951567434,1,3,53645.61342855498,4,54.25,0.43,0.96,0.26,4,0,0,0.0,0.0,7.369476987545309,52600.27532123675,1,3,-53630.87447457989,SHORT,7.369476987545309,17879.414650522478,1.0,0.98,0.00013739221206047624,1.0,0.21751284914519048,0.6144456735795526
HPQ,0.0,1.3341028724385666,0,1,1.3341028724385666,1,32.0,1.0,,1.0,1,0,0,0.0,0.0,0.0,1.3341028724385666,0,1,-1.3341028724385666,SHORT,0.0,1.3341028724385666,0.0,1.0,0.0,1.0,0.05,0.1821075267925672
