ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score
AA,33370.29453443291,56.76037623461467,5,1,66797.34944510044,6,90.0,11.293747,13.485066,0.337151,6,1,0,15271.631453703789,0.0,15271.631453703789,56.76037623461467,5,1,0.0,33313.5341581983,LONG,6674.058906886583,56.76037623461467,0.457641,1.0,99.0,1.0,394294243.08651024,8.5e-05,0.0,0.40029355135927136,0.22739613980123927
AAOI,22248.923465785727,13044.497656977901,1,5,48337.91877974153,6,84.833333,7.139394,41.0,0.367273,6,0,0,0.0,0.0,22248.923465785727,5129.546440328035,1,5,0.0,9204.425808807826,LONG,22248.923465785727,2608.89953139558,1.0,0.393234,1.7056174987224668,1.0,1132609116.2982662,2e-05,1.2e-05,0.3237671041983315,0.2890426028136245
AAP,129.7367503106183,226.590371380375,1,1,582.9174930713683,2,30.5,69.543401,138.631579,0.455223,2,0,0,0.0,0.0,129.7367503106183,226.590371380375,1,1,0.0,-96.85362106975668,SHORT,129.7367503106183,226.590371380375,1.0,1.0,0.5725607382179119,1.0,79798906.86510544,2e-06,3e-06,0.2723035451303888,0.2480461530967883
ABVX,1.0106013587591984,247.48540498931249,1,2,496.9920126961434,3,111.0,0.608784,1.15625,0.335052,3,0,0,0.0,0.0,1.0106013587591984,125.36921447187383,1,2,0.0,-246.47480363055328,SHORT,1.0106013587591984,123.74270249465624,1.0,0.506572,0.0040834786148413104,0.7,116274821.00659943,0.0,2e-06,0.13557621930189515,0.1725203166076249
ACHR,27471.584197099437,0.0,2,0,54943.168394198874,2,56.0,580.96875,580.96875,,2,1,0,14118.317563718876,0.0,14118.317563718876,0.0,2,0,0.0,27471.584197099437,LONG,13735.792098549719,0.0,0.513924,0.0,99.0,1.0,178902341.47694007,0.000154,0.0,0.5827057455880995,0.115
AEM,17.21761615776488,49757.87949027542,1,3,57854.017920137245,4,58.5,0.968474,1.378049,0.831949,4,1,1,17.21761615776488,8061.703197546288,17.21761615776488,41638.627121119986,1,3,0.0,-49740.66187411766,SHORT,17.21761615776488,16585.959830091808,1.0,0.836825,0.0003460279323424515,1.0,477319582.55250853,0.0,0.000104,0.23175428784373342,0.4005779851203865
AGNC,0.0,5441.907209555368,0,1,5441.907209555368,1,90.0,0.08687,,0.08687,1,0,0,0.0,0.0,0.0,5441.907209555368,0,1,0.0,-5441.907209555368,SHORT,0.0,5441.907209555368,0.0,1.0,0.0,1.0,216799154.325,0.0,2.5e-05,0.115,0.30684222531730276
AGRO,68.69144363384676,0.0,1,0,68.69144363384676,1,92.0,4.170492,4.170492,,1,0,0,0.0,0.0,68.69144363384676,0.0,1,0,0.0,68.69144363384676,LONG,68.69144363384676,0.0,1.0,0.0,99.0,0.7,26333546.682755426,3e-06,0.0,0.18100824940046262,0.065
ALAB,1.199573378717101,436.23598315034974,1,3,744.2793978619852,4,54.25,1.943465,3.0,1.591286,4,0,1,0.0,305.6442679542012,1.199573378717101,305.6442679542012,1,3,0.0,-435.03640977163263,SHORT,1.199573378717101,145.41199438344992,1.0,0.70064,0.002749826756734245,1.0,562772275.9501362,0.0,1e-06,0.18711689672367837,0.25340093696283317
AMZN,85149.05023708679,74357.42755137802,4,6,197171.6955461474,10,85.6,0.077371,0.133399,0.040019,10,0,0,0.0,0.0,42633.673408098286,27977.394511118244,4,6,0.0,10791.622685708775,LONG,21287.262559271698,12392.904591896337,0.500695,0.376256,1.1451317378919839,1.0,9433033421.53916,9e-06,8e-06,0.314077762431215,0.3138267872504866
ARCC,0.0,0.05187810519343858,0,1,0.10375621038687716,1,94.0,1.085189,,1.085189,1,0,1,0.0,0.05187810519343858,0.0,0.05187810519343858,0,1,0.0,-0.05187810519343858,SHORT,0.0,0.05187810519343858,0.0,1.0,0.0,0.7,164702217.40215418,0.0,0.0,0.065,0.1353731002858138
ARKK,6461.5705221493145,5345.608987079137,1,1,23614.359018456904,2,90.0,0.480355,0.790909,0.169802,2,0,0,0.0,0.0,6461.5705221493145,5345.608987079137,1,1,0.0,1115.961535070178,LONG,6461.5705221493145,5345.608987079137,1.0,1.0,1.208762282794639,1.0,787183774.7776676,8e-06,7e-06,0.2882067287114936,0.29309420891526755
ASTS,0.0,21143.314204774677,0,2,29644.883652635315,2,73.0,0.191194,,0.191194,2,0,0,0.0,0.0,0.0,12641.744756914039,0,2,0.0,-21143.314204774677,SHORT,0.0,10571.657102387338,0.0,0.597907,0.0,1.0,1142455282.8959007,0.0,1.9e-05,0.115,0.29914989436560285
AVGO,131324.4203323655,37993.29593665644,4,4,207311.01220567836,8,80.875,0.120806,0.065681,0.17593,8,0,0,0.0,0.0,66556.70037315824,14817.975109332221,4,4,0.0,93331.12439570905,LONG,32831.105083091374,9498.32398416411,0.506811,0.390016,3.4565156061036006,1.0,9252010792.059778,1.4e-05,4e-06,0.32388684064660905,0.2920211490341857
BA,41424.088656118874,42503.05318373071,10,7,95234.00422944513,17,68.235294,4.834135,2.803661,7.734813,17,5,1,11304.153319017467,598.3775560411601,23493.780537537823,40715.49556438611,10,7,0.0,-1078.964527611839,SHORT,4142.408865611887,6071.864740532959,0.567153,0.957943,0.9746144230404407,1.0,1440513031.847644,2.9e-05,3e-05,0.48823688592473236,0.3732091928078777
BRKB,0.0,218479.0096687862,0,5,436958.0193375724,5,71.8,1.091648,,1.091648,5,0,2,0.0,200333.6937975816,0.0,192939.8322819737,0,5,0.0,-218479.0096687862,SHORT,0.0,43695.80193375724,0.0,0.883105,0.0,1.0,,0.0,0.0,0.115,0.3647765757270652
CAH,0.0,11572.561862332786,0,1,23145.123724665573,1,35.0,41.916667,,41.916667,1,0,1,0.0,11572.561862332786,0.0,11572.561862332786,0,1,0.0,-11572.561862332786,SHORT,0.0,11572.561862332786,0.0,1.0,0.0,1.0,381146444.2290329,0.0,3e-05,0.115,0.3543895697694365
CDE,4698.210866198121,0.0,2,0,4698.210866198121,2,57.5,0.086359,0.086359,,2,0,0,0.0,0.0,4696.109546100632,0.0,2,0,0.0,4698.210866198121,LONG,2349.1054330990605,0.0,0.999553,0.0,99.0,1.0,362152239.70116854,1.3e-05,0.0,0.29239956241650966,0.115
CEG,179.87866370887,40.87909115192878,4,1,220.75775486079877,5,66.0,0.339706,0.403799,0.083333,5,2,0,114.27291150048956,0.0,78.09192171874973,40.87909115192878,4,1,0.0,138.99957255694122,LONG,44.9696659272175,40.87909115192878,0.434137,1.0,4.400260833596905,1.0,936814075.3205932,0.0,0.0,0.27017952213921914,0.22296188596976652
CMG,0.331414966501435,23997.06328311109,1,3,23997.72611304409,4,50.25,143.285276,460.269231,37.623958,4,0,2,0.0,23913.286726101156,0.331414966501435,19748.230390214005,1,3,0.0,-23996.731868144587,SHORT,0.331414966501435,7999.021094370363,1.0,0.822944,1.3810646852553903e-05,1.0,561417946.5549946,0.0,4.3e-05,0.299229139652483,0.37518340399829625
COIN,5191.512355115193,40000.41778549273,1,2,90383.86028121585,3,67.333333,0.46787,0.0443,0.679654,3,0,0,0.0,0.0,5191.512355115193,35497.54922749027,1,2,0.0,-34808.90543037754,SHORT,5191.512355115193,20000.208892746366,1.0,0.887429,0.12978645330544622,1.0,2580078419.5,2e-06,1.6e-05,0.2801575212111876,0.32015145304427445
CORZ,1010.6997532101079,264.9696823914964,1,2,1494.312525110314,3,48.333333,5.307531,15.649452,0.13657,3,0,1,0.0,218.6430895087097,1010.6997532101079,218.6430895087097,1,2,0.0,745.7300708186115,LONG,1010.6997532101079,132.4848411957482,1.0,0.825163,3.814397723120583,1.0,203396181.87138283,5e-06,1e-06,0.26743357474642043,0.24960608552508382
COST,4639.5704332025425,86.22473518465519,3,3,4774.263711792872,6,71.5,0.218692,0.085028,0.352355,6,1,1,0.07262628145026487,4.424364019122731,4604.592598924579,48.468543405673714,3,3,0.0,4553.345698017887,LONG,1546.523477734181,28.741578394885064,0.992461,0.562119,53.807882659965706,1.0,1841358769.4505463,3e-06,0.0,0.31032096238002266,0.22375003904602564
CRK,19.410579040583713,153.41509396780185,1,1,326.2407669761874,2,57.5,0.349396,0.507968,0.190824,2,0,0,0.0,0.0,19.410579040583713,153.41509396780185,1,1,0.0,-134.00451492721814,SHORT,19.410579040583713,153.41509396780185,1.0,1.0,0.1265232679429674,1.0,44342221.54780731,0.0,3e-06,0.21287676692685398,0.24271890152475045
