ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score
TSLA,0.0,318482.47126076685,0,2,318482.47126076685,2,49.0,0.205343,,0.205343,2,0,0,0.0,0.0,0.0,159252.51064992842,0,2,1.0001416193221646,0.0,320000.0,-318482.47126076685,SHORT,0.0,159241.23563038342,0.0,0.499965,0.0,1.0,1396317465566.0,0.0,0.0,0.09333947017062713,0.2759743700635956
TTD,0.0,118.4302322164072,0,2,212.63436646577983,2,68.5,0.304207,,0.304207,2,0,2,0.0,118.4302322164072,0.0,94.20413424937263,0,2,7.777078618072128,0.0,162762.5,-118.4302322164072,SHORT,0.0,59.2151161082036,0.0,0.20456,0.0,1.0,9410559407.0,0.0,1.7e-05,0.18,0.27961268346339135
U,0.0,131893.2758759535,0,3,190346.46469507794,3,61.666667,0.18615,,0.18615,3,0,1,0.0,73440.08705682904,0.0,73440.08705682904,0,3,121254.95435994348,0.0,282039.5,-131893.2758759535,SHORT,0.0,43964.425291984495,0.0,0.443186,0.0,1.0,7417077776.0,0.0,3.8e-05,0.18,0.4462937981473915
UBER,160411.82036475718,1649.096018337935,4,1,322453.5149358965,5,74.2,0.582315,0.113649,2.456979,5,0,0,0.0,0.0,121369.76148911497,1649.096018337935,4,1,16774.396392277526,444590.0,610375.0,158762.72434641924,LONG,40102.955091189295,1649.096018337935,0.243386,0.0,97.2725775703652,1.0,145200082601.0,3e-06,4e-06,0.32207482575731033,0.3081295557453726
UNG,20.552878751898202,2497.7534645678975,1,1,5016.059807887693,2,114.0,0.254747,0.190256,0.319238,2,0,0,0.0,0.0,20.552878751898202,2497.7534645678975,1,1,243.0563129106391,66669.0,35000.0,-2477.200585815999,SHORT,20.552878751898202,2497.7534645678975,0.0,0.0,0.008228545788626812,0.7,822871397.0,8.1e-05,4.3e-05,0.3720444981102251,0.2858129818543105
UNH,31000.993367439034,23993.334342801907,4,6,86510.2003329444,10,66.6,0.063919,0.080079,0.053146,10,1,4,5218.025579998767,15996.986295688592,18524.059355648402,13709.139650836863,4,6,2.2903632106419503,237923.5,559475.0,7007.659024637127,LONG,7750.2483418597585,3998.889057133651,0.402469,0.428627,1.2920669101057833,1.0,243302508644.0,1e-06,2e-06,0.24117401318338116,0.2929943150473863
UPRO,0.0,1346.0175829962018,0,3,2544.3377559141386,3,74.0,20.05822,,20.05822,3,0,1,0.0,147.69741007826502,0.0,1197.9680674984097,0,3,3612.0340727659445,0.0,121605.0,-1346.0175829962018,SHORT,0.0,448.6725276654006,0.0,0.109991,0.0,1.0,95.2168,0.0,0.0,0.18,0.36988030952380957
VLO,46.09942602712068,25019.283887619316,2,4,43042.266929800346,6,62.666667,0.639746,0.262964,0.828136,6,0,3,0.0,25005.67725459698,45.242368297127214,17963.276983131575,2,4,586.1052571313562,334500.0,275511.5,-24973.184461592195,SHORT,23.04971301356034,6254.820971904829,0.018592,0.282023,0.0018425557755445102,1.0,74200367720.0,5e-06,4e-06,0.2075458671487826,0.3100044533820644
VRT,579681.0529279561,19.330125857933396,7,3,602959.9949638,10,55.8,259.784278,368.965777,5.027447,10,0,0,0.0,0.0,479300.9618285281,12.616252683390325,7,3,8823.570945216996,1911477.0,752360.0,579661.7228020981,LONG,82811.57898970801,6.443375285977798,0.173164,0.347327,99.0,1.0,96567852314.0,2e-05,8e-06,0.592445271888658,0.39885389210448186
XLE,519139.5795396504,114142.05890477881,7,2,826689.444346553,9,81.888889,0.144408,0.145991,0.138871,9,0,0,0.0,0.0,261088.48146193157,69664.19227218267,7,2,1.7754306770059263,614663.5,141800.0,404997.5206348716,LONG,74162.79707709291,57071.029452389404,0.497075,0.389671,4.5481883235761,1.0,61.535482,0.0,0.0,0.3449563640093573,0.25996532443597176
XLF,0.0,132486.90895056544,0,1,132486.90895056544,1,49.0,0.204267,,0.204267,1,0,0,0.0,0.0,0.0,132486.90895056544,0,1,0.0,0.0,133030.0,-132486.90895056544,SHORT,0.0,132486.90895056544,0.0,0.0,0.0,1.0,49.044199,0.0,0.0,0.05,0.18325293279888138
XLI,51527.472464031234,0.0005466835360758801,3,2,103054.945474746,5,69.2,36.930162,0.357641,146.647727,5,0,1,0.0,0.0003131669755344802,51502.563280249255,0.0003131669755344802,3,2,188509326.01299036,229048.5,125001.0,51527.4719173477,LONG,17175.824154677077,0.0002733417680379401,0.000483,0.427151,99.0,1.0,161.260588,0.0,0.0,0.2568440330926426,0.3792012619047619
XLV,1909.7698841311358,258.5393502581886,2,1,4078.0791185204603,3,69.0,54.354865,81.519314,0.025966,3,0,1,0.0,258.5393502581886,1899.3357151105508,258.5393502581886,2,1,194.41944885477025,77670.0,88200.0,1651.230533872947,LONG,954.8849420655679,258.5393502581886,0.005464,0.0,7.3867667812422235,1.0,145.742962,0.0,0.0,0.3433333333333333,0.1925
XOP,31369.83115159075,0.0,3,0,46314.00413874911,3,61.333333,1.661749,1.661749,,3,1,0,14944.172987158354,0.0,14944.172987158354,0.0,3,0,0.5495673189325061,512685.0,0.0,31369.83115159075,LONG,10456.610383863585,0.0,0.523613,0.0,99.0,1.0,185.283411,0.0,0.0,0.2429424398227754,0.0738145838204086
YPF,3028.851365110026,17049.078785899503,1,4,37127.008936909035,5,101.4,7.377871,27.272727,2.404157,5,0,0,0.0,0.0,3028.851365110026,17024.184934295776,1,4,1070.7105323399585,62392.0,144060.0,-14020.227420789477,SHORT,3028.851365110026,4262.269696474876,0.0,0.00146,0.17765484007353216,0.7,17179902798.0,4e-06,8e-06,0.3192822443168012,0.3373418597235294
ZS,46415.41813977705,154402.96178928137,2,3,207564.78366351177,5,70.0,0.328465,0.287438,0.355816,5,1,0,2779.1639503317497,0.0,43636.2541894453,143900.48640450437,2,3,16.163244203486812,105935.0,295768.0,-107987.54364950431,SHORT,23207.709069888526,51467.653929760454,0.059876,0.06802,0.3006122266172695,1.0,22751884475.0,5e-06,1.3e-05,0.28246200971323,0.34255179183843276
