ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score
AA,0.01565922051635383,0.0,5,0,0.03131844103270766,5,102.0,13.485066,13.485066,,5,1,0,0.0071663090756144375,0.0,0.0071663090756144375,0.0,5,0,7.896188223008359,824919.5,0.0,0.01565922051635383,LONG,0.003131844103270766,0.0,0.542359,0.0,99.0,0.7,402801166.2353134,0.002048,0.0,0.589253669239906,0.15857142857142859
AAPL,2074924.187289068,910158.2261927386,17,5,3498401.5093602547,22,62.681818,0.532016,0.641886,0.15846,22,3,0,283533.4110697275,0.0,408648.14865613956,640799.1482084893,17,5,1.374456624359977,3324250.0,1187205.0,1164765.9610963294,LONG,122054.36395818047,182031.64523854773,0.803054,0.295948,2.279740079885488,1.0,10432780133.648071,0.000319,0.000114,0.5125782835021644,0.3282840664317071
ADBE,134220.13132894813,17964.76862517237,5,6,201349.62560030213,11,90.272727,0.452476,0.511848,0.402998,11,1,2,111.28091530196119,16705.91965227509,101392.64794704653,16337.242264280012,5,6,134.91748158203464,469669.0,765257.5,116255.36270377575,LONG,26844.026265789627,2994.1281041953953,0.244579,0.090595,7.471297522912589,0.7,1596578620.0,0.000294,0.000479,0.3561165043576443,0.3322920199117978
ADMA,471133.27636371786,0.0,1,0,471133.27636371786,1,84.0,2001.2,2001.2,,1,0,0,0.0,0.0,471133.27636371786,0.0,1,0,0.0,822780.0,0.0,471133.27636371786,LONG,471133.27636371786,0.0,0.0,0.0,99.0,1.0,65356355.12668133,0.012589,0.0,0.6000000000000001,0.05
AMD,19459.47512067254,0.0,1,0,38918.95024134508,1,84.0,0.031864,0.031864,,1,0,0,0.0,0.0,19459.47512067254,0.0,1,0,0.0,27210.0,0.0,19459.47512067254,LONG,19459.47512067254,0.0,0.0,0.0,99.0,1.0,7216387859.822464,4e-06,0.0,0.1052533406750763,0.05
APD,0.0,0.0062660618449171855,0,2,0.012532123689834371,2,90.0,1.459079,,1.459079,2,0,0,0.0,0.0,0.0,0.00394598353171519,0,2,0.5879594515675876,0.0,178500.0,-0.0062660618449171855,SHORT,0.0,0.0031330309224585928,0.0,0.370261,0.0,1.0,439701011.04919434,0.0,0.000406,0.07547824290126212,0.23731175856924652
APP,232.32474820318976,75472.8999150638,1,2,109863.0301291852,3,94.333333,0.154509,0.059659,0.201935,3,0,0,0.0,0.0,232.32474820318976,41315.094449145596,1,2,471.88560938458295,70760.0,117065.0,-75240.57516686061,SHORT,232.32474820318976,37736.4499575319,0.0,0.452584,0.0030782538959632524,0.7,2199264740.645447,3.2e-05,5.3e-05,0.15857142857142859,0.2792737173889133
ASTS,1238.1517744913072,23540.613213411736,1,2,49557.52997580609,3,62.0,0.155023,0.087379,0.188845,3,0,0,0.0,0.0,1238.1517744913072,17890.636130621075,1,2,19.0127040144843,27150.0,137947.5,-22302.46143892043,SHORT,1238.1517744913072,11770.306606705868,0.0,0.24001,0.05259641128574756,1.0,1287655449.2736816,2.1e-05,0.000107,0.18,0.2407998190025294
BA,20.137621445495057,72079.7210179813,3,7,140585.40130106083,10,80.4,0.228673,0.25203,0.218663,10,0,3,0.0,68029.90492011532,12.336490722427127,66369.76829848604,3,7,4067.8835392437827,258009.0,1622952.0,-72059.5833965358,SHORT,6.712540481831685,10297.103002568756,0.387391,0.079217,0.0002793798472176584,1.0,1502004373.5427094,0.000172,0.001081,0.25092994781242006,0.46395062144678395
BABA,136300.8541492609,106012.68834205244,6,7,292435.27157425776,13,72.692308,0.545325,0.27542,0.776672,13,1,1,9563.724806529519,43372.53442717389,103425.0037291397,48829.91792511878,6,7,9.187868374210431,980020.0,527794.0,30288.16580720847,LONG,22716.809024876817,15144.669763150348,0.241201,0.539396,1.2857032142179339,1.0,1693675515.371704,0.000579,0.000312,0.4251512891869671,0.42133268947707886
BMNR,460.5004691653771,36094.003363490236,2,1,73109.00766531122,3,62.666667,1.809988,2.56127,0.307424,3,0,0,0.0,0.0,232.88999000574103,36094.003363490236,2,1,155.9603907482434,150026.0,52920.0,-35633.50289432486,SHORT,230.25023458268856,36094.003363490236,0.494268,0.0,0.012758364998413615,1.0,999306306.0314941,0.00015,5.3e-05,0.36239642572463304,0.26037485584159276
