ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score
ALAB,0.0,536.2291800419035,0,2,536.2291800419035,2,44.0,1.653596,,1.653596,2,0,0,0.0,0.0,0.0,417.63223913692025,0,2,-536.2291800419035,SHORT,0.0,268.11459002095177,0.0,0.778832,0.0,1.0,562772275.9501362,0.0,1e-06,0.05,0.26175994010772635
AMAT,146518.27086214954,0.0,1,0,146518.27086214954,1,90.0,0.538188,0.538188,,1,0,0,0.0,0.0,146518.27086214954,0.0,1,0,146518.27086214954,LONG,146518.27086214954,0.0,1.0,0.0,inf,1.0,2529371657.304361,5.8e-05,0.0,0.29880225027895846,0.05
BMNR,33286.26488181861,0.0,1,0,33286.26488181861,1,90.0,0.42315,0.42315,,1,0,0,0.0,0.0,33286.26488181861,0.0,1,0,33286.26488181861,LONG,33286.26488181861,0.0,1.0,0.0,inf,1.0,977961590.406112,3.4e-05,0.0,0.27289002533492723,0.05
CIA,0.0,91168.49452286235,0,1,91168.49452286235,1,56.0,0.217389,,0.217389,1,0,0,0.0,0.0,0.0,91168.49452286235,0,1,-91168.49452286235,SHORT,0.0,91168.49452286235,0.0,1.0,0.0,1.0,713209.6161285877,0.0,0.127828,0.05,0.5901250156050069
CMG,0.0,98535.54299664976,0,3,98535.54299664976,3,54.0,37.623958,,37.623958,3,0,2,0.0,98191.54388150915,0.0,81089.19753077393,0,3,-98535.54299664976,SHORT,0.0,32845.180998883254,0.0,0.822944,0.0,1.0,561417946.5549946,0.0,0.000176,0.05,0.5699332567823749
CRM,2196.6050428906674,460.73034876196806,1,3,2657.3353916526357,4,44.0,6.823191,0.934653,8.786037,4,0,0,0.0,0.0,2196.6050428906674,195.57666293378205,1,3,1735.8746941286993,LONG,2196.6050428906674,153.57678292065603,1.0,0.424493,4.767658672351802,1.0,2818850071.0199037,1e-06,0.0,0.23698274828800664,0.3064711370199643
GLNG,183011.74226549742,0.0,5,0,183011.74226549742,5,83.6,16.43556,16.43556,,5,1,0,65127.906159393235,0.0,65127.906159393235,0.0,5,0,183011.74226549742,LONG,36602.34845309948,0.0,0.355867,0.0,inf,1.0,156350828.99401626,0.001171,0.0,0.8980004136679832,0.05
HIMS,0.0,36143.63298381307,0,1,36143.63298381307,1,119.0,0.633262,,0.633262,1,0,0,0.0,0.0,0.0,36143.63298381307,0,1,-36143.63298381307,SHORT,0.0,36143.63298381307,0.0,1.0,0.0,0.7,1103238451.7217174,0.0,3.3e-05,0.0,0.23001790723419857
HOOD,5.8146736930763625,42321.71246006934,1,3,42327.52713376242,4,54.25,0.430927,0.957845,0.255288,4,0,0,0.0,0.0,5.8146736930763625,41502.73318932565,1,3,-42315.89778637626,SHORT,5.8146736930763625,14107.23748668978,1.0,0.980649,0.00013739221206047662,1.0,1916649833.3274515,0.0,2.2e-05,0.1654357436866071,0.3665121248510308
HPQ,0.0,1.0526354705139003,0,1,1.0526354705139003,1,32.0,0.999305,,0.999305,1,0,0,0.0,0.0,0.0,1.0526354705139003,0,1,-1.0526354705139003,SHORT,0.0,1.0526354705139003,0.0,1.0,0.0,1.0,358721314.5704355,0.0,0.0,0.05,0.1614772796666672
IWM,0.0,134922.6505747314,0,1,134922.6505747314,1,56.0,0.517895,,0.517895,1,0,1,0.0,134922.6505747314,0.0,134922.6505747314,0,1,-134922.6505747314,SHORT,0.0,134922.6505747314,0.0,1.0,0.0,1.0,12309687908.195473,0.0,1.1e-05,0.05,0.34574944462660867
LEU,0.0,63228.907852793476,0,1,63228.907852793476,1,90.0,0.772152,,0.772152,1,0,0,0.0,0.0,0.0,63228.907852793476,0,1,-63228.907852793476,SHORT,0.0,63228.907852793476,0.0,1.0,0.0,1.0,143239854.59089205,0.0,0.000441,0.05,0.288182535521265
NEM,234023.2445373668,0.0,2,0,234023.2445373668,2,90.0,0.473432,0.473432,,2,0,0,0.0,0.0,117096.27938339897,0.0,2,0,234023.2445373668,LONG,117011.6222686834,0.0,0.500362,0.0,inf,1.0,1041712104.1442688,0.000225,0.0,0.34302978896975067,0.05
NFLX,180810.99734656652,0.0,1,0,180810.99734656652,1,90.0,0.26066,0.26066,,1,0,0,0.0,0.0,180810.99734656652,0.0,1,0,180810.99734656652,LONG,180810.99734656652,0.0,1.0,0.0,inf,1.0,5013415483.062258,3.6e-05,0.0,0.29239478929587387,0.05
NOW,262.6659525076879,0.0,1,0,262.6659525076879,1,58.0,0.415313,0.415313,,1,0,0,0.0,0.0,262.6659525076879,0.0,1,0,262.6659525076879,LONG,262.6659525076879,0.0,1.0,0.0,inf,1.0,1996466267.387992,0.0,0.0,0.20413171357726323,0.05
ORCL,52120.34471451763,87517.25719702087,1,1,139637.6019115385,2,49.0,0.320032,0.592157,0.047907,2,0,0,0.0,0.0,52120.34471451763,87517.25719702087,1,1,-35396.912482503234,SHORT,52120.34471451763,87517.25719702087,1.0,1.0,0.595543626295133,1.0,4574635010.135596,1.1e-05,1.9e-05,0.2746105070339043,0.2892138559631114
