ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score
ALAB,0.0,184.17300216909666,0,2,184.17300216909666,2,44.0,1.653596,,1.653596,2,0,0,0.0,0.0,0.0,143.4397570054619,0,2,-184.17300216909666,SHORT,0.0,92.08650108454833,0.0,0.778832,0.0,1.0,562772275.9501362,0.0,0.0,0.05,0.2540681412867993
AMAT,50323.09098732415,0.0,1,0,50323.09098732415,1,90.0,0.538188,0.538188,,1,0,0,0.0,0.0,50323.09098732415,0.0,1,0,50323.09098732415,LONG,50323.09098732415,0.0,1.0,0.0,99.0,1.0,2529371657.304361,2e-05,0.0,0.2986162299502114,0.05
BMNR,11432.483651488785,0.0,1,0,11432.483651488785,1,90.0,0.42315,0.42315,,1,0,0,0.0,0.0,11432.483651488785,0.0,1,0,11432.483651488785,LONG,11432.483651488785,0.0,1.0,0.0,99.0,1.0,977961590.406112,1.2e-05,0.0,0.27110487366467906,0.05
CIA,0.0,31312.684882609854,0,1,31312.684882609854,1,56.0,0.217389,,0.217389,1,0,0,0.0,0.0,0.0,31312.684882609854,0,1,-31312.684882609854,SHORT,0.0,31312.684882609854,0.0,1.0,0.0,1.0,713209.6161285877,0.0,0.043904,0.05,0.589127782069222
CMG,0.0,33842.96761440125,0,3,33842.96761440125,3,54.0,37.623958,,37.623958,3,0,2,0.0,33724.81785281235,0.0,27850.854650540416,0,3,-33842.96761440125,SHORT,0.0,11280.989204800417,0.0,0.822944,0.0,1.0,561417946.5549946,0.0,6e-05,0.05,0.56774409534722
CRM,754.4448537793821,158.2422118752948,1,3,912.6870656546769,4,44.0,6.823191,0.934653,8.786037,4,0,0,0.0,0.0,754.4448537793821,67.17266144284302,1,3,596.2026419040874,LONG,754.4448537793821,52.7474039584316,1.0,0.424493,4.7676586723518115,1.0,2818850071.0199037,0.0,0.0,0.23144672470791533,0.2982055023405534
GLNG,62857.12016380692,0.0,5,0,62857.12016380692,5,83.6,16.43556,16.43556,,5,1,0,22368.797612665,0.0,22368.797612665,0.0,5,0,62857.12016380692,LONG,12571.424032761384,0.0,0.355867,0.0,99.0,1.0,156350828.99401626,0.000402,0.0,0.8960844160954088,0.05
HIMS,0.0,12413.873850368693,0,1,12413.873850368693,1,119.0,0.633262,,0.633262,1,0,0,0.0,0.0,0.0,12413.873850368693,0,1,-12413.873850368693,SHORT,0.0,12413.873850368693,0.0,1.0,0.0,0.7,1103238451.7217174,0.0,1.1e-05,0.0,0.22794094525667896
HOOD,1.9971048770673983,14535.793893385528,1,3,14537.790998262595,4,54.25,0.430927,0.957845,0.255288,4,0,0,0.0,0.0,1.9971048770673983,14254.507688492058,1,3,-14533.79678850846,SHORT,1.9971048770673983,4845.264631128509,1.0,0.980649,0.00013739221206047613,1.0,1916649833.3274515,0.0,8e-06,0.15657412138302257,0.36334556472920876
HPQ,0.0,0.3615376447418896,0,1,0.3615376447418896,1,32.0,0.999305,,0.999305,1,0,0,0.0,0.0,0.0,0.3615376447418896,0,1,-0.3615376447418896,SHORT,0.0,0.3615376447418896,0.0,1.0,0.0,1.0,358721314.5704355,0.0,0.0,0.05,0.15682105927069562
IWM,0.0,46340.465125412265,0,1,46340.465125412265,1,56.0,0.517895,,0.517895,1,0,1,0.0,46340.465125412265,0.0,46340.465125412265,0,1,-46340.465125412265,SHORT,0.0,46340.465125412265,0.0,1.0,0.0,1.0,12309687908.195473,0.0,4e-06,0.05,0.3452103132190466
