ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,bullish_score,bearish_score
ALAB,0.0,624.2147528479363,0,2,624.2147528479363,2,44.0,1.65,,1.65,2,0,0,0.0,0.0,0.0,486.1581850391119,0,2,-624.2147528479363,SHORT,0.0,312.10737642396816,0.0,0.78,0.0,1.0,0.05,0.40999162605671946
AMAT,170559.28628646527,0.0,1,0,170559.28628646527,1,90.0,0.54,0.54,,1,0,0,0.0,0.0,170559.28628646527,0.0,1,0,170559.28628646527,LONG,170559.28628646527,0.0,1.0,0.0,inf,1.0,0.5694833062558184,0.05
BMNR,38747.94281954527,0.0,1,0,38747.94281954527,1,90.0,0.42,0.42,,1,0,0,0.0,0.0,38747.94281954527,0.0,1,0,38747.94281954527,LONG,38747.94281954527,0.0,1.0,0.0,inf,1.0,0.5147670023078982,0.05
CIA,0.0,106127.60624414319,0,1,106127.60624414319,1,56.0,0.22,,0.22,1,0,0,0.0,0.0,0.0,106127.60624414319,0,1,-106127.60624414319,SHORT,0.0,106127.60624414319,0.0,1.0,0.0,1.0,0.05,0.5548392207248253
CMG,0.0,114703.4549921069,0,3,114703.4549921069,3,54.0,37.62,,37.62,3,0,2,0.0,114303.0118035795,0.0,94394.47773311035,0,3,-114703.4549921069,SHORT,0.0,38234.48499736896,0.0,0.82,0.0,1.0,0.05,0.8359947850266495
CRM,2557.028459073001,536.3279200127097,1,3,3093.356379085711,4,44.0,6.82,0.93,8.79,4,0,0,0.0,0.0,2557.028459073001,227.66727895429835,1,3,2020.7005390602915,LONG,2557.028459073001,178.7759733375699,1.0,0.42,4.767658672351806,1.0,0.42330244791686455,0.45105644337454404
GLNG,213040.68058661115,0.0,5,0,213040.68058661115,5,83.6,16.44,16.44,,5,1,0,75814.22526019996,0.0,75814.22526019996,0.0,5,0,213040.68058661115,LONG,42608.13611732223,0.0,0.36,0.0,inf,1.0,0.8892103826035621,0.05
HIMS,0.0,42074.15368230113,0,1,42074.15368230113,1,119.0,0.63,,0.63,1,0,0,0.0,0.0,0.0,42074.15368230113,0,1,-42074.15368230113,SHORT,0.0,42074.15368230113,0.0,1.0,0.0,0.7,0.0,0.47362430288402446
HOOD,6.768757160756181,49265.94498512589,1,3,49272.71374228664,4,54.25,0.43,0.96,0.26,4,0,0,0.0,0.0,6.768757160756181,48312.585932500464,1,3,-49259.17622796514,SHORT,6.768757160756181,16421.98166170863,1.0,0.98,0.0001373922120604764,1.0,0.21535134946198226,0.6138815190258559
HPQ,0.0,1.2253540361500999,0,1,1.2253540361500999,1,32.0,1.0,,1.0,1,0,0,0.0,0.0,0.0,1.2253540361500999,0,1,-1.2253540361500999,SHORT,0.0,1.2253540361500999,0.0,1.0,0.0,1.0,0.05,0.18063515009068554
IWM,0.0,157061.033074539,0,1,157061.033074539,1,56.0,0.52,,0.52,1,0,1,0.0,157061.033074539,0.0,157061.033074539,0,1,-157061.033074539,SHORT,0.0,157061.033074539,0.0,1.0,0.0,1.0,0.05,0.6193399272456152
LEU,0.0,73603.63545507187,0,1,73603.63545507187,1,90.0,0.77,,0.77,1,0,0,0.0,0.0,0.0,73603.63545507187,0,1,-73603.63545507187,SHORT,0.0,73603.63545507187,0.0,1.0,0.0,1.0,0.05,0.5435369755932024
NEM,272422.25374260487,0.0,2,0,272422.25374260487,2,90.0,0.47,0.47,,2,0,0,0.0,0.0,136309.67469731756,0.0,2,0,272422.25374260487,LONG,136211.12687130243,0.0,0.5,0.0,inf,1.0,0.5819768284663435,0.05
