ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score
AA,30576.11071883397,52.007678457901434,5,1,61204.22911612584,6,90.0,11.293747,13.485066,0.337151,6,1,0,13992.896997173886,0.0,13992.896997173886,52.007678457901434,5,1,0.0,30524.103040376067,LONG,6115.222143766794,52.007678457901434,0.457641,1.0,99.0,1.0,394294243.08651024,7.8e-05,0.0,0.40012747364696477,0.22666522651066567
AAOI,20385.961729009607,11952.247056728127,1,5,44290.45584246586,6,84.833333,7.139394,41.0,0.367273,6,0,0,0.0,0.0,20385.961729009607,4700.035827823895,1,5,0.0,8433.71467228148,LONG,20385.961729009607,2390.4494113456253,1.0,0.393234,1.705617498722468,1.0,1132609116.2982662,1.8e-05,1.1e-05,0.3232464674614496,0.28870073799745877
AAP,118.873545982821,207.61735489026563,1,1,534.1082557633523,2,30.5,69.543401,138.631579,0.455223,2,0,0,0.0,0.0,118.873545982821,207.61735489026563,1,1,0.0,-88.74380890744463,SHORT,118.873545982821,207.61735489026563,1.0,1.0,0.5725607382179134,1.0,79798906.86510544,1e-06,3e-06,0.27087356946448327,0.24765134234785047
ABVX,0.9259810100309751,226.7627915732234,1,2,455.37754516650875,3,111.0,0.608784,1.15625,0.335052,3,0,0,0.0,0.0,0.9259810100309751,114.87171557535672,1,2,0.0,-225.83681056319244,SHORT,0.9259810100309751,113.3813957866117,1.0,0.506572,0.0040834786148413104,0.7,116274821.00659943,0.0,2e-06,0.13512065715489918,0.17199749673657527
ACHR,25171.315139743827,0.0,2,0,50342.630279487654,2,56.0,580.96875,580.96875,,2,1,0,12936.153157009061,0.0,12936.153157009061,0.0,2,0,0.0,25171.315139743827,LONG,12585.657569871913,0.0,0.513924,0.0,99.0,1.0,178902341.47694007,0.000141,0.0,0.582417605404177,0.115
AEM,15.775939208777178,45591.51945330332,1,3,53009.74660652878,4,58.5,0.968474,1.378049,0.831949,4,1,1,15.775939208777178,7386.675274807909,15.775939208777178,38152.11375260472,1,3,0.0,-45575.743514094545,SHORT,15.775939208777178,15197.173151101108,1.0,0.836825,0.00034602793234245096,1.0,477319582.55250853,0.0,9.6e-05,0.23100971300572884,0.40105402649752125
AGNC,0.0,4986.241796256692,0,1,4986.241796256692,1,90.0,0.08687,,0.08687,1,0,0,0.0,0.0,0.0,4986.241796256692,0,1,0.0,-4986.241796256692,SHORT,0.0,4986.241796256692,0.0,1.0,0.0,1.0,216799154.325,0.0,2.3e-05,0.115,0.30665652250739067
AGRO,62.939725743740205,0.0,1,0,62.939725743740205,1,92.0,4.170492,4.170492,,1,0,0,0.0,0.0,62.939725743740205,0.0,1,0,0.0,62.939725743740205,LONG,62.939725743740205,0.0,1.0,0.0,99.0,0.7,26333546.682755426,2e-06,0.0,0.17961436004780773,0.065
ALAB,1.0991298984542535,399.7087801122444,1,3,681.9588976445291,4,54.25,1.943465,3.0,1.591286,4,0,1,0.0,280.0518577353762,1.0991298984542535,280.0518577353762,1,3,0.0,-398.6096502137902,SHORT,1.0991298984542535,133.2362600374148,1.0,0.70064,0.002749826756734242,1.0,562772275.9501362,0.0,1e-06,0.18662408270022712,0.25282411218993905
AMZN,78019.29302620598,68131.28170722768,4,6,180661.98329231126,10,85.6,0.077371,0.133399,0.040019,10,0,0,0.0,0.0,39063.84215852631,25634.772606330134,4,6,0.0,9888.0113189783,LONG,19504.823256551495,11355.21361787128,0.500695,0.376256,1.145131737891984,1.0,9433033421.53916,8e-06,7e-06,0.31362406344903726,0.31337063534940157
