ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier
AAL,6244.795346323717,21312.534129959484,1,2,27557.3294762832,3,71.666667,1.116903,2.115489,0.61761,3,0,0,0.0,0.0,6244.795346323717,14892.026299257624,1,2,117408.0,473902.0,2397.954031398083,11436.504806472658,0,0,-15067.738783635767,SHORT,6244.795346323717,10656.267064979742,0.0,0.301255,0.29301045611208076,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,8438692443.0,1.4e-05,5.6e-05,0.0,1e-06,0.383992,0.536609,0.0,0.0,0.007400193085012658,0.012627865201817193,0.19070867755577456,0.14272413213872248,0.1984,0.0101,1.0985,0.0,0.0,0.6,0.0,0.4159,0.0321,0.08,0.1556,0.0,0.6,0.1438,0.2222603980086333,0.2856724531126656,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4
AAPL,168283.53223738744,119315.09435624948,4,6,359789.2065902402,10,73.6,0.390602,0.149233,0.551515,10,1,2,32967.015058365105,52345.51164415233,47272.394223592506,41790.84399878597,4,6,2217364.0,1966274.0,89642.51174170781,43043.1290662257,3,1,48968.43788113796,LONG,42070.88305934686,19885.849059374912,0.719091,0.649744,1.4104127658394052,1.0,0.75,0.16666666666666666,0.4423076923076923,-0.14102564102564105,31-90,0.25,0,0.0,3967284462200.0,1e-06,0.0,0.0,0.0,0.532687,0.346708,0.0,0.0,0.00010604453363552626,5.012458584416078e-05,0.18481384294200576,0.21904877326709968,0.1893,0.0,0.0,0.4667,0.15,0.6,0.4422,0.085,0.0,0.035,0.7778,0.3,0.6,0.3927,0.1658874523809524,0.21054822634920634,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4
ACMR,8.47624476810325e-06,1.0634557789406386e-05,1,3,2.974536034691602e-05,4,36.0,0.740043,0.120273,0.946634,4,1,0,8.47624476810325e-06,0.0,8.47624476810325e-06,1.0558940562647413e-05,1,3,51870.0,123032.5,2.610470998178011e-07,2.4707898944729983e-07,0,0,-2.158313021303136e-06,SHORT,8.47624476810325e-06,3.544852596468795e-06,0.0,0.007111,0.7970472243375141,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,3072319678.0,1.7e-05,4e-05,0.0,0.0,0.030797,0.023234,0.0,0.0,2.7589071634697418e-11,1.1538033043411686e-11,0.15813693466670653,0.23037966031748855,0.8314,0.0,0.0,0.0,0.15,0.6,0.0,1.089,0.0,0.3037,0.3111,0.0,0.6,0.0,0.1374205032937244,0.26008261729233983,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4
AFL,0.0,2.3503729962966024e-16,0,1,4.700745992593205e-16,1,44.0,0.791258,,0.791258,1,0,0,0.0,0.0,0.0,2.3503729962966024e-16,0,1,0.0,59780.5,0.0,8.881846174946206e-17,0,0,-2.3503729962966024e-16,SHORT,0.0,2.3503729962966024e-16,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,59134629643.0,0.0,1e-06,0.0,0.0,0.0,0.377891,0.0,0.0,0.0,3.9746135394539084e-23,0.08021225235193383,0.13311581772373754,0.2021,0.0,0.0,0.0,0.0,0.6,0.0,0.5331,0.0,0.1981,0.0,0.0,0.6,0.0,0.06,0.079805544,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4
AG,18909.991917724798,157.55947305105704,4,1,19078.886959545627,5,92.0,0.151906,0.166912,0.091883,5,0,0,0.0,0.0,18318.826412185615,157.55947305105704,4,1,612876.0,54858.0,3074.038360579763,53.32128029486406,0,0,18752.43244467374,LONG,4727.497979431199,157.55947305105704,0.031262,0.0,99.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,10558516313.0,5.8e-05,5e-06,0.0,0.0,0.162917,0.33842,0.0,0.0,0.004477426410385467,0.00014922501266306185,0.14898949130965727,0.06069369421213354,0.6804,0.0,0.0,0.4667,0.0,0.3429,0.0,0.2641,0.0,0.0,0.0,0.0,0.3429,0.0,0.2708941374893884,0.050772253511635425,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4
AI,23.74495657176184,1.4171752120383524e-15,1,2,23.744956571761843,3,34.666667,26.384663,2.625199,38.264394,3,0,0,0.0,0.0,23.74495657176184,1.4087772202495065e-15,1,2,90758.0,68209.0,5.392994401813671,1.7792960059807333e-16,0,0,23.74495657176184,LONG,23.74495657176184,7.085876060191762e-16,0.0,0.005926,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,8-30,0.0,0,0.0,1310150965.0,6.9e-05,5.2e-05,0.0,0.0,0.227122,0.125552,0.0,0.0,0.00018123832448394095,5.408442423420848e-21,0.2801191101228918,0.3215171028621096,0.7561,0.0,1.4451,0.0,0.0,0.6,0.0,0.7596,0.0,1.7,0.1556,0.0,0.6,0.0,0.42302402060631944,0.4190639685588233,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4
ALB,2081.4378489821506,115.64628795502975,2,4,2310.503765988506,6,56.666667,2.740778,2.17699,3.022672,6,1,1,512.0138883107917,0.5199386358562135,1569.423960671359,112.89969041546928,2,4,486498.0,267130.0,466.7636482075786,28.10550310999444,0,0,1965.791561027121,LONG,1040.7189244910753,28.911571988757437,0.24599,0.02375,17.998310934040003,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.5,0,0.0,23304287755.0,2.1e-05,1.1e-05,0.0,0.0,0.224251,0.241316,0.0,0.0,0.0004465783015693265,1.2406116974141112e-05,0.2770908042983017,0.3143212372982179,0.6207,0.0,1.1404,0.1556,0.15,0.6,0.1043,0.2265,0.0,1.7,0.4667,0.15,0.6,0.0,0.2917086477083793,0.3317412198622244,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4
ALK,0.0,12.24715102889622,0,1,24.49430205779244,1,30.0,0.780612,,0.780612,1,0,0,0.0,0.0,0.0,12.24715102889622,0,1,0.0,69315.0,0.0,6.219529556057036,0,0,-12.24715102889622,SHORT,0.0,12.24715102889622,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,8-30,0.0,0,0.0,5204721830.0,0.0,1.3e-05,0.0,0.0,0.0,0.507835,0.0,0.0,0.0,2.3530846467727976e-05,0.12018058134913817,0.14235748257716901,0.6018,0.0,0.0,0.0,0.0,0.6,0.0,0.6328,0.0,0.1908,0.0,0.0,0.6,0.0,0.06,0.12673628179154595,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4
ALLY,0.0,424.12810247602044,0,2,424.12810247602044,2,63.5,0.389078,,0.389078,2,0,1,0.0,36.84033246375314,0.0,387.2877700122673,0,2,0.0,203174.0,0.0,95.3595007014573,0,0,-424.12810247602044,SHORT,0.0,212.06405123801022,0.0,0.086861,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.5,0,0.0,14020399512.0,0.0,1.4e-05,0.0,0.0,0.0,0.224837,0.0,0.0,0.0,0.0001512539290028829,0.12282069995503342,0.23540248871915992,0.6282,0.0,0.0,0.0,0.0,0.6,0.0,1.4485,0.0,0.0,0.1556,0.15,0.6,0.0,0.06,0.14195011360351567,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4
AMD,4663.74080383011,18415.56151103826,1,3,31566.112857715372,4,69.25,0.557355,1.221374,0.336016,4,0,0,0.0,0.0,4663.74080383011,7763.511129446999,1,3,61717.5,277512.5,2774.7229418620304,5325.307533360943,1,1,-13751.82070720815,SHORT,4663.74080383011,6138.5205036794205,0.0,0.578427,0.25324999191768716,1.0,1.0,0.3333333333333333,0.6923076923076923,0.025641025641025605,31-90,0.0,0,0.0,453890074583.0,0.0,1e-06,0.0,0.0,0.594957,0.309094,0.0,0.0,0.00010275044696923157,0.00013524244850075275,0.11755397891789332,0.1337850151718616,0.085,0.0,0.4905,0.0,0.0,0.6,0.0,0.085,0.0,0.0,0.3111,0.0,0.6,0.3417,0.10905343199999999,0.12528446825396827,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4
