ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,bullish_score,bearish_score
ALAB,0.0,677.4317613192748,0,2,677.4317613192748,2,44.0,1.65,,1.65,2,0,0,0.0,0.0,0.0,527.605273775157,0,2,-677.4317613192748,SHORT,0.0,338.7158806596374,0.0,0.78,0.0,1.0,0.05,0.41146001404900256
AMAT,185100.2034015457,0.0,1,0,185100.2034015457,1,90.0,0.54,0.54,,1,0,0,0.0,0.0,185100.2034015457,0.0,1,0,185100.2034015457,LONG,185100.2034015457,0.0,1.0,0.0,inf,1.0,0.5695935533477838,0.05
BMNR,42051.372595702785,0.0,1,0,42051.372595702785,1,90.0,0.42,0.42,,1,0,0,0.0,0.0,42051.372595702785,0.0,1,0,42051.372595702785,LONG,42051.372595702785,0.0,1.0,0.0,inf,1.0,0.5152229640641667,0.05
CIA,0.0,115175.4438589541,0,1,115175.4438589541,1,56.0,0.22,,0.22,1,0,0,0.0,0.0,0.0,115175.4438589541,0,1,-115175.4438589541,SHORT,0.0,115175.4438589541,0.0,1.0,0.0,1.0,0.05,0.5551262547908755
CMG,0.0,124482.4208178213,0,3,124482.4208178213,3,54.0,37.62,,37.62,3,0,2,0.0,124047.83811487371,0.0,102442.01537660824,0,3,-124482.4208178213,SHORT,0.0,41494.1402726071,0.0,0.82,0.0,1.0,0.05,0.8363513724791661
CRM,2775.0261987084377,582.0521957247335,1,3,3357.078394433171,4,44.0,6.82,0.93,8.79,4,0,0,0.0,0.0,2775.0261987084377,247.0768995335623,1,3,2192.9740029837044,LONG,2775.0261987084377,194.01739857491114,1.0,0.42,4.767658672351809,1.0,0.42439150685154214,0.4525873852979269
GLNG,231203.3203701013,0.0,5,0,231203.3203701013,5,83.6,16.44,16.44,,5,1,0,82277.71598917172,0.0,82277.71598917172,0.0,5,0,231203.3203701013,LONG,46240.664074020264,0.0,0.36,0.0,inf,1.0,0.8893993189113311,0.05
HIMS,0.0,45661.15732603089,0,1,45661.15732603089,1,119.0,0.63,,0.63,1,0,0,0.0,0.0,0.0,45661.15732603089,0,1,-45661.15732603089,SHORT,0.0,45661.15732603089,0.0,1.0,0.0,0.7,0.0,0.47411539212146314
HOOD,7.345822995103971,53466.07995415733,1,3,53473.425777152435,4,54.25,0.43,0.96,0.26,4,0,0,0.0,0.0,7.345822995103971,52431.442917395325,1,3,-53458.73413116222,SHORT,7.345822995103971,17822.026651385775,1.0,0.98,0.00013739221206047643,1.0,0.21743115002452396,0.6144244782823269
HPQ,0.0,1.3298207694733277,0,1,1.3298207694733277,1,32.0,1.0,,1.0,1,0,0,0.0,0.0,0.0,1.3298207694733277,0,1,-1.3298207694733277,SHORT,0.0,1.3298207694733277,0.0,1.0,0.0,1.0,0.05,0.1820510867147928
IWM,0.0,170451.16570038718,0,1,170451.16570038718,1,56.0,0.52,,0.52,1,0,1,0.0,170451.16570038718,0.0,170451.16570038718,0,1,-170451.16570038718,SHORT,0.0,170451.16570038718,0.0,1.0,0.0,1.0,0.05,0.619540498331396
LEU,0.0,79878.66383859373,0,1,79878.66383859373,1,90.0,0.77,,0.77,1,0,0,0.0,0.0,0.0,79878.66383859373,0,1,-79878.66383859373,SHORT,0.0,79878.66383859373,0.0,1.0,0.0,1.0,0.05,0.5439047240597599
NEM,295647.42956399894,0.0,2,0,295647.42956399894,2,90.0,0.47,0.47,,2,0,0,0.0,0.0,147930.6642365694,0.0,2,0,295647.42956399894,LONG,147823.71478199947,0.0,0.5,0.0,inf,1.0,0.5820340675820149,0.05
NFLX,228423.06416224386,0.0,1,0,228423.06416224386,1,90.0,0.26,0.26,,1,0,0,0.0,0.0,228423.06416224386,0.0,1,0,228423.06416224386,LONG,228423.06416224386,0.0,1.0,0.0,inf,1.0,0.5736955165681565,0.05
NOW,331.83248034354034,0.0,1,0,331.83248034354034,1,58.0,0.42,0.42,,1,0,0,0.0,0.0,331.83248034354034,0.0,1,0,331.83248034354034,LONG,331.83248034354034,0.0,1.0,0.0,inf,1.0,0.3424571133389763,0.05
ORCL,65844.9376398432,110562.74424337888,1,1,176407.68188322207,2,49.0,0.32,0.59,0.05,2,0,0,0.0,0.0,65844.9376398432,110562.74424337888,1,1,-44717.806603535675,SHORT,65844.9376398432,110562.74424337888,1.0,1.0,0.595543626295133,1.0,0.5333001898923835,0.5532497689139404
PLTR,0.0,54120.00086254844,0,1,54120.00086254844,1,56.0,0.11,,0.11,1,0,0,0.0,0.0,0.0,54120.00086254844,0,1,-54120.00086254844,SHORT,0.0,54120.00086254844,0.0,1.0,0.0,1.0,0.05,0.5286145645061785
QCOM,0.0,44869.44889406017,0,1,44869.44889406017,1,56.0,0.12,,0.12,1,0,0,0.0,0.0,0.0,44869.44889406017,0,1,-44869.44889406017,SHORT,0.0,44869.44889406017,0.0,1.0,0.0,1.0,0.05,0.5221350917134785
QQQ,0.0,542248.607927288,0,2,542248.607927288,2,90.0,0.14,,0.14,2,0,0,0.0,0.0,0.0,357249.3350005493,0,2,-542248.607927288,SHORT,0.0,271124.303963644,0.0,0.66,0.0,1.0,0.05,0.6333769520732364
RDDT,0.0,0.46708066730806164,0,1,0.46708066730806164,1,32.0,0.34,,0.34,1,0,0,0.0,0.0,0.0,0.46708066730806164,0,1,-0.46708066730806164,SHORT,0.0,0.46708066730806164,0.0,1.0,0.0,1.0,0.05,0.1642194355687704
SLV,257731.737280444,0.0,2,0,257731.737280444,2,90.0,0.07,0.07,,2,0,0,0.0,0.0,131216.5244015056,0.0,2,0,257731.737280444,LONG,128865.868640222,0.0,0.51,0.0,inf,1.0,0.5727677926710654,0.05
SOXS,25303.95126728983,0.0,1,0,25303.95126728983,1,56.0,1.33,1.33,,1,1,0,25303.95126728983,0.0,25303.95126728983,0.0,1,0,25303.95126728983,LONG,25303.95126728983,0.0,1.0,0.0,inf,1.0,0.5581596289340188,0.05
SPY,341479.3051514725,383199.6474213449,2,3,724678.9525728174,5,51.8,0.84,0.77,0.88,5,1,2,136083.2883983098,229908.8617797845,205396.0167531627,153290.78564156036,2,3,-41720.34226987237,SHORT,170739.65257573625,127733.21580711496,0.6,0.4,0.8911263552808047,1.0,0.6458291150126347,0.7554572278601136
TLT,0.0,41277.69231814875,0,1,41277.69231814875,1,119.0,0.14,,0.14,1,0,1,0.0,41277.69231814875,0.0,41277.69231814875,0,1,-41277.69231814875,SHORT,0.0,41277.69231814875,0.0,1.0,0.0,0.7,0.0,0.5192928693275048
TQQQ,184045.85395781696,0.0,1,0,184045.85395781696,1,90.0,0.28,0.28,,1,0,0,0.0,0.0,184045.85395781696,0.0,1,0,184045.85395781696,LONG,184045.85395781696,0.0,1.0,0.0,inf,1.0,0.5662265905984455,0.05
TSM,90274.06314227058,0.0,1,0,90274.06314227058,1,90.0,0.13,0.13,,1,0,0,0.0,0.0,90274.06314227058,0.0,1,0,90274.06314227058,LONG,90274.06314227058,0.0,1.0,0.0,inf,1.0,0.538969796529741,0.05
U,0.0,150.99367573100946,0,1,150.99367573100946,1,30.0,0.7,,0.7,1,0,0,0.0,0.0,0.0,150.99367573100946,0,1,-150.99367573100946,SHORT,0.0,150.99367573100946,0.0,1.0,0.0,1.0,0.05,0.32626906617226686
USAR,261.47644335157236,0.0,3,0,261.47644335157236,3,31.33,1.26,1.26,,3,2,0,1.1120310497801607,0.0,260.3644123017922,0.0,3,0,261.47644335157236,LONG,87.15881445052412,0.0,1.0,0.0,inf,1.0,0.4909343890559832,0.05
WFC,0.0,80099.97065126753,0,1,80099.97065126753,1,90.0,0.24,,0.24,1,0,0,0.0,0.0,0.0,80099.97065126753,0,1,-80099.97065126753,SHORT,0.0,80099.97065126753,0.0,1.0,0.0,1.0,0.05,0.5425737261650412
XLI,0.0,86740.4468730472,0,3,86740.4468730472,3,61.0,74.28,,74.28,3,0,1,0.0,49557.97143095463,0.0,49557.97143095463,0,3,-86740.4468730472,SHORT,0.0,28913.482291015735,0.0,0.57,0.0,1.0,0.05,0.8600198906597695
XLU,0.0,22352.871991143624,0,2,22352.871991143624,2,43.0,0.66,,0.66,2,0,2,0.0,22352.871991143624,0.0,22076.107432762496,0,2,-22352.871991143624,SHORT,0.0,11176.435995571812,0.0,0.99,0.0,1.0,0.05,0.6405925117636139
