ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,total_call_premium,total_put_premium,bullish_unusual_premium_share,bearish_unusual_premium_share,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,bullish_unusual_premium_share_z,bullish_unusual_premium_share_tier,bearish_unusual_premium_share_z,bearish_unusual_premium_share_tier,lottery_bullish_premium,lottery_bearish_premium,swing_bullish_premium,swing_bearish_premium,leap_bullish_premium,leap_bearish_premium
LYV,1.741262891061191e-29,0.0,1,0,1.741262891061191e-29,1,109.0,34.0,34.0,,1,0,0,0.0,0.0,1.741262891061191e-29,0.0,1,0,1283500.0,0.0,9.945121163543122e-30,0.0,1,0,1.741262891061191e-29,LONG,1.741262891061191e-29,0.0,0.0,0.0,99.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,1,1.0,40148997229.0,3.2e-05,0.0,14650167.0,211686.0,0.08760992280838846,0.0,0.0,0.0,0.571144,0.0,0.0,0.0,4.3370021949227176e-36,0.0,0.4496608923511368,0.1468616864367892,2.5036,0.0,1.6502,0.0,0.0,0.3429,0.0,0.7382,0.0,0.3876,0.0,0.0,0.3429,0.0,0.3179097857365699,0.03428571428571428,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-1.1212638246138171,1,-1.463472159480691,1,0.0,0.0,1283500.0,0.0,1993750.0,0.0
MARA,1.5621141050843963e-17,7.478527107746228e-19,2,1,1.6368993761618585e-17,3,55.666667,6.46869,3.201801,13.002469,3,0,0,0.0,0.0,1.5619994971681514e-17,7.478527107746228e-19,2,1,1557750.0,987940.0,5.588071537298686e-18,3.8873638822545767e-19,1,0,1.487328834006934e-17,LONG,7.810570525421981e-18,7.478527107746228e-19,7.3e-05,0.0,20.887991479851223,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,5661866970.0,0.000275,0.000174,,,,,0.0,0.0,0.357725,0.519803,0.0,0.0,1.3795044226236884e-23,1.3208588522782315e-24,0.2949907800121481,0.26652898099764616,0.5442,0.0,1.6502,0.1556,0.0,0.6,0.0,0.4151,0.0,1.6502,0.0,0.0,0.6,0.0,0.5355555555555556,0.52,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-2.3618626314457614,1,0.0,0.0,1557750.0,987940.0,535031.0,2150610.0
MDB,8.372124760058131,0.0,1,0,8.372124760058131,1,84.0,2.75641,2.75641,,1,0,0,0.0,0.0,8.372124760058131,0.0,1,0,776441.0,0.0,4.416164805502094,0.0,1,0,8.372124760058131,LONG,8.372124760058131,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,32484846677.0,2.4e-05,0.0,,,,,0.0,0.0,0.527484,0.0,0.0,0.0,2.577240041580921e-06,0.0,0.3063899606193158,0.1557550953616191,0.8137,0.0,1.6502,0.0,0.0,0.6,0.0,0.7461,0.0,0.2115,0.0,0.0,0.6,0.0,0.30052162134531063,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-1.4764042800555306,1,0.0,0.0,776441.0,0.0,0.0,810153.0
MDGL,0.0,1.492671395952166e-27,0,1,2.985342791904332e-27,1,43.0,,,,1,0,0,0.0,0.0,0.0,1.492671395952166e-27,0,1,0.0,675000.0,0.0,7.359927588554434e-28,0,1,-1.492671395952166e-27,SHORT,0.0,1.492671395952166e-27,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,1.0,11095074781.0,0.0,6.1e-05,,,,,0.0,0.0,0.0,0.493071,0.0,0.0,0.0,1.345345953420993e-33,0.19315551185891877,0.291567302988462,0.8798,0.0,0.4518,0.0,0.0,0.6,0.0,1.8083,0.0,0.5074,0.0,0.0,0.6,0.0,0.06,0.2579258481937752,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-1.8811527542689908,1,-1.1278980869497066,1,1116000.0,0.0,0.0,1350000.0,0.0,0.0
MTSI,930977.8755024238,2.8596730173296416,2,6,930983.5702333152,8,92.25,66.470114,42.09375,74.595569,8,1,1,930977.8755024238,4.401085144494944e-30,930977.8755024238,2.835057874088638,2,6,2091845.0,3008234.0,263786.41701451334,0.5040140758205902,1,0,930975.0158294066,LONG,465488.9377512119,0.4766121695549403,0.0,0.008608,99.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.5,0,0.0,26992681883.0,7.7e-05,0.000111,,,,,1e-05,0.0,0.283343,0.175465,0.0,0.0,0.17245005137647215,1.76570883775395e-07,0.5767754737655612,0.5735798659178681,2.815,0.6542,1.6502,0.1556,0.15,0.3429,0.0,2.815,0.0,1.6502,0.7778,0.15,0.3429,0.0,0.5384019904006161,0.5870634920634921,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-1.719170638493769,1,-0.9206182573863931,1,0.0,0.0,2091845.0,5495310.0,0.0,0.0
NBIS,0.0,3366626.194263585,0,3,3695007.770737596,3,56.666667,34.0,,34.0,3,0,1,0.0,2050241.5030380306,0.0,2050241.5030380306,0,3,0.0,4394600.0,0.0,2265041.861591819,0,3,-3366626.194263585,SHORT,0.0,1122208.731421195,0.0,0.39101,0.0,1.0,0.0,1.0,-0.3076923076923077,0.6923076923076923,31-90,0.3333,0,0.0,58050710427.0,0.0,7.6e-05,,,,,0.0,3.9e-05,0.0,0.617543,0.0,0.0,0.0,0.19331524509633627,0.13233988348429215,0.4269921717347116,0.5678,0.0,0.1556,0.0,0.0,0.6,0.0,0.6217,0.7291,1.6502,0.3111,0.15,0.6,0.2079,0.06,0.6055412429399827,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-3.1325080653441906,1,0.0,0.0,0.0,4742315.0,0.0,0.0
NFLX,0.06039708951472716,0.0,2,0,0.12079417902945432,2,59.0,2.793327,2.793327,,2,0,0,0.0,0.0,0.06039708951472716,0.0,2,0,1712253.0,0.0,0.023887799950741806,0.0,1,0,0.06039708951472716,LONG,0.03019854475736358,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,361668388165.0,5e-06,0.0,,,,,0.0,0.0,0.395512,0.0,0.0,0.0,8.349788299326407e-10,0.0,0.2730876952972322,0.0956696519729122,0.3252,0.0,1.6502,0.1556,0.0,0.6,0.0,0.3005,0.0,0.0562,0.0,0.0,0.6,0.0,0.2479883307814767,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-2.840104312243466,1,0.0,0.0,2867366.0,0.0,0.0,0.0
NU,0.0016338223894616921,0.0,1,0,0.0016338223894616921,1,115.0,42.85124,42.85124,,1,0,0,0.0,0.0,0.0016338223894616921,0.0,1,0,642504.0,0.0,0.0008346757057244432,0.0,1,0,0.0016338223894616921,LONG,0.0016338223894616921,0.0,0.0,0.0,99.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,49791617413.0,1.3e-05,0.0,18640537.0,2770930.0,0.03446810572034486,0.0,0.0,0.0,0.510873,0.0,0.0,0.0,3.2813201786755385e-10,0.0,0.30873691299801287,0.09942935008811493,1.0943,0.0,1.6502,0.0,0.0,0.3429,0.0,0.2596,0.0,0.3918,0.0,0.0,0.3429,0.0,0.2519403800772603,0.03428571428571428,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-1.9491982753500106,1,-1.7177355734925244,1,0.0,0.0,642504.0,0.0,0.0,0.0
NVO,0.0,3.1193349844542825e-30,0,1,6.238669968908565e-30,1,109.0,1.120167,,1.120167,1,0,0,0.0,0.0,0.0,3.1193349844542825e-30,0,1,0.0,393880.0,0.0,1.5678521791677185e-30,0,1,-3.1193349844542825e-30,SHORT,0.0,3.1193349844542825e-30,0.0,0.0,0.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,47369609040.0,0.0,8e-06,,,,,0.0,0.0,0.0,0.502624,0.0,0.0,0.0,6.585097592467448e-37,0.08552749910926719,0.2433260296148199,0.3745,0.0,0.1379,0.0,0.0,0.3429,0.0,0.4402,0.0,1.6502,0.0,0.0,0.3429,0.0,0.03428571428571428,0.10490144322215128,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-1.9099662495894438,1,0.0,0.0,0.0,787760.0,0.0,0.0
NVTS,0.01592334052235656,0.0,1,0,0.03184668104471312,1,114.0,13.857143,13.857143,,1,1,0,0.01592334052235656,0.0,0.01592334052235656,0.0,1,0,329730.0,0.0,0.007666895293147227,0.0,1,0,0.01592334052235656,LONG,0.01592334052235656,0.0,0.0,0.0,99.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,1.0,0,0.0,5810109307.0,5.7e-05,0.0,,,,,0.0,0.0,0.481488,0.0,0.0,0.0,2.7406266699960657e-08,0.0,0.29414201424521347,0.1317726706097856,0.7984,0.0,1.6502,0.0,0.15,0.3429,0.0,0.7796,0.0,0.1953,0.0,0.0,0.3429,0.0,0.40653238224378385,0.03428571428571428,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-1.9479677438529805,1,0.0,0.0,659460.0,0.0,0.0,0.0
