ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,bullish_score,bearish_score
ALAB,0.0,675.1063888062101,0,2,675.1063888062101,2,44.0,1.65,,1.65,2,0,0,0.0,0.0,0.0,525.7942001417103,0,2,-675.1063888062101,SHORT,0.0,337.55319440310507,0.0,0.78,0.0,1.0,0.05,0.41139866407465375
AMAT,184464.8229105065,0.0,1,0,184464.8229105065,1,90.0,0.54,0.54,,1,0,0,0.0,0.0,184464.8229105065,0.0,1,0,184464.8229105065,LONG,184464.8229105065,0.0,1.0,0.0,inf,1.0,0.569588948471803,0.05
BMNR,41907.025797170274,0.0,1,0,41907.025797170274,1,90.0,0.42,0.42,,1,0,0,0.0,0.0,41907.025797170274,0.0,1,0,41907.025797170274,LONG,41907.025797170274,0.0,1.0,0.0,inf,1.0,0.5152039196435366,0.05
CIA,0.0,114780.08918764662,0,1,114780.08918764662,1,56.0,0.22,,0.22,1,0,0,0.0,0.0,0.0,114780.08918764662,0,1,-114780.08918764662,SHORT,0.0,114780.08918764662,0.0,1.0,0.0,1.0,0.05,0.5551142637112746
CMG,0.0,124055.11873920936,0,3,124055.11873920936,3,54.0,37.62,,37.62,3,0,2,0.0,123622.02779783805,0.0,102090.3698525251,0,3,-124055.11873920936,SHORT,0.0,41351.70624640312,0.0,0.82,0.0,1.0,0.05,0.8363364766218906
CRM,2765.5005608302495,580.0542259595258,1,3,3345.5547867897753,4,44.0,6.82,0.93,8.79,4,0,0,0.0,0.0,2765.5005608302495,246.22877598283057,1,3,2185.4463348707236,LONG,2765.5005608302495,193.35140865317524,1.0,0.42,4.767658672351811,1.0,0.4243460182154265,0.4525234181017887
GLNG,230409.68494168433,0.0,5,0,230409.68494168433,5,83.6,16.44,16.44,,5,1,0,81995.28704189834,0.0,81995.28704189834,0.0,5,0,230409.68494168433,LONG,46081.93698833686,0.0,0.36,0.0,inf,1.0,0.8893914281191192,0.05
HIMS,0.0,45504.41947253271,0,1,45504.41947253271,1,119.0,0.63,,0.63,1,0,0,0.0,0.0,0.0,45504.41947253271,0,1,-45504.41947253271,SHORT,0.0,45504.41947253271,0.0,1.0,0.0,0.7,0.0,0.47409487677543827
HOOD,7.32060750351647,53282.55068994837,1,3,53289.87129745189,4,54.25,0.43,0.96,0.26,4,0,0,0.0,0.0,7.32060750351647,52251.465179205166,1,3,-53275.230082444854,SHORT,7.32060750351647,17760.850229982792,1.0,0.98,0.0001373922120604764,1.0,0.217343764331989,0.6144017968403709
HPQ,0.0,1.325255986950268,0,1,1.325255986950268,1,32.0,1.0,,1.0,1,0,0,0.0,0.0,0.0,1.325255986950268,0,1,-1.325255986950268,SHORT,0.0,1.325255986950268,0.0,1.0,0.0,1.0,0.05,0.18199078660299461
IWM,0.0,169866.06993403638,0,1,169866.06993403638,1,56.0,0.52,,0.52,1,0,1,0.0,169866.06993403638,0.0,169866.06993403638,0,1,-169866.06993403638,SHORT,0.0,169866.06993403638,0.0,1.0,0.0,1.0,0.05,0.6195321191707632
LEU,0.0,79604.46994944266,0,1,79604.46994944266,1,90.0,0.77,,0.77,1,0,0,0.0,0.0,0.0,79604.46994944266,0,1,-79604.46994944266,SHORT,0.0,79604.46994944266,0.0,1.0,0.0,1.0,0.05,0.543889361197506
NEM,294632.5813600597,0.0,2,0,294632.5813600597,2,90.0,0.47,0.47,,2,0,0,0.0,0.0,147422.87301670518,0.0,2,0,294632.5813600597,LONG,147316.29068002984,0.0,0.5,0.0,inf,1.0,0.5820316770019293,0.05
