ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,bullish_score,bearish_score
AMAT,243202,0,1,0,243202,1,90.0,0.54,0.54,,1,0,0,0,0,243202.0,0.0,243202,LONG,243202.0,0.0,1.0,0.0,inf,1.0,6.558825882262191,0.2
BMNR,55272,0,1,0,55272,1,90.0,0.42,0.42,,1,0,0,0,0,55272.0,0.0,55272,LONG,55272.0,0.0,1.0,0.0,inf,1.0,5.794019911174143,0.2
CIA,0,152060,0,1,152060,1,56.0,0.22,,0.22,1,0,0,0,0,0.0,152060.0,-152060,SHORT,0.0,152060.0,0.0,1.0,0.0,1.0,0.2,6.260018517556121
IWM,0,217919,0,1,217919,1,56.0,0.52,,0.52,1,0,1,0,217919,0.0,217919.0,-217919,SHORT,0.0,217919.0,0.0,1.0,0.0,1.0,0.2,6.599941650971641
LEU,0,105000,0,1,105000,1,90.0,0.77,,0.77,1,0,0,0,0,0.0,105000.0,-105000,SHORT,0.0,105000.0,0.0,1.0,0.0,1.0,0.2,6.184862576451916
MU,526400,0,2,0,526400,2,90.0,0.69,0.69,,2,0,0,0,0,311600.0,0.0,526400,LONG,263200.0,0.0,0.59,0.0,inf,1.0,7.000437487213347,0.35
NEM,390000,0,2,0,390000,2,90.0,0.47,0.47,,2,0,0,0,0,195000.0,0.0,390000,LONG,195000.0,0.0,0.5,0.0,inf,1.0,6.8019805986324675,0.35
NFLX,300000,0,1,0,300000,1,90.0,0.26,0.26,,1,0,0,0,0,300000.0,0.0,300000,LONG,300000.0,0.0,1.0,0.0,inf,1.0,6.607770543483057,0.2
PLTR,0,71500,0,1,71500,1,56.0,0.11,,0.11,1,0,0,0,0,0.0,71500.0,-71500,SHORT,0.0,71500.0,0.0,1.0,0.0,1.0,0.2,5.860733357299141
QCOM,0,59360,0,1,59360,1,56.0,0.12,,0.12,1,0,0,0,0,0.0,59360.0,-59360,SHORT,0.0,59360.0,0.0,1.0,0.0,1.0,0.2,5.769696362030275
QQQ,0,717112,0,2,717112,2,90.0,0.14,,0.14,2,0,0,0,0,0.0,471815.0,-717112,SHORT,0.0,358556.0,0.0,0.66,0.0,1.0,0.35,7.0485224862278
SLV,340000,0,2,0,340000,2,90.0,0.07,0.07,,2,0,0,0,0,173060.0,0.0,340000,LONG,170000.0,0.0,0.51,0.0,inf,1.0,6.653880282972777,0.35
SPXW,0,625450,0,1,625450,1,41.0,0.78,,0.78,1,0,0,0,0,0.0,625450.0,-625450,SHORT,0.0,625450.0,0.0,1.0,0.0,1.0,0.2,7.079114134245219
SPY,449674,500925,2,3,950599,5,51.8,0.84,0.77,0.88,5,1,2,180000,299687,269674.0,201238.0,-51251,SHORT,224837.0,166975.0,0.6,0.4,0.8976872785347108,1.0,7.48816844578797,7.5933155878728344
TLT,0,52500,0,1,52500,1,119.0,0.14,,0.14,1,0,1,0,52500,0.0,52500.0,-52500,SHORT,0.0,52500.0,0.0,1.0,0.0,0.7,0.185,5.797293748008679
TQQQ,243000,0,1,0,243000,1,90.0,0.28,0.28,,1,0,0,0,0,243000.0,0.0,243000,LONG,243000.0,0.0,1.0,0.0,inf,1.0,6.506410418770277,0.2
TSM,119040,0,1,0,119040,1,90.0,0.13,0.13,,1,0,0,0,0,119040.0,0.0,119040,LONG,119040.0,0.0,1.0,0.0,inf,1.0,6.119611625284634,0.2
WFC,0,105000,0,1,105000,1,90.0,0.24,,0.24,1,0,0,0,0,0.0,105000.0,-105000,SHORT,0.0,105000.0,0.0,1.0,0.0,1.0,0.2,6.078862576451916
