Date,open,high,low,close,volume
2026-05-19,150.47000122070312,156.6300048828125,147.57000732421875,151.30999755859375,593700
2026-05-20,155.99000549316406,160.0,153.05999755859375,159.3699951171875,279900
2026-05-21,157.22999572753906,161.1999969482422,154.8000030517578,160.58999633789062,263900
2026-05-22,162.0,167.49000549316406,160.14999389648438,167.3699951171875,473000
2026-05-26,171.47999572753906,175.07000732421875,169.64999389648438,174.72999572753906,369800
2026-05-27,178.72999572753906,178.91000366210938,163.99000549316406,169.6199951171875,451100
2026-05-28,172.00999450683594,175.14999389648438,168.63999938964844,174.77999877929688,257700
2026-05-29,176.02999877929688,176.67999267578125,169.19000244140625,171.66000366210938,302900
2026-06-01,168.0,169.77000427246094,162.5500030517578,163.08999633789062,901300
2026-06-02,180.0,190.4499969482422,175.0,187.52000427246094,1361700
2026-06-03,185.11000061035156,186.17999267578125,178.39999389648438,183.4499969482422,294900
2026-06-04,176.0399932861328,184.8000030517578,173.42999267578125,181.16000366210938,320000
2026-06-05,176.1999969482422,176.97999572753906,163.0399932861328,164.2100067138672,408900
2026-06-08,172.39999389648438,175.6999969482422,167.3699951171875,168.6699981689453,420200
2026-06-09,173.3800048828125,178.1999969482422,158.3000030517578,168.14999389648438,370700
2026-06-10,164.61000061035156,176.8300018310547,163.9600067138672,166.69000244140625,349800
2026-06-11,171.99000549316406,184.3300018310547,169.7899932861328,184.14999389648438,373800
2026-06-12,184.8000030517578,196.99000549316406,182.3000030517578,193.27000427246094,538000
2026-06-15,203.0800018310547,203.9600067138672,196.5,197.75,556900
2026-06-16,196.94000244140625,197.16000366210938,181.47000122070312,182.24000549316406,570100
2026-06-17,186.5800018310547,188.52000427246094,177.6999969482422,178.13999938964844,284700
2026-06-18,189.36000061035156,195.8800048828125,188.0,195.16000366210938,300700
2026-06-22,200.5399932861328,204.49000549316406,194.25,195.72000122070312,428300
