Date,open,high,low,close,volume,adj_close
2026-01-29,56.08000183105469,57.79499816894531,55.790000915527344,56.0,1775600,56.0
2026-01-30,55.599998474121094,56.57500076293945,54.380001068115234,54.5099983215332,2087900,54.5099983215332
2026-02-02,53.9900016784668,57.689998626708984,53.27000045776367,57.650001525878906,1920800,57.650001525878906
2026-02-03,57.119998931884766,62.369998931884766,57.119998931884766,59.970001220703125,2438600,59.970001220703125
2026-02-04,59.93000030517578,60.93000030517578,57.869998931884766,60.880001068115234,1569000,60.880001068115234
2026-02-05,61.130001068115234,61.404998779296875,57.58000183105469,59.02000045776367,1747800,59.02000045776367
2026-02-06,60.75,62.90999984741211,59.755001068115234,62.439998626708984,1155600,62.439998626708984
2026-02-09,61.84000015258789,62.49700164794922,61.08000183105469,61.79999923706055,1145000,61.79999923706055
2026-02-10,61.709999084472656,62.060001373291016,58.939998626708984,59.220001220703125,1072400,59.220001220703125
2026-02-11,59.61000061035156,60.540000915527344,56.2400016784668,56.349998474121094,1946500,56.349998474121094
2026-02-12,57.630001068115234,59.41999816894531,55.63999938964844,56.939998626708984,1294900,56.939998626708984
2026-02-13,56.93000030517578,59.25,55.7859992980957,58.540000915527344,1286000,58.540000915527344
2026-02-17,58.099998474121094,60.90999984741211,58.099998474121094,60.36000061035156,1443200,60.36000061035156
2026-02-18,59.0,62.9900016784668,58.900001525878906,62.33000183105469,1952800,62.33000183105469
2026-02-19,61.02000045776367,61.72999954223633,59.70000076293945,61.33000183105469,1415800,61.33000183105469
2026-02-20,60.880001068115234,64.76499938964844,60.880001068115234,64.37000274658203,2076400,64.37000274658203
2026-02-23,63.875,64.95999908447266,58.5099983215332,60.869998931884766,1856200,60.869998931884766
2026-02-24,61.0,62.80500030517578,61.0,62.31999969482422,824700,62.31999969482422
2026-02-25,62.470001220703125,63.7400016784668,61.75,62.15999984741211,1337500,62.15999984741211
2026-02-26,62.689998626708984,65.80000305175781,62.63999938964844,65.75,2020600,65.75
2026-02-27,64.0199966430664,64.0199966430664,61.029998779296875,62.70000076293945,2319400,62.70000076293945
2026-03-02,61.5099983215332,61.970001220703125,60.040000915527344,61.18000030517578,1932400,61.18000030517578
2026-03-03,58.369998931884766,62.189998626708984,56.15999984741211,62.119998931884766,2456800,62.119998931884766
2026-03-04,63.150001525878906,64.69000244140625,59.599998474121094,60.0099983215332,3168800,60.0099983215332
2026-03-05,56.400001525878906,56.400001525878906,49.18000030517578,52.709999084472656,10230400,52.709999084472656
2026-03-06,50.15999984741211,50.65999984741211,46.560001373291016,46.72999954223633,5578300,46.72999954223633
2026-03-09,45.33000183105469,48.18000030517578,44.400001525878906,48.119998931884766,5182400,48.119998931884766
2026-03-10,47.0,49.29999923706055,46.45000076293945,47.709999084472656,3281300,47.709999084472656
2026-03-11,46.95000076293945,47.619998931884766,44.869998931884766,45.16999816894531,2739700,45.16999816894531
2026-03-12,44.52000045776367,45.970001220703125,44.099998474121094,44.970001220703125,3379800,44.970001220703125
2026-03-13,45.58000183105469,45.97999954223633,44.529998779296875,44.86000061035156,1826700,44.86000061035156
2026-03-16,45.95000076293945,46.58000183105469,44.93000030517578,45.04999923706055,1667100,45.04999923706055
2026-03-17,46.099998474121094,46.7599983215332,44.849998474121094,46.02000045776367,1673100,46.02000045776367
2026-03-18,46.040000915527344,47.959999084472656,45.779998779296875,47.689998626708984,2465100,47.689998626708984
2026-03-19,46.52000045776367,49.11000061035156,46.220001220703125,48.349998474121094,1836800,48.349998474121094
2026-03-20,48.220001220703125,48.220001220703125,44.40999984741211,44.86000061035156,3646200,44.86000061035156
2026-03-23,46.459999084472656,47.25,45.119998931884766,45.400001525878906,2717600,45.400001525878906
2026-03-24,44.34000015258789,44.810001373291016,42.720001220703125,43.540000915527344,3550000,43.540000915527344
2026-03-25,45.25,45.5,43.67499923706055,44.560001373291016,2458300,44.560001373291016
2026-03-26,43.45000076293945,45.029998779296875,43.45000076293945,44.33000183105469,2062400,44.33000183105469
2026-03-27,43.869998931884766,44.369998931884766,41.9900016784668,42.470001220703125,2102900,42.470001220703125
2026-03-30,43.09000015258789,44.209999084472656,42.369998931884766,43.290000915527344,2301600,43.290000915527344
2026-03-31,45.0,47.0,44.42499923706055,46.36000061035156,2853700,46.36000061035156
2026-04-01,47.4900016784668,49.18000030517578,46.529998779296875,47.31999969482422,2893900,47.31999969482422
2026-04-02,45.86000061035156,47.0,44.52000045776367,46.0,2087700,46.0
2026-04-06,45.40999984741211,48.369998931884766,44.68000030517578,48.2599983215332,2496300,48.2599983215332
2026-04-07,48.189998626708984,49.56100082397461,46.90999984741211,48.58000183105469,2438500,48.58000183105469
2026-04-08,50.91999816894531,52.400001525878906,50.52000045776367,51.560001373291016,3524000,51.560001373291016
2026-04-09,50.9900016784668,53.141998291015625,50.42300033569336,51.540000915527344,1895700,51.540000915527344
2026-04-10,51.689998626708984,51.93899917602539,49.132999420166016,50.369998931884766,2027800,50.369998931884766
2026-04-13,49.849998474121094,50.75,48.459999084472656,49.939998626708984,1528500,49.939998626708984
2026-04-14,50.349998474121094,51.53499984741211,48.47999954223633,48.54999923706055,1835100,48.54999923706055
2026-04-15,48.099998474121094,49.869998931884766,47.31999969482422,49.560001373291016,1627500,49.560001373291016
2026-04-16,49.650001525878906,51.7599983215332,49.650001525878906,51.61000061035156,1958800,51.61000061035156
2026-04-17,53.0,55.11000061035156,53.0,54.720001220703125,2305400,54.720001220703125
2026-04-20,54.5099983215332,55.900001525878906,53.81999969482422,55.34000015258789,1419200,55.34000015258789
2026-04-21,55.72999954223633,57.7599983215332,54.849998474121094,54.91999816894531,1650300,54.91999816894531
2026-04-22,55.47999954223633,56.0,52.33000183105469,52.619998931884766,1808200,52.619998931884766
2026-04-23,52.88999938964844,53.7599983215332,51.2599983215332,52.18000030517578,1014200,52.18000030517578
2026-04-24,52.72999954223633,53.83000183105469,51.66999816894531,52.779998779296875,1087400,52.779998779296875
2026-04-27,53.099998474121094,53.849998474121094,52.130001068115234,52.540000915527344,1421100,52.540000915527344
2026-04-28,52.189998626708984,52.5,50.560001373291016,51.72999954223633,1072900,51.72999954223633
2026-04-29,52.650001525878906,53.02000045776367,50.119998931884766,50.880001068115234,2091300,50.880001068115234
2026-04-30,51.220001220703125,52.61000061035156,50.2400016784668,51.83000183105469,1820300,51.83000183105469
2026-05-01,51.7599983215332,52.91999816894531,50.68000030517578,52.36000061035156,1352900,52.36000061035156
2026-05-04,51.209999084472656,52.209999084472656,50.1619987487793,50.279998779296875,1484700,50.279998779296875
2026-05-05,50.630001068115234,51.970001220703125,49.584999084472656,50.7599983215332,1514600,50.7599983215332
2026-05-06,52.22999954223633,52.89400100708008,50.2599983215332,51.52000045776367,1668500,51.52000045776367
2026-05-07,51.0,52.2400016784668,47.119998931884766,47.54999923706055,2772000,47.54999923706055
2026-05-08,48.099998474121094,49.75,47.380001068115234,48.040000915527344,1946600,48.040000915527344
2026-05-11,48.849998474121094,48.86000061035156,45.70000076293945,46.040000915527344,2367500,46.040000915527344
