,open,high,low,close,volume
2026-04-22,26.639999389648438,26.770000457763672,23.43000030517578,24.579999923706055,8248900
2026-04-23,23.829999923706055,24.719999313354492,22.139999389648438,22.270000457763672,4971400
2026-04-24,22.299999237060547,22.354999542236328,21.450000762939453,22.079999923706055,5254000
2026-04-27,22.079999923706055,22.549999237060547,21.809999465942383,22.1200008392334,3708600
2026-04-28,22.020000457763672,22.395000457763672,21.25,21.260000228881836,2950100
2026-04-29,21.610000610351562,21.610000610351562,20.549999237060547,20.829999923706055,2760300
2026-04-30,20.940000534057617,22.3799991607666,20.851999282836914,21.459999084472656,5658200
2026-05-01,16.020000457763672,16.809999465942383,15.140000343322754,16.114999771118164,18118800
2026-05-04,16.329999923706055,17.420000076293945,16.0,16.979999542236328,6470500
2026-05-05,16.979999542236328,17.764999389648438,16.549999237060547,17.540000915527344,4487000
2026-05-06,17.719999313354492,18.190000534057617,17.229999542236328,17.850000381469727,3859500
2026-05-07,17.920000076293945,18.149999618530273,16.829999923706055,17.149999618530273,2732400
2026-05-08,17.459999084472656,18.149999618530273,17.06100082397461,18.079999923706055,3878900
2026-05-11,18.209999084472656,19.415000915527344,18.149999618530273,18.65999984741211,4233600
2026-05-12,18.299999237060547,19.079999923706055,18.290000915527344,18.950000762939453,2238400
2026-05-13,18.809999465942383,19.079999923706055,18.43000030517578,18.790000915527344,2207600
2026-05-14,18.540000915527344,18.809999465942383,17.785999298095703,18.139999389648438,1971800
2026-05-15,17.780000686645508,17.94700050354004,16.834999084472656,16.8700008392334,2673100
2026-05-18,16.8700008392334,16.965999603271484,15.550000190734863,16.020000457763672,4421300
2026-05-19,15.800000190734863,16.010000228881836,15.550000190734863,15.850000381469727,2644200
2026-05-20,16.1299991607666,17.93000030517578,16.1299991607666,17.889999389648438,4630100
2026-05-21,17.860000610351562,17.959999084472656,17.184999465942383,17.469999313354492,3373900
2026-05-22,16.479999542236328,17.399999618530273,16.131999969482422,16.6200008392334,6890400
2026-05-26,16.579999923706055,17.1299991607666,15.890000343322754,17.0,5257400
