Date,open,high,low,close,volume
2026-04-24,327.44000244140625,332.489990234375,324.19000244140625,331.7699890136719,409900
2026-04-27,329.3500061035156,331.25,319.3599853515625,326.32000732421875,789400
2026-04-28,325.7900085449219,327.4100036621094,319.7200012207031,321.3500061035156,431500
2026-04-29,319.0400085449219,320.6700134277344,316.19000244140625,316.5299987792969,499000
2026-04-30,316.8699951171875,320.9800109863281,315.5199890136719,320.010009765625,551600
2026-05-01,317.3500061035156,322.70001220703125,316.92999267578125,318.0,367800
2026-05-04,314.54998779296875,315.5899963378906,304.7799987792969,309.2699890136719,473000
2026-05-05,311.2900085449219,318.1300048828125,311.1099853515625,312.7099914550781,468500
2026-05-06,316.04998779296875,321.0400085449219,313.9200134277344,316.7300109863281,435300
2026-05-07,317.80999755859375,318.5400085449219,303.1199951171875,306.6000061035156,827200
2026-05-08,303.8900146484375,307.1600036621094,298.32000732421875,304.510009765625,501500
2026-05-11,303.7900085449219,303.7900085449219,287.4200134277344,292.2099914550781,1076200
2026-05-12,292.260009765625,292.8599853515625,283.7799987792969,288.8599853515625,820500
2026-05-13,285.29998779296875,287.1400146484375,280.57000732421875,286.260009765625,839700
2026-05-14,287.1400146484375,295.79998779296875,286.55999755859375,292.5299987792969,768900
2026-05-15,294.1000061035156,294.1000061035156,286.4100036621094,293.6000061035156,719400
2026-05-18,293.5899963378906,297.69000244140625,288.9800109863281,290.3800048828125,589800
2026-05-19,289.489990234375,291.510009765625,284.1600036621094,286.1000061035156,947000
2026-05-20,287.82000732421875,310.260009765625,286.92999267578125,310.19000244140625,1572500
2026-05-21,307.5199890136719,319.2200012207031,304.4200134277344,316.0400085449219,912100
2026-05-22,316.0400085449219,324.9700012207031,314.1600036621094,324.510009765625,1030700
2026-05-26,331.5199890136719,332.2699890136719,323.2699890136719,326.57000732421875,976700
2026-05-27,331.92999267578125,334.80999755859375,321.67999267578125,326.2300109863281,1244100
2026-05-28,281.0,305.5,280.0,300.5199890136719,3050400
