Date,open,high,low,close,adj_close,volume
2026-01-05,74.87000274658203,77.48500061035156,74.75,76.87999725341797,76.87999725341797,156700
2026-01-06,75.80000305175781,78.6500015258789,75.37899780273438,76.0999984741211,76.0999984741211,202400
2026-01-07,76.44000244140625,80.0,72.9000015258789,75.93000030517578,75.93000030517578,152400
2026-01-08,75.19000244140625,77.0,74.0,75.19999694824219,75.19999694824219,147600
2026-01-09,75.55000305175781,76.44000244140625,72.18000030517578,72.86000061035156,72.86000061035156,119600
2026-01-12,72.56999969482422,77.4800033569336,69.47000122070312,75.94000244140625,75.94000244140625,200200
2026-01-13,75.68000030517578,75.68499755859375,70.58999633789062,73.27999877929688,73.27999877929688,224300
2026-01-14,73.27999877929688,76.3499984741211,71.16000366210938,75.93000030517578,75.93000030517578,116700
2026-01-15,75.87000274658203,76.47000122070312,71.0999984741211,71.80000305175781,71.80000305175781,137400
2026-01-16,72.5,74.44999694824219,71.0999984741211,72.2699966430664,72.2699966430664,252800
2026-01-20,71.75,75.58000183105469,70.5999984741211,72.9000015258789,72.9000015258789,233600
2026-01-21,73.01000213623047,75.9800033569336,72.47000122070312,75.0999984741211,75.0999984741211,146700
2026-01-22,75.16999816894531,82.16000366210938,75.16999816894531,79.48999786376953,79.48999786376953,303900
2026-01-23,79.62000274658203,79.62000274658203,74.66000366210938,74.66000366210938,74.66000366210938,122100
2026-01-26,74.2699966430664,76.18000030517578,71.25,72.0,72.0,183800
2026-01-27,72.0,73.99500274658203,71.62000274658203,73.48999786376953,73.48999786376953,146800
2026-01-28,73.5199966430664,76.7249984741211,71.93000030517578,73.9800033569336,73.9800033569336,475300
2026-01-29,74.73999786376953,75.25,72.4000015258789,72.55999755859375,72.55999755859375,297500
2026-01-30,72.01000213623047,76.94000244140625,70.63999938964844,76.2699966430664,76.2699966430664,291700
2026-02-02,76.04000091552734,84.05000305175781,76.04000091552734,82.2300033569336,82.2300033569336,202500
2026-02-03,82.5,88.0,82.1449966430664,85.08000183105469,85.08000183105469,196000
2026-02-04,85.19000244140625,86.17500305175781,80.51100158691406,82.55999755859375,82.55999755859375,170600
2026-02-05,82.12999725341797,84.98999786376953,78.4800033569336,81.52999877929688,81.52999877929688,148800
2026-02-06,83.22000122070312,84.9800033569336,81.3499984741211,83.91000366210938,83.91000366210938,142900
2026-02-09,83.4000015258789,88.72000122070312,82.80999755859375,86.48999786376953,86.48999786376953,137500
2026-02-10,86.94000244140625,86.94000244140625,82.08000183105469,83.30000305175781,83.30000305175781,138800
2026-02-11,84.08000183105469,84.08000183105469,77.23699951171875,81.98999786376953,81.98999786376953,192800
2026-02-12,82.9000015258789,83.83999633789062,79.36000061035156,82.11000061035156,82.11000061035156,111000
2026-02-13,82.30000305175781,84.1500015258789,75.76000213623047,75.80000305175781,75.80000305175781,137500
2026-02-17,75.0,80.43000030517578,74.76499938964844,78.7699966430664,78.7699966430664,220700
2026-02-18,76.94999694824219,82.19999694824219,76.94999694824219,81.58000183105469,81.58000183105469,229900
2026-02-19,81.6500015258789,84.5,80.0,81.08000183105469,81.08000183105469,110900
2026-02-20,80.47000122070312,81.0199966430664,76.16999816894531,78.63999938964844,78.63999938964844,81600
2026-02-23,79.83999633789062,80.11499786376953,76.02999877929688,76.58999633789062,76.58999633789062,140800
2026-02-24,77.3499984741211,81.03500366210938,77.3499984741211,79.5,79.5,232000
2026-02-25,80.38999938964844,82.58999633789062,78.8499984741211,80.2699966430664,80.2699966430664,234200
2026-02-26,80.62999725341797,80.62999725341797,76.7300033569336,77.2300033569336,77.2300033569336,113300
2026-02-27,77.2300033569336,78.4800033569336,73.42500305175781,74.12999725341797,74.12999725341797,229100
2026-03-02,72.4800033569336,77.48999786376953,70.71499633789062,77.48999786376953,77.48999786376953,348200
2026-03-03,75.5199966430664,77.4000015258789,72.82499694824219,74.33000183105469,74.33000183105469,142400
2026-03-04,75.79000091552734,76.48999786376953,74.09500122070312,74.62999725341797,74.62999725341797,75500
2026-03-05,74.0,74.01000213623047,69.25,70.66000366210938,70.66000366210938,179500
2026-03-06,70.5,73.0,67.15899658203125,69.18000030517578,69.18000030517578,154700
2026-03-09,69.18000030517578,73.36000061035156,68.12000274658203,71.86000061035156,71.86000061035156,265500
2026-03-10,72.19000244140625,75.91000366210938,70.9800033569336,71.62999725341797,71.62999725341797,219600
2026-03-11,71.12999725341797,74.02999877929688,71.02999877929688,73.5,73.5,122600
2026-03-12,72.29000091552734,72.29000091552734,68.76000213623047,69.30000305175781,69.30000305175781,159900
2026-03-13,70.01000213623047,71.4000015258789,67.79000091552734,68.73999786376953,68.73999786376953,137700
2026-03-16,68.70999908447266,70.95999908447266,67.25,69.26000213623047,69.26000213623047,146900
2026-03-17,69.26000213623047,72.69999694824219,67.48999786376953,69.70999908447266,69.70999908447266,119400
2026-03-18,68.55999755859375,69.11000061035156,66.07499694824219,68.69000244140625,68.69000244140625,164100
2026-03-19,68.18000030517578,68.18000030517578,62.65999984741211,64.87000274658203,64.87000274658203,184000
2026-03-20,63.88999938964844,64.29000091552734,60.22999954223633,60.91999816894531,60.91999816894531,680600
2026-03-23,63.040000915527344,65.25,62.29999923706055,64.62999725341797,64.62999725341797,202100
2026-03-24,63.16999816894531,63.38999938964844,59.97999954223633,63.119998931884766,63.119998931884766,358100
2026-03-25,63.560001373291016,68.91000366210938,63.560001373291016,66.45999908447266,66.45999908447266,196100
2026-03-26,65.31999969482422,68.36000061035156,65.31999969482422,65.79000091552734,65.79000091552734,212600
2026-03-27,64.7300033569336,65.83999633789062,57.29999923706055,58.38999938964844,58.38999938964844,293900
2026-03-30,58.880001068115234,62.91999816894531,58.02000045776367,59.880001068115234,59.880001068115234,180300
2026-03-31,61.2599983215332,68.0,61.2599983215332,67.2300033569336,67.2300033569336,256700
2026-04-01,68.76000213623047,71.6500015258789,67.05000305175781,67.05000305175781,67.05000305175781,178600
2026-04-02,64.7699966430664,66.0,63.130001068115234,63.529998779296875,63.529998779296875,190000
2026-04-06,63.720001220703125,66.0,62.255001068115234,63.720001220703125,63.720001220703125,147600
2026-04-07,62.900001525878906,63.689998626708984,60.32500076293945,62.349998474121094,62.349998474121094,142300
2026-04-08,67.87000274658203,71.0,65.37999725341797,67.12999725341797,67.12999725341797,334200
2026-04-09,66.41000366210938,77.3499984741211,66.41000366210938,75.75,75.75,508600
2026-04-10,75.75,77.05999755859375,72.2699966430664,75.2699966430664,75.2699966430664,315600
2026-04-13,74.77999877929688,80.0,74.72000122070312,77.45999908447266,77.45999908447266,213700
2026-04-14,77.66000366210938,83.19999694824219,76.72000122070312,83.19000244140625,83.19000244140625,200500
2026-04-15,83.06999969482422,85.94000244140625,79.76499938964844,83.59500122070312,83.59500122070312,263900
2026-04-16,83.47000122070312,83.64900207519531,80.80999755859375,83.11000061035156,83.11000061035156,120700
2026-04-17,83.11000061035156,89.88999938964844,82.875,88.2300033569336,88.2300033569336,416600
2026-04-20,87.0999984741211,87.0999984741211,80.83000183105469,82.38500213623047,82.38500213623047,241900
2026-04-21,84.58999633789062,85.55999755859375,82.11000061035156,84.08000183105469,84.08000183105469,705000
2026-04-22,147.5,155.2899932861328,100.0,115.08999633789062,115.08999633789062,2735400
2026-04-23,118.41000366210938,131.0,116.06999969482422,119.93000030517578,119.93000030517578,955500
2026-04-24,121.19000244140625,129.60000610351562,116.5999984741211,129.05999755859375,129.05999755859375,617200
2026-04-27,129.14999389648438,133.0,125.42500305175781,131.4499969482422,131.4499969482422,780800
2026-04-28,129.92999267578125,133.2949981689453,125.37000274658203,130.6649932861328,130.6649932861328,379900
2026-04-29,128.97999572753906,131.35000610351562,124.61000061035156,124.81999969482422,124.81999969482422,326700
2026-04-30,126.55000305175781,132.0,122.61000061035156,129.2100067138672,129.2100067138672,539900
2026-05-01,129.0,134.05999755859375,124.75199890136719,128.7899932861328,128.7899932861328,327500
2026-05-04,127.98999786376953,134.39999389648438,127.55999755859375,127.94999694824219,127.94999694824219,509600
2026-05-05,128.9499969482422,133.89999389648438,125.5250015258789,128.1199951171875,128.1199951171875,422300
2026-05-06,128.6999969482422,142.1199951171875,127.24500274658203,141.83999633789062,141.83999633789062,774300
2026-05-07,141.77999877929688,141.77999877929688,120.45999908447266,124.5199966430664,124.5199966430664,465100
2026-05-08,125.19000244140625,134.9199981689453,121.4000015258789,134.35000610351562,134.35000610351562,398300
2026-05-11,150.0,150.97999572753906,127.16999816894531,127.58000183105469,127.58000183105469,1330100
2026-05-12,125.0,125.0,99.19999694824219,108.6500015258789,108.6500015258789,1273200
2026-05-13,106.51000213623047,118.5199966430664,104.8499984741211,117.94999694824219,117.94999694824219,880100
2026-05-14,117.94999694824219,118.9800033569336,112.11000061035156,116.16000366210938,116.16000366210938,563700
2026-05-15,118.58000183105469,118.58000183105469,102.16999816894531,108.63999938964844,108.63999938964844,394300
2026-05-18,108.63999938964844,110.98699951171875,100.41000366210938,105.80000305175781,105.80000305175781,393800
2026-05-19,102.91999816894531,111.1050033569336,101.19000244140625,109.51000213623047,109.51000213623047,303500
2026-05-20,110.9800033569336,113.94999694824219,104.41999816894531,110.01000213623047,110.01000213623047,428200
2026-05-21,107.61000061035156,110.87999725341797,105.09300231933594,110.56999969482422,110.56999969482422,335100
