Date,open,high,low,close,volume
2026-05-19,273.5,275.4800109863281,271.1700134277344,271.55999755859375,2578700
2026-05-20,269.9700012207031,274.6300048828125,264.69000244140625,265.79998779296875,3795100
2026-05-21,264.9800109863281,268.6400146484375,263.9200134277344,265.44000244140625,2308800
2026-05-22,265.8500061035156,268.3900146484375,264.44000244140625,265.8800048828125,2597300
2026-05-26,266.2200012207031,272.6600036621094,266.1499938964844,271.1000061035156,3092300
2026-05-27,272.57000732421875,279.70001220703125,272.57000732421875,279.3900146484375,4045800
2026-05-28,275.6600036621094,276.2900085449219,264.8399963378906,267.0,6081800
2026-05-29,264.2900085449219,269.010009765625,259.510009765625,262.6400146484375,6342500
2026-06-01,260.19000244140625,263.7900085449219,258.6600036621094,263.5,2578700
2026-06-02,263.5400085449219,266.239990234375,262.3699951171875,264.67999267578125,2523500
2026-06-03,263.9599914550781,267.2200012207031,262.1300048828125,262.1300048828125,2876300
2026-06-04,267.1199951171875,268.8299865722656,260.6199951171875,263.8999938964844,2325200
2026-06-05,264.489990234375,274.1300048828125,264.489990234375,272.32000732421875,2784100
2026-06-08,271.7799987792969,274.0,268.3900146484375,268.6700134277344,2424400
2026-06-09,269.4100036621094,271.5199890136719,267.82000732421875,271.2799987792969,2848700
2026-06-10,270.4800109863281,272.7699890136719,266.6400146484375,267.0299987792969,1914000
2026-06-11,267.54998779296875,269.75,264.55999755859375,268.2799987792969,2908500
2026-06-12,269.9700012207031,273.739990234375,267.75,272.70001220703125,1927100
2026-06-15,272.3900146484375,272.6400146484375,267.0400085449219,267.32000732421875,2552700
2026-06-16,269.489990234375,270.7900085449219,266.20001220703125,267.45001220703125,2011300
2026-06-17,265.92999267578125,266.3500061035156,255.49000549316406,258.04998779296875,3676100
2026-06-18,258.0799865722656,263.67999267578125,256.1199951171875,256.8800048828125,3443000
2026-06-22,256.5400085449219,262.6400146484375,255.22000122070312,259.9100036621094,2323200
