Date,open,high,low,close,volume
2026-05-19,137.6999969482422,138.7899932861328,136.1199951171875,138.22999572753906,639700
2026-05-20,138.57000732421875,140.0500030517578,137.97000122070312,139.75,447700
2026-05-21,138.9199981689453,140.25,137.94000244140625,139.00999450683594,514200
2026-05-22,139.1699981689453,139.97999572753906,138.91000366210938,139.3800048828125,311400
2026-05-26,139.1999969482422,140.82000732421875,138.5800018310547,139.5399932861328,386300
2026-05-27,139.5399932861328,139.88999938964844,137.36000061035156,137.69000244140625,393100
2026-05-28,137.22000122070312,138.07000732421875,135.94000244140625,136.25999450683594,465900
2026-05-29,134.80999755859375,136.35000610351562,134.6999969482422,135.52000427246094,561800
2026-06-01,134.4199981689453,136.25,132.75999450683594,132.7899932861328,417000
2026-06-02,132.57000732421875,135.72000122070312,132.57000732421875,135.5399932861328,391200
2026-06-03,135.1699981689453,135.6699981689453,134.0800018310547,134.27999877929688,541300
2026-06-04,136.32000732421875,138.38999938964844,135.77000427246094,137.8699951171875,443200
2026-06-05,138.6300048828125,141.60000610351562,138.27000427246094,140.16000366210938,589600
2026-06-08,140.41000366210938,141.80999755859375,140.41000366210938,140.85000610351562,506600
2026-06-09,141.60000610351562,144.8000030517578,141.60000610351562,143.69000244140625,637900
2026-06-10,144.1999969482422,145.75999450683594,143.42999267578125,144.5,962100
2026-06-11,145.22000122070312,146.4199981689453,144.6199951171875,146.11000061035156,560100
2026-06-12,146.77000427246094,148.52999877929688,139.1999969482422,148.0,668200
2026-06-15,148.1699981689453,148.60000610351562,144.82000732421875,145.0399932861328,1334000
2026-06-16,145.77000427246094,147.00999450683594,145.6300048828125,146.3000030517578,500100
2026-06-17,145.63999938964844,147.30999755859375,143.6199951171875,145.5500030517578,817600
2026-06-18,147.17999267578125,147.47000122070312,145.25999450683594,145.66000366210938,1216800
2026-06-22,146.30999755859375,149.47000122070312,145.47999572753906,149.38999938964844,560700
