,open,high,low,close,volume
2026-04-20,393.8999938964844,404.8699951171875,391.9100036621094,404.8299865722656,2814300
2026-04-21,407.82000732421875,419.0,400.6700134277344,404.8500061035156,3137700
2026-04-22,405.510009765625,413.7799987792969,402.7200012207031,408.67999267578125,3354300
2026-04-23,385.0,385.82000732421875,373.9599914550781,383.29998779296875,3900200
2026-04-24,381.8699951171875,396.7300109863281,381.0,395.95001220703125,2336200
2026-04-27,390.04998779296875,398.989990234375,384.67999267578125,389.9200134277344,2380800
2026-04-28,398.0,404.2099914550781,396.6000061035156,400.3800048828125,2225100
2026-04-29,396.69000244140625,396.8999938964844,389.010009765625,395.0799865722656,1885000
2026-04-30,382.0,390.19000244140625,380.0,388.5,2450900
2026-05-01,402.20001220703125,408.4200134277344,386.7799987792969,399.0400085449219,2102000
2026-05-04,400.260009765625,418.1499938964844,399.3999938964844,406.989990234375,2379700
2026-05-05,404.6300048828125,404.6300048828125,390.3399963378906,398.32000732421875,2078400
2026-05-06,390.0,398.2799987792969,381.510009765625,388.54998779296875,2247700
2026-05-07,395.3800048828125,411.79998779296875,395.0,406.7799987792969,2200400
2026-05-08,395.5400085449219,399.7099914550781,385.20001220703125,396.30999755859375,2348500
2026-05-11,392.5199890136719,400.0799865722656,389.0,393.2900085449219,1622500
2026-05-12,395.05999755859375,396.1600036621094,385.5899963378906,387.739990234375,2575200
2026-05-13,383.20001220703125,384.8699951171875,369.55999755859375,371.7099914550781,3494300
2026-05-14,371.6600036621094,385.8299865722656,366.29998779296875,378.2900085449219,2461900
2026-05-15,384.6700134277344,399.3900146484375,384.6700134277344,393.0,3524200
2026-05-18,391.8299865722656,407.760009765625,387.5199890136719,403.1600036621094,2637200
2026-05-19,419.05999755859375,423.989990234375,397.9100036621094,399.7099914550781,3192700
2026-05-20,384.45001220703125,390.5,374.9100036621094,383.92999267578125,6992600
2026-05-21,312.2900085449219,315.510009765625,302.3599853515625,307.07000732421875,22353500
2026-05-22,307.7200012207031,321.0400085449219,306.510009765625,319.94000244140625,12469600
