Date,open,high,low,close,volume,adj_close
2026-01-29,185.27999877929688,187.11000061035156,184.69000244140625,186.5,2759800,185.74034118652344
2026-01-30,185.66000366210938,188.7100067138672,185.66000366210938,188.64999389648438,2062600,187.88157653808594
2026-02-02,188.64999389648438,191.25999450683594,187.8000030517578,190.11000061035156,3444500,189.33563232421875
2026-02-03,189.19000244140625,193.5800018310547,188.77000427246094,191.1199951171875,2291400,190.3415069580078
2026-02-04,191.8300018310547,193.88999938964844,188.0500030517578,189.27000427246094,2764000,188.49905395507812
2026-02-05,189.3699951171875,191.10000610351562,187.99000549316406,189.22999572753906,2626300,188.45919799804688
2026-02-06,190.61000061035156,191.85000610351562,189.72000122070312,190.74000549316406,3185300,189.96307373046875
2026-02-09,190.66000366210938,194.75999450683594,190.00999450683594,194.5,1902200,193.70774841308594
2026-02-10,193.86000061035156,194.82000732421875,191.94000244140625,192.3300018310547,2601600,191.5465850830078
2026-02-11,193.64999389648438,193.64999389648438,191.22000122070312,192.5399932861328,2115700,191.75572204589844
2026-02-12,194.5399932861328,197.17999267578125,193.66000366210938,194.85000610351562,1942700,194.05633544921875
2026-02-13,194.52999877929688,197.24000549316406,193.32000732421875,196.5399932861328,1445700,195.7394256591797
2026-02-17,198.1300048828125,198.97999572753906,195.19000244140625,198.2100067138672,2528900,197.40264892578125
2026-02-18,197.69000244140625,200.60000610351562,197.16000366210938,200.3800048828125,2205100,199.56381225585938
2026-02-19,199.42999267578125,200.57000732421875,198.3800048828125,200.3800048828125,1574600,199.56381225585938
2026-02-20,199.39999389648438,203.30999755859375,198.88999938964844,201.4499969482422,1987900,200.62942504882812
2026-02-23,202.0500030517578,202.77999877929688,198.27000427246094,201.88999938964844,1795400,201.06764221191406
2026-02-24,202.10000610351562,202.30999755859375,199.07000732421875,200.5500030517578,1883500,199.7331085205078
2026-02-25,199.92999267578125,204.85000610351562,199.92999267578125,201.52999877929688,2203800,200.7091064453125
2026-02-26,202.91000366210938,204.72000122070312,202.14999389648438,203.5,2641300,202.6710968017578
2026-02-27,202.64999389648438,206.39999389648438,201.27999877929688,205.63999938964844,4422700,204.8023681640625
2026-03-02,203.08999633789062,204.25,200.52999877929688,202.3000030517578,3048600,201.47596740722656
2026-03-03,198.75,199.3300018310547,194.07000732421875,197.63999938964844,4988600,196.8349609375
2026-03-04,214.75,216.8000030517578,206.5399932861328,213.52000427246094,7735700,212.65028381347656
2026-03-05,211.49000549316406,214.8800048828125,211.2100067138672,214.8300018310547,3595600,213.95494079589844
2026-03-06,213.00999450683594,213.63999938964844,209.72999572753906,211.75,2410500,210.88748168945312
2026-03-09,209.97999572753906,212.27999877929688,204.25,212.14999389648438,3408600,211.2858428955078
2026-03-10,211.0500030517578,216.58999633789062,209.3699951171875,212.92999267578125,2562000,212.0626678466797
2026-03-11,212.6999969482422,214.11000061035156,211.5500030517578,212.8699951171875,2131500,212.00291442871094
2026-03-12,210.42999267578125,213.1699981689453,209.39999389648438,209.83999633789062,2283700,208.98524475097656
2026-03-13,209.60000610351562,210.75,206.00999450683594,206.27999877929688,2583200,205.87635803222656
2026-03-16,206.82000732421875,210.30999755859375,206.82000732421875,207.9600067138672,2073000,207.55308532714844
2026-03-17,209.33999633789062,210.3800048828125,208.52000427246094,209.19000244140625,2120000,208.78067016601562
2026-03-18,208.1999969482422,210.9499969482422,207.02000427246094,207.22000122070312,2491900,206.81451416015625
2026-03-19,207.11000061035156,211.4600067138672,206.6300048828125,210.66000366210938,2143000,210.24778747558594
2026-03-20,209.5399932861328,211.36000061035156,208.0800018310547,211.19000244140625,4013500,210.77674865722656
2026-03-23,213.4199981689453,215.4499969482422,212.9600067138672,213.08999633789062,2067300,212.67303466796875
2026-03-24,211.89999389648438,216.10000610351562,210.52999877929688,215.8000030517578,2711800,215.3777313232422
2026-03-25,215.6199951171875,216.5,212.13999938964844,216.02999877929688,3764800,215.60728454589844
2026-03-26,216.3300018310547,217.50999450683594,214.16000366210938,214.3000030517578,2927300,213.88067626953125
2026-03-27,213.5800018310547,213.99000549316406,210.8300018310547,211.69000244140625,2571900,211.27577209472656
2026-03-30,211.69000244140625,212.61000061035156,207.47999572753906,208.7899932861328,3009600,208.38143920898438
2026-03-31,211.5,217.49000549316406,211.00999450683594,216.6300048828125,2893200,216.20611572265625
2026-04-01,217.74000549316406,222.02999877929688,216.47000122070312,219.9499969482422,2612400,219.5196075439453
2026-04-02,218.16000366210938,221.16000366210938,217.25999450683594,219.97999572753906,2193100,219.54954528808594
2026-04-06,219.19000244140625,221.3699951171875,218.8300018310547,221.2100067138672,1982000,220.7771453857422
2026-04-07,219.99000549316406,220.61000061035156,215.1300048828125,216.33999633789062,2692800,215.9166717529297
2026-04-08,219.1999969482422,224.60000610351562,219.1999969482422,224.47000122070312,3039000,224.03076171875
2026-04-09,223.6999969482422,226.63999938964844,223.6300048828125,224.91000366210938,1641200,224.46990966796875
2026-04-10,224.39999389648438,224.83999633789062,219.69000244140625,221.16000366210938,2978000,220.7272491455078
2026-04-13,221.57000732421875,221.9600067138672,219.60000610351562,220.9499969482422,1843500,220.5176544189453
2026-04-14,220.35000610351562,223.60000610351562,219.0800018310547,223.2899932861328,1790900,222.8530731201172
2026-04-15,222.9499969482422,225.2100067138672,221.88999938964844,224.14999389648438,1701600,223.7113800048828
2026-04-16,223.35000610351562,224.91000366210938,220.3300018310547,221.97000122070312,1514000,221.53565979003906
2026-04-17,224.1199951171875,228.7100067138672,223.0,227.82000732421875,2909700,227.3742218017578
2026-04-20,228.0,230.44000244140625,227.5,228.25,1809400,227.80337524414062
2026-04-21,228.5500030517578,229.67999267578125,224.61000061035156,225.58999633789062,1997000,225.14857482910156
