Date,open,high,low,close,volume
2026-06-17,6.260000228881836,6.454999923706055,6.0,6.139999866485596,2443600
2026-06-18,6.110000133514404,6.59499979019165,6.070000171661377,6.480000019073486,4444800
2026-06-22,6.380000114440918,6.519999980926514,6.304999828338623,6.369999885559082,2112900
2026-06-23,6.429999828338623,6.494999885559082,6.349999904632568,6.400000095367432,2752200
2026-06-24,6.480000019073486,6.769999980926514,6.480000019073486,6.599999904632568,2348900
2026-06-25,6.53000020980835,6.71999979019165,6.449999809265137,6.570000171661377,2427200
2026-06-26,6.519999980926514,7.03000020980835,6.519999980926514,6.929999828338623,8770400
2026-06-29,6.909999847412109,7.235000133514404,6.855000019073486,7.199999809265137,3615100
2026-06-30,7.090000152587891,7.335000038146973,7.047999858856201,7.190000057220459,2756400
2026-07-01,7.329999923706055,7.429999828338623,7.199999809265137,7.289999961853027,2375300
2026-07-02,7.289999961853027,7.380000114440918,7.079999923706055,7.300000190734863,2376300
2026-07-06,7.230000019073486,7.590000152587891,7.230000019073486,7.429999828338623,3192500
2026-07-07,7.480000019073486,7.590000152587891,7.289999961853027,7.289999961853027,2324500
2026-07-08,7.159999847412109,7.25,6.940000057220459,6.989999771118164,5755200
2026-07-09,6.860000133514404,7.005000114440918,6.800000190734863,6.920000076293945,2679500
2026-07-10,7.019999980926514,7.110000133514404,6.644999980926514,6.670000076293945,3046700
2026-07-13,6.690000057220459,6.835000038146973,6.614999771118164,6.809999942779541,2451700
2026-07-14,6.690000057220459,7.28000020980835,6.670000076293945,7.230000019073486,3318400
2026-07-15,7.340000152587891,7.559999942779541,7.15500020980835,7.460000038146973,2848300
2026-07-16,7.46999979019165,7.735000133514404,7.394999980926514,7.630000114440918,3254900
2026-07-17,7.5,7.550000190734863,7.28000020980835,7.449999809265137,3085800
2026-07-20,7.340000152587891,7.570000171661377,7.21999979019165,7.409999847412109,3324000
2026-07-21,7.400000095367432,7.949999809265137,7.324999809265137,7.929999828338623,2986700
