Date,open,high,low,close,volume
2026-04-14,210.14999389648438,215.16000366210938,196.69000244140625,214.11000061035156,3001200
2026-04-15,213.80999755859375,219.4600067138672,208.6199951171875,215.6300048828125,1845200
2026-04-16,215.25999450683594,217.22000122070312,205.72000122070312,214.75,2168300
2026-04-17,219.89999389648438,227.22999572753906,215.1199951171875,226.4499969482422,2254300
2026-04-20,224.41000366210938,228.72999572753906,217.66000366210938,224.49000549316406,2221200
2026-04-21,221.0,225.80999755859375,211.58999633789062,216.72000122070312,2021700
2026-04-22,221.41000366210938,222.8000030517578,201.5,206.10000610351562,4192400
2026-04-23,208.3300018310547,213.27000427246094,193.25,201.27000427246094,3891300
2026-04-24,203.0,207.47999572753906,192.52000427246094,200.5399932861328,3224800
2026-04-27,201.27999877929688,205.2899932861328,194.91000366210938,203.3300018310547,2518300
2026-04-28,194.0,194.80999755859375,184.13999938964844,193.5500030517578,2812200
2026-04-29,197.47000122070312,200.72999572753906,189.07000732421875,199.17999267578125,2109000
2026-04-30,203.13999938964844,221.77000427246094,200.85000610351562,221.0500030517578,2649800
2026-05-01,215.3300018310547,223.57000732421875,213.00999450683594,218.00999450683594,1445700
2026-05-04,218.02999877929688,220.99000549316406,208.30999755859375,215.05999755859375,1634900
2026-05-05,223.17999267578125,228.99000549316406,217.60000610351562,225.52999877929688,1695500
2026-05-06,232.6699981689453,232.6699981689453,214.00999450683594,216.8699951171875,2319500
2026-05-07,211.83999633789062,213.8699951171875,200.88999938964844,210.0,2779200
2026-05-08,215.11000061035156,216.30999755859375,205.3300018310547,211.02000427246094,1597900
2026-05-11,212.36000061035156,230.60000610351562,211.97999572753906,228.8800048828125,2691800
2026-05-12,222.72999572753906,224.16000366210938,209.75999450683594,220.8300018310547,2338700
2026-05-13,253.9499969482422,271.9200134277344,243.5,270.7699890136719,6109900
2026-05-14,267.9700012207031,283.4599914550781,262.0,280.69000244140625,3404100
2026-05-15,274.8599853515625,278.5,262.239990234375,273.9800109863281,2218700
2026-05-18,272.8500061035156,277.8500061035156,240.8300018310547,248.07000732421875,3268200
