Date,open,high,low,close,adj_close,volume
2026-01-29,123.94000244140625,123.94000244140625,118.66999816894531,119.06999969482422,119.06999969482422,753100
2026-01-30,120.13999938964844,123.54000091552734,116.62999725341797,119.37999725341797,119.37999725341797,761100
2026-02-02,119.63999938964844,121.73999786376953,117.41000366210938,117.47000122070312,117.47000122070312,530500
2026-02-03,118.5199966430664,119.56999969482422,116.4000015258789,118.13999938964844,118.13999938964844,501600
2026-02-04,117.94999694824219,118.0999984741211,110.72000122070312,114.66999816894531,114.66999816894531,930100
2026-02-05,114.9000015258789,116.75499725341797,112.66999816894531,113.5199966430664,113.5199966430664,787400
2026-02-06,114.37000274658203,114.9749984741211,110.6500015258789,112.5199966430664,112.5199966430664,951600
2026-02-09,112.62999725341797,113.51000213623047,110.38800048828125,113.2699966430664,113.2699966430664,538800
2026-02-10,113.41999816894531,115.19000244140625,112.63500213623047,113.02999877929688,113.02999877929688,435300
2026-02-11,114.98999786376953,114.98999786376953,106.43000030517578,109.02999877929688,109.02999877929688,869200
2026-02-12,108.87000274658203,109.33999633789062,105.37000274658203,106.73999786376953,106.73999786376953,498100
2026-02-13,107.58999633789062,110.62000274658203,106.75,109.47000122070312,109.47000122070312,606800
2026-02-17,109.7300033569336,111.77999877929688,106.58000183105469,106.63999938964844,106.63999938964844,1263500
2026-02-18,103.55000305175781,121.69499969482422,103.55000305175781,121.0,121.0,1789600
2026-02-19,119.47000122070312,120.19000244140625,114.9000015258789,117.0999984741211,117.0999984741211,1128600
2026-02-20,116.33000183105469,120.80000305175781,116.30000305175781,120.2699966430664,120.2699966430664,756200
2026-02-23,119.12000274658203,120.73999786376953,118.22000122070312,120.41000366210938,120.41000366210938,665700
2026-02-24,121.26000213623047,122.4800033569336,118.77300262451172,119.16999816894531,119.16999816894531,540600
2026-02-25,120.0999984741211,121.72000122070312,117.95999908447266,120.88999938964844,120.88999938964844,797500
2026-02-26,122.0,123.16000366210938,120.69999694824219,121.43000030517578,121.43000030517578,637600
2026-02-27,119.69000244140625,121.02999877929688,118.43000030517578,120.4000015258789,120.4000015258789,614600
2026-03-02,119.04000091552734,121.2699966430664,116.94999694824219,121.12000274658203,121.12000274658203,1171400
2026-03-03,118.5199966430664,118.5199966430664,112.66000366210938,117.75,117.75,589500
2026-03-04,117.19000244140625,117.73999786376953,114.83899688720703,115.37000274658203,115.37000274658203,301900
2026-03-05,113.27999877929688,114.4000015258789,111.4000015258789,112.0999984741211,112.0999984741211,436800
2026-03-06,110.0,110.01499938964844,106.5,107.7300033569336,107.7300033569336,622700
2026-03-09,105.83000183105469,106.22000122070312,99.83999633789062,105.77999877929688,105.77999877929688,953000
2026-03-10,105.80999755859375,106.77999877929688,102.30000305175781,103.1500015258789,103.1500015258789,875000
2026-03-11,102.77999877929688,104.13999938964844,100.46499633789062,102.86000061035156,102.86000061035156,508200
2026-03-12,100.75,101.91000366210938,97.13999938964844,97.79000091552734,97.79000091552734,866900
2026-03-13,98.43000030517578,100.7300033569336,95.87000274658203,97.0199966430664,97.0199966430664,646400
2026-03-16,97.98999786376953,99.54000091552734,96.47000122070312,98.94000244140625,98.94000244140625,477000
2026-03-17,99.1500015258789,103.08000183105469,98.91999816894531,102.93000030517578,102.93000030517578,816100
2026-03-18,101.69999694824219,104.64299774169922,101.28500366210938,103.22000122070312,103.22000122070312,562200
2026-03-19,102.98999786376953,104.55000305175781,100.45999908447266,102.08999633789062,102.08999633789062,603100
2026-03-20,104.5199966430664,105.36000061035156,100.1500015258789,100.98999786376953,100.98999786376953,1143400
2026-03-23,104.12999725341797,107.83999633789062,102.23500061035156,106.83999633789062,106.83999633789062,1085900
2026-03-24,105.23999786376953,107.16500091552734,103.69000244140625,105.2300033569336,105.2300033569336,781900
2026-03-25,106.45999908447266,109.66999816894531,105.3949966430664,109.5999984741211,109.5999984741211,706200
2026-03-26,108.51000213623047,110.12999725341797,107.30999755859375,107.75,107.75,885500
2026-03-27,106.73999786376953,106.73999786376953,102.12000274658203,103.18000030517578,103.18000030517578,625300
2026-03-30,103.48999786376953,105.47000122070312,102.12000274658203,105.01000213623047,105.01000213623047,608000
2026-03-31,106.75,108.9000015258789,104.77999877929688,107.66000366210938,107.66000366210938,627600
2026-04-01,108.69000244140625,113.65499877929688,107.68000030517578,112.63999938964844,112.63999938964844,1000400
2026-04-02,109.79000091552734,113.8949966430664,108.72000122070312,112.7699966430664,112.7699966430664,591400
2026-04-06,112.26000213623047,116.80999755859375,110.5,116.69000244140625,116.69000244140625,845900
2026-04-07,115.01000213623047,117.47000122070312,113.25499725341797,115.05999755859375,115.05999755859375,707000
2026-04-08,119.8499984741211,123.01000213623047,117.44499969482422,118.62000274658203,118.62000274658203,799000
2026-04-09,118.27999877929688,120.66999816894531,115.27999877929688,119.44999694824219,119.44999694824219,536000
2026-04-10,120.66999816894531,120.95999908447266,116.09500122070312,116.4000015258789,116.4000015258789,522100
2026-04-13,116.33000183105469,119.66999816894531,116.0,119.48999786376953,119.48999786376953,543400
2026-04-14,119.5,122.0,119.5,120.5199966430664,120.5199966430664,579100
2026-04-15,121.0199966430664,122.0,118.56700134277344,121.0,121.0,491800
2026-04-16,121.12999725341797,123.3949966430664,120.40499877929688,121.62000274658203,121.62000274658203,793500
2026-04-17,123.80000305175781,127.0,123.41100311279297,124.79000091552734,124.79000091552734,585700
2026-04-20,123.77999877929688,127.0,122.52999877929688,124.55000305175781,124.55000305175781,442200
2026-04-21,123.9800033569336,125.30000305175781,121.16999816894531,122.11000061035156,122.11000061035156,496800
2026-04-22,123.5,126.38999938964844,120.63500213623047,121.6500015258789,121.6500015258789,459700
2026-04-23,121.25,123.20500183105469,119.83499908447266,120.87000274658203,120.87000274658203,473900
2026-04-24,121.0999984741211,122.27999877929688,119.0250015258789,121.4800033569336,121.4800033569336,455000
2026-04-27,121.56999969482422,124.375,120.81999969482422,122.06999969482422,122.06999969482422,802400
2026-04-28,122.20999908447266,123.05000305175781,118.69999694824219,119.62999725341797,119.62999725341797,494500
2026-04-29,117.83999633789062,120.06999969482422,113.0,116.95999908447266,116.95999908447266,1164200
2026-04-30,141.5,145.5,130.8990020751953,143.6699981689453,143.6699981689453,2674200
2026-05-01,143.5399932861328,146.75,140.22000122070312,140.22000122070312,140.22000122070312,1317300
2026-05-04,139.67999267578125,141.22000122070312,134.74000549316406,135.85000610351562,135.85000610351562,942700
2026-05-05,137.10000610351562,137.8699951171875,131.93499755859375,133.4199981689453,133.4199981689453,888200
2026-05-06,133.69000244140625,136.41000366210938,131.35000610351562,135.27000427246094,135.27000427246094,889300
2026-05-07,136.35000610351562,137.33999633789062,132.1199951171875,134.14999389648438,134.14999389648438,549200
2026-05-08,135.1199951171875,135.2550048828125,130.0399932861328,133.52000427246094,133.52000427246094,454500
2026-05-11,132.36000061035156,136.25999450683594,130.63999938964844,135.3699951171875,135.3699951171875,814300
2026-05-12,135.10000610351562,137.1999969482422,133.11000061035156,136.36000061035156,136.36000061035156,667100
2026-05-13,135.17999267578125,138.33999633789062,133.22000122070312,137.2899932861328,137.2899932861328,490200
2026-05-14,137.72999572753906,142.1999969482422,136.33999633789062,142.14999389648438,142.14999389648438,536300
2026-05-15,142.27000427246094,144.16000366210938,140.91000366210938,144.00999450683594,144.00999450683594,978700
2026-05-18,144.99000549316406,148.11000061035156,141.52000427246094,142.17999267578125,142.17999267578125,814300
2026-05-19,141.32000732421875,142.85000610351562,137.32000732421875,139.89999389648438,139.89999389648438,728900
2026-05-20,140.9499969482422,146.7100067138672,137.8300018310547,143.82000732421875,143.82000732421875,951700
2026-05-21,140.63999938964844,140.63999938964844,133.6199951171875,139.02999877929688,139.02999877929688,1309000
2026-05-22,139.13999938964844,139.42999267578125,118.63999938964844,120.2300033569336,120.2300033569336,2709800
2026-05-26,119.70999908447266,120.54499816894531,106.23999786376953,114.97000122070312,114.97000122070312,2705700
2026-05-27,114.08999633789062,114.51000213623047,109.2699966430664,109.87999725341797,109.87999725341797,1231500
2026-05-28,108.30000305175781,111.05000305175781,105.92400360107422,106.5199966430664,106.5199966430664,1563800
2026-05-29,106.56999969482422,108.41999816894531,101.47000122070312,103.3499984741211,103.3499984741211,1708700
2026-06-01,103.51000213623047,105.04499816894531,99.4800033569336,103.12000274658203,103.12000274658203,1431300
2026-06-02,101.7699966430664,113.08999633789062,100.26000213623047,110.77999877929688,110.77999877929688,1867000
2026-06-03,108.76000213623047,115.4749984741211,108.76000213623047,113.63999938964844,113.63999938964844,1095200
2026-06-04,114.19000244140625,123.44000244140625,113.12999725341797,121.69000244140625,121.69000244140625,1584200
2026-06-05,122.66999816894531,128.0500030517578,120.61000061035156,125.0,125.0,1444700
2026-06-08,124.18000030517578,126.23500061035156,121.83000183105469,121.95999908447266,121.95999908447266,962100
2026-06-09,123.79000091552734,129.0,123.58000183105469,126.33999633789062,126.33999633789062,1082300
2026-06-10,122.0,125.95999908447266,119.66000366210938,122.48999786376953,122.48999786376953,1542200
2026-06-11,125.08000183105469,127.29000091552734,123.0,124.26000213623047,124.26000213623047,629400
2026-06-12,124.97000122070312,128.27000427246094,122.69000244140625,126.80999755859375,126.80999755859375,708000
