Date,open,high,low,close,volume
2026-05-19,305.8299865722656,308.9200134277344,302.489990234375,305.5199890136719,1845900
2026-05-20,307.2900085449219,307.6600036621094,303.010009765625,306.9599914550781,1348700
2026-05-21,305.1300048828125,309.510009765625,302.2799987792969,307.2300109863281,1552200
2026-05-22,308.82000732421875,309.5400085449219,306.0400085449219,306.4599914550781,1386300
2026-05-26,307.5299987792969,309.8800048828125,303.9700012207031,304.8399963378906,854500
2026-05-27,304.6499938964844,307.6499938964844,299.69000244140625,299.94000244140625,1225300
2026-05-28,298.0799865722656,299.54998779296875,293.7900085449219,294.30999755859375,1172400
2026-05-29,293.8500061035156,295.6000061035156,290.82000732421875,291.8900146484375,2712100
2026-06-01,289.510009765625,292.6700134277344,288.75,288.92999267578125,1579800
2026-06-02,288.20001220703125,293.70001220703125,287.1099853515625,291.8599853515625,1663400
2026-06-03,291.6400146484375,294.9100036621094,288.95001220703125,289.95001220703125,1377200
2026-06-04,294.6099853515625,297.05999755859375,291.94000244140625,293.42999267578125,1304300
2026-06-05,295.7099914550781,303.8900146484375,295.42999267578125,303.25,1151500
2026-06-08,299.7799987792969,303.92999267578125,296.57000732421875,296.7300109863281,1478900
2026-06-09,298.55999755859375,301.45001220703125,297.1400146484375,300.25,1260900
2026-06-10,300.6199951171875,305.9599914550781,299.54998779296875,303.3599853515625,1243700
2026-06-11,304.55999755859375,307.1300048828125,303.6099853515625,303.8999938964844,1882900
2026-06-12,301.2699890136719,306.3699951171875,297.010009765625,304.4599914550781,2024500
2026-06-15,305.1099853515625,309.010009765625,299.1700134277344,306.4700012207031,2082300
2026-06-16,308.8299865722656,311.25,306.92999267578125,307.510009765625,2314200
2026-06-17,306.94000244140625,309.32000732421875,304.5199890136719,306.07000732421875,2142800
2026-06-18,308.69000244140625,309.8500061035156,301.6499938964844,307.80999755859375,5783600
2026-06-22,308.1300048828125,313.6600036621094,307.6700134277344,310.6099853515625,3498500
