Date,open,high,low,close,volume
2026-06-09,33.77000045776367,35.09000015258789,33.540000915527344,34.970001220703125,884500
2026-06-10,34.31999969482422,35.8849983215332,33.849998474121094,34.31999969482422,625300
2026-06-11,34.400001525878906,34.47999954223633,32.70500183105469,33.529998779296875,1776600
2026-06-12,33.529998779296875,35.099998474121094,33.40299987792969,34.470001220703125,1039500
2026-06-15,34.58000183105469,36.15999984741211,34.380001068115234,35.119998931884766,931200
2026-06-16,35.2599983215332,35.5,34.2599983215332,35.0,694900
2026-06-17,35.0,36.400001525878906,34.790000915527344,35.75,743600
2026-06-18,36.34000015258789,36.790000915527344,35.04999923706055,35.869998931884766,2013900
2026-06-22,35.90999984741211,37.06999969482422,35.279998779296875,35.380001068115234,963800
2026-06-23,35.470001220703125,36.68000030517578,35.439998626708984,35.90999984741211,935100
2026-06-24,36.400001525878906,37.665000915527344,36.005001068115234,36.18000030517578,1762800
2026-06-25,35.880001068115234,36.65999984741211,34.70500183105469,34.9900016784668,1466800
2026-06-26,35.52000045776367,36.90999984741211,35.11000061035156,36.70000076293945,5046200
2026-06-29,36.38999938964844,37.310001373291016,35.7400016784668,36.939998626708984,883700
2026-06-30,37.11000061035156,37.89500045776367,36.68000030517578,37.41999816894531,748900
2026-07-01,37.4900016784668,39.43000030517578,37.3650016784668,38.68000030517578,1165800
2026-07-02,40.0,42.41999816894531,39.83000183105469,42.22999954223633,2176700
2026-07-06,42.029998779296875,44.11000061035156,41.38999938964844,42.029998779296875,5423500
2026-07-07,83.58000183105469,83.63099670410156,83.43000030517578,83.52999877929688,80925500
2026-07-08,83.5199966430664,83.56999969482422,83.44000244140625,83.48999786376953,17889800
2026-07-09,83.5,83.62999725341797,83.4800033569336,83.62000274658203,10026900
2026-07-10,83.61000061035156,83.76000213623047,83.58000183105469,83.58000183105469,7356200
2026-07-13,83.66000366210938,83.69000244140625,83.58999633789062,83.66999816894531,6058200
