Date,open,high,low,close,volume
2026-06-18,391.32000732421875,393.55999755859375,372.05999755859375,372.54998779296875,2079700
2026-06-22,372.44000244140625,378.3800048828125,359.3999938964844,376.8399963378906,1927700
2026-06-23,353.70001220703125,357.5400085449219,346.5199890136719,351.20001220703125,1914800
2026-06-24,351.0,376.5400085449219,347.57000732421875,362.239990234375,2720400
2026-06-25,374.1700134277344,374.1700134277344,349.0,361.3999938964844,2514000
2026-06-26,351.3900146484375,353.0799865722656,336.5400085449219,337.5299987792969,1432400
2026-06-29,339.7799987792969,344.3599853515625,322.25,343.25,1925500
2026-06-30,345.3399963378906,365.6700134277344,343.17999267578125,364.79998779296875,1770200
2026-07-01,348.010009765625,362.7799987792969,336.67999267578125,361.6199951171875,1312800
2026-07-02,354.0,362.5299987792969,328.5,336.2099914550781,2132800
2026-07-06,340.0,359.7699890136719,339.1700134277344,350.20001220703125,1506700
2026-07-07,339.8999938964844,349.6199951171875,330.17999267578125,345.05999755859375,1689800
2026-07-08,340.0,361.1499938964844,340.0,360.739990234375,1325100
2026-07-09,373.7300109863281,378.0,353.82000732421875,354.7799987792969,1488400
2026-07-10,353.9800109863281,361.6400146484375,347.3699951171875,359.8500061035156,1169300
2026-07-13,350.29998779296875,364.010009765625,339.1400146484375,345.17999267578125,1339500
2026-07-14,353.739990234375,353.82000732421875,342.0,345.0299987792969,1256100
2026-07-15,349.70001220703125,350.8999938964844,322.5,334.7699890136719,1866000
2026-07-16,328.4599914550781,329.3599853515625,300.79998779296875,303.8599853515625,2916300
2026-07-17,293.0,308.8299865722656,282.2099914550781,301.3399963378906,2117700
2026-07-20,306.0400085449219,316.8999938964844,304.5,307.3399963378906,1616600
2026-07-21,317.04998779296875,342.1300048828125,312.4599914550781,339.5899963378906,3143800
2026-07-22,331.1400146484375,341.6600036621094,331.1400146484375,335.5,1337400
