,open,high,low,close,volume
2026-04-22,88.38999938964844,88.79499816894531,85.80999755859375,87.87000274658203,2647700
2026-04-23,87.83999633789062,89.43000030517578,87.23999786376953,88.66999816894531,1314800
2026-04-24,88.56999969482422,88.9729995727539,87.05999755859375,88.5999984741211,4195100
2026-04-27,88.26000213623047,89.6500015258789,86.66999816894531,86.70999908447266,1767800
2026-04-28,87.06999969482422,87.88500213623047,85.9800033569336,86.04000091552734,2408400
2026-04-29,85.48999786376953,85.97000122070312,84.26000213623047,85.08999633789062,1433300
2026-04-30,85.16000366210938,85.98999786376953,84.5999984741211,85.94999694824219,3050500
2026-05-01,88.1500015258789,90.02999877929688,87.04000091552734,87.94000244140625,2286000
2026-05-04,88.54000091552734,90.05999755859375,87.66000366210938,88.16999816894531,1841800
2026-05-05,88.08000183105469,88.9000015258789,87.12999725341797,87.4000015258789,1131200
2026-05-06,87.80999755859375,89.82499694824219,87.55500030517578,88.66000366210938,1766700
2026-05-07,89.0,93.75,87.91000366210938,93.4800033569336,2565900
2026-05-08,93.80000305175781,96.0199966430664,93.5,94.44999694824219,2735700
2026-05-11,93.94000244140625,95.58999633789062,92.20999908447266,92.76000213623047,2537500
2026-05-12,92.63999938964844,92.81999969482422,90.62000274658203,90.69000244140625,3127000
2026-05-13,90.0999984741211,92.64800262451172,87.94999694824219,91.86000061035156,2772800
2026-05-14,91.69000244140625,92.87000274658203,91.05999755859375,91.16999816894531,1699200
2026-05-15,91.02999877929688,91.56999969482422,89.41999816894531,89.54000091552734,1797700
2026-05-18,89.31999969482422,92.4000015258789,89.31999969482422,90.98999786376953,1347500
2026-05-19,90.98999786376953,91.16999816894531,88.91999816894531,89.9800033569336,1664700
2026-05-20,89.1500015258789,91.02999877929688,89.01000213623047,90.44000244140625,2436700
2026-05-21,90.12999725341797,90.62999725341797,88.61000061035156,89.19999694824219,2049400
2026-05-22,89.19999694824219,89.72000122070312,87.65499877929688,88.55999755859375,1594600
2026-05-26,88.55999755859375,91.66000366210938,88.27999877929688,91.41000366210938,2069400
