,open,high,low,close,volume
2026-04-22,26.899999618530273,26.899999618530273,25.700000762939453,25.8799991607666,4860200
2026-04-23,25.799999237060547,26.190000534057617,25.239999771118164,25.719999313354492,3972300
2026-04-24,25.8700008392334,26.1299991607666,25.68000030517578,26.0,5458500
2026-04-27,25.920000076293945,26.15999984741211,25.520000457763672,25.530000686645508,4964400
2026-04-28,25.350000381469727,25.54199981689453,25.114999771118164,25.280000686645508,3097500
2026-04-29,25.0,25.15999984741211,24.760000228881836,24.93000030517578,5548300
2026-04-30,25.280000686645508,25.514999389648438,25.209999084472656,25.420000076293945,3282500
2026-05-01,25.59000015258789,26.344999313354492,25.31999969482422,25.760000228881836,5200100
2026-05-04,25.770000457763672,26.06999969482422,25.264999389648438,25.420000076293945,3869100
2026-05-05,25.559999465942383,26.145000457763672,25.524999618530273,26.059999465942383,3716300
2026-05-06,27.239999771118164,27.389999389648438,26.920000076293945,27.239999771118164,5901400
2026-05-07,27.6200008392334,28.110000610351562,27.260000228881836,27.59000015258789,5766700
2026-05-08,27.65999984741211,27.75,27.301000595092773,27.479999542236328,3555700
2026-05-11,27.15999984741211,27.184999465942383,26.565000534057617,26.610000610351562,4140900
2026-05-12,26.420000076293945,26.46500015258789,25.950000762939453,26.270000457763672,3198100
2026-05-13,26.09000015258789,26.25,25.889999389648438,26.1299991607666,2744500
2026-05-14,26.299999237060547,26.475000381469727,26.049999237060547,26.219999313354492,4879000
2026-05-15,25.795000076293945,25.829999923706055,25.5,25.559999465942383,3361100
2026-05-18,25.774999618530273,26.2450008392334,25.329999923706055,25.549999237060547,5050300
2026-05-19,25.31999969482422,25.31999969482422,24.790000915527344,24.809999465942383,3091500
2026-05-20,25.040000915527344,26.600000381469727,24.81999969482422,26.440000534057617,7651100
2026-05-21,25.979999542236328,27.020000457763672,25.799999237060547,27.0,4756200
2026-05-22,27.18000030517578,27.389999389648438,26.850000381469727,27.1299991607666,2888400
2026-05-26,27.71500015258789,28.329999923706055,27.71500015258789,28.260000228881836,3271900
