,open,high,low,close,volume
2026-04-22,246.00999450683594,247.0500030517578,240.85000610351562,243.94000244140625,169500
2026-04-23,244.1199951171875,247.13999938964844,239.1199951171875,240.42999267578125,191000
2026-04-24,241.61000061035156,244.38999938964844,233.3300018310547,236.39999389648438,190500
2026-04-27,236.39999389648438,240.75,233.8000030517578,240.14999389648438,154100
2026-04-28,239.16000366210938,244.22999572753906,235.80999755859375,238.2100067138672,367700
2026-04-29,236.33999633789062,239.0,224.0,236.49000549316406,299300
2026-04-30,238.52000427246094,246.10000610351562,236.36000061035156,237.0399932861328,217500
2026-05-01,212.64999389648438,221.9600067138672,207.85000610351562,214.3000030517578,577700
2026-05-04,213.00999450683594,216.27999877929688,205.2100067138672,207.1699981689453,338000
2026-05-05,206.80999755859375,212.55999755859375,205.25,206.25,222000
2026-05-06,206.4499969482422,212.11000061035156,205.0,206.36000061035156,311000
2026-05-07,205.88999938964844,210.3800048828125,202.75999450683594,203.00999450683594,236800
2026-05-08,202.6699981689453,204.10000610351562,196.27999877929688,197.33999633789062,277100
2026-05-11,198.1300048828125,199.6699981689453,187.57000732421875,188.5399932861328,303100
2026-05-12,189.0800018310547,191.75999450683594,181.80999755859375,181.82000732421875,400500
2026-05-13,180.99000549316406,184.1999969482422,176.77000427246094,179.19000244140625,401500
2026-05-14,180.49000549316406,182.5,169.97999572753906,173.17999267578125,565700
2026-05-15,175.0,177.77000427246094,173.1699981689453,174.72999572753906,293200
2026-05-18,173.5800018310547,177.02999877929688,172.5,174.02999877929688,294600
2026-05-19,175.0399932861328,181.0500030517578,172.25999450683594,178.7899932861328,391900
2026-05-20,181.88999938964844,184.97000122070312,178.13999938964844,183.44000244140625,292100
2026-05-21,181.64999389648438,187.5500030517578,178.5,186.02999877929688,313400
2026-05-22,185.4199981689453,190.58999633789062,185.38999938964844,190.10000610351562,278800
2026-05-26,188.0399932861328,188.57000732421875,181.50999450683594,181.6300048828125,350800
