Date,open,high,low,close,volume
2026-05-19,289.0,294.92999267578125,284.3800048828125,294.29998779296875,769900
2026-05-20,297.79998779296875,300.0799865722656,292.1000061035156,298.4800109863281,799200
2026-05-21,296.6400146484375,301.42999267578125,293.0,300.510009765625,650200
2026-05-22,299.1199951171875,303.3299865722656,294.989990234375,297.45001220703125,681300
2026-05-26,299.0,301.0899963378906,294.260009765625,295.5,649700
2026-05-27,293.3999938964844,299.9800109863281,292.9100036621094,295.6300048828125,629500
2026-05-28,293.0,305.9800109863281,291.8399963378906,305.05999755859375,1020700
2026-05-29,302.42999267578125,305.67999267578125,297.6199951171875,301.9800109863281,2278000
2026-06-01,299.510009765625,303.9800109863281,295.1300048828125,295.6300048828125,1186000
2026-06-02,293.94000244140625,295.6000061035156,285.0,286.1199951171875,1042500
2026-06-03,284.4800109863281,293.1600036621094,283.1000061035156,292.5799865722656,988800
2026-06-04,297.2200012207031,310.5299987792969,293.8500061035156,303.6400146484375,1081400
2026-06-05,306.3399963378906,306.7300109863281,300.5,303.04998779296875,1004400
2026-06-08,303.1099853515625,303.57000732421875,285.5400085449219,292.1600036621094,1651400
2026-06-09,297.30999755859375,302.8500061035156,293.9700012207031,297.69000244140625,1259800
2026-06-10,297.69000244140625,299.70001220703125,290.5299987792969,291.2200012207031,927300
2026-06-11,290.70001220703125,292.9800109863281,285.2200012207031,289.3900146484375,1061500
2026-06-12,288.9599914550781,291.2799987792969,281.7699890136719,282.8500061035156,1420000
2026-06-15,282.9200134277344,288.1099853515625,281.3599853515625,287.79998779296875,1118500
2026-06-16,288.1300048828125,288.4800109863281,276.94000244140625,281.8999938964844,1213300
2026-06-17,281.30999755859375,288.0,277.7799987792969,282.7200012207031,1322200
2026-06-18,280.1099853515625,282.9800109863281,273.1099853515625,278.0899963378906,2204500
2026-06-22,278.4200134277344,286.6700134277344,278.1700134277344,286.4100036621094,1420600
