Date,open,high,low,close,volume
2026-06-02,169.30999755859375,170.14999389648438,166.49000549316406,167.63999938964844,2593200
2026-06-03,166.7899932861328,167.77000427246094,163.30999755859375,164.25,2248900
2026-06-04,165.75,165.77000427246094,159.77999877929688,161.00999450683594,3272900
2026-06-05,160.83999633789062,161.25,158.5800018310547,160.07000732421875,1786300
2026-06-08,160.32000732421875,162.4600067138672,158.9600067138672,159.50999450683594,1739700
2026-06-09,159.72999572753906,162.66000366210938,158.02000427246094,162.66000366210938,1689000
2026-06-10,163.25999450683594,169.8000030517578,161.4499969482422,167.5,3105700
2026-06-11,168.41000366210938,175.0,167.5,172.3300018310547,3160300
2026-06-12,173.91000366210938,174.0,170.8699951171875,172.50999450683594,1552200
2026-06-15,173.4199981689453,176.0,171.72000122070312,175.85000610351562,2574400
2026-06-16,175.0,175.9499969482422,172.7899932861328,174.10000610351562,1708800
2026-06-17,173.3300018310547,174.69000244140625,171.0399932861328,171.52000427246094,1731600
2026-06-18,173.22000122070312,174.10000610351562,169.63999938964844,171.24000549316406,7414500
2026-06-22,171.02000427246094,172.33999633789062,168.13999938964844,170.55999755859375,3059800
2026-06-23,169.58999633789062,171.72000122070312,167.47999572753906,168.60000610351562,3102500
2026-06-24,168.11000061035156,173.22000122070312,166.14999389648438,171.47000122070312,2067500
2026-06-25,172.6300048828125,176.3000030517578,171.27000427246094,175.11000061035156,2903300
2026-06-26,175.57000732421875,180.9199981689453,173.72999572753906,179.4600067138672,3577000
2026-06-29,179.38999938964844,183.50999450683594,177.17999267578125,182.55999755859375,2711900
2026-06-30,181.99000549316406,184.86000061035156,181.77999877929688,183.11000061035156,5007200
2026-07-01,184.24000549316406,187.63999938964844,180.8800048828125,183.97999572753906,3150200
2026-07-02,183.14999389648438,186.83999633789062,180.02000427246094,186.58999633789062,2321400
2026-07-06,186.02000427246094,188.0,181.38999938964844,183.2899932861328,2418100
