ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,bullish_score,bearish_score,bullish_score_raw
GLNG,198560.4223979325,0.0,5,0,198560.4223979325,5,83.6,16.44,16.44,,5,1,0,70661.17395976523,0.0,70661.17395976523,0.0,5,0,198560.4223979325,LONG,39712.0844795865,0.0,0.36,0.0,inf,1.0,10.0,0.05,0.8890458213106176
SPY,293266.8742061766,329096.84745410166,2,3,622363.7216602783,5,51.8,0.84,0.77,0.88,5,1,2,116870.10023218644,197448.72450337585,176396.77397399014,131648.1229507258,2,3,-35829.97324792505,SHORT,146633.4371030883,109698.94915136723,0.6,0.4,0.8911263552808047,1.0,6.398717526727288,0.755254107015998,0.6457849275540744
NEM,253905.8626023178,0.0,2,0,253905.8626023178,2,90.0,0.47,0.47,,2,0,0,0.0,0.0,127044.78088550158,0.0,2,0,253905.8626023178,LONG,126952.9313011589,0.0,0.5,0.0,inf,1.0,5.4533517441222665,0.05,0.5819269750301884
NFLX,196172.7021605113,0.0,1,0,196172.7021605113,1,90.0,0.26,0.26,,1,0,0,0.0,0.0,196172.7021605113,0.0,1,0,196172.7021605113,LONG,196172.7021605113,0.0,1.0,0.0,inf,1.0,5.329797116944121,0.05,0.5735810568029525
SLV,221343.3723090068,0.0,2,0,221343.3723090068,2,90.0,0.07,0.07,,2,0,0,0.0,0.0,112690.45993390004,0.0,2,0,221343.3723090068,LONG,110671.6861545034,0.0,0.51,0.0,inf,1.0,5.31528512206744,0.05,0.5726007946685346
AMAT,158966.4651637374,0.0,1,0,158966.4651637374,1,90.0,0.54,0.54,,1,0,0,0.0,0.0,158966.4651637374,0.0,1,0,158966.4651637374,LONG,158966.4651637374,0.0,1.0,0.0,inf,1.0,5.267711940065063,0.05,0.5693873020145624
TQQQ,158060.9761311116,0.0,1,0,158060.9761311116,1,90.0,0.28,0.28,,1,0,0,0.0,0.0,158060.9761311116,0.0,1,0,158060.9761311116,LONG,158060.9761311116,0.0,1.0,0.0,inf,1.0,5.2178298451707645,0.05,0.5660178459731404
SOXS,21731.362871116915,0.0,1,0,21731.362871116915,1,56.0,1.33,1.33,,1,1,0,21731.362871116915,0.0,21731.362871116915,0.0,1,0,21731.362871116915,LONG,21731.362871116915,0.0,1.0,0.0,inf,1.0,5.085585871510993,0.05,0.5570849762343337
TSM,77528.54102792927,0.0,1,0,77528.54102792927,1,90.0,0.13,0.13,,1,0,0,0.0,0.0,77528.54102792927,0.0,1,0,77528.54102792927,LONG,77528.54102792927,0.0,1.0,0.0,inf,1.0,4.809712206259877,0.05,0.5384501496493773
ORCL,56548.48991616609,94952.72456856484,1,1,151501.2144847309,2,49.0,0.32,0.59,0.05,2,0,0,0.0,0.0,56548.48991616609,94952.72456856484,1,1,-38404.23465239875,SHORT,56548.48991616609,94952.72456856484,1.0,1.0,0.5955436262951331,1.0,4.723739507970929,0.5526960019810735,0.5326428308456886
BMNR,36114.26640261762,0.0,1,0,36114.26640261762,1,90.0,0.42,0.42,,1,0,0,0.0,0.0,36114.26640261762,0.0,1,0,36114.26640261762,LONG,36114.26640261762,0.0,1.0,0.0,inf,1.0,4.4532238042433825,0.05,0.5143699260257173
USAR,224.5593746486319,0.0,3,0,224.5593746486319,3,31.33,1.26,1.26,,3,2,0,0.9550267470662119,0.0,223.6043479015657,0.0,3,0,224.5593746486319,LONG,74.8531248828773,0.0,1.0,0.0,inf,1.0,4.0589519426506,0.05,0.48773748990166166
CRM,2383.2286374557234,499.8740055105749,1,3,2883.1026429662984,4,44.0,6.82,0.93,8.79,4,0,0,0.0,0.0,2383.2286374557234,212.19285889849195,1,3,1883.3546319451484,LONG,2383.2286374557234,166.62466850352496,1.0,0.42,4.767658672351799,1.0,3.0910031430960223,0.4497241914298848,0.42235409056052686
NOW,284.98205543456163,0.0,1,0,284.98205543456163,1,58.0,0.42,0.42,,1,0,0,0.0,0.0,284.98205543456163,0.0,1,0,284.98205543456163,LONG,284.98205543456163,0.0,1.0,0.0,inf,1.0,1.8645556238678485,0.05,0.3395095145276409
HOOD,6.308688449774135,45917.36573101559,1,3,45923.674419465366,4,54.25,0.43,0.96,0.26,4,0,0,0.0,0.0,6.308688449774135,45028.80597019922,1,3,-45911.057042565815,SHORT,6.308688449774135,15305.788577005196,1.0,0.98,0.00013739221206047618,1.0,0.0,0.6134088167622174,0.2135617526158431
