ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,bullish_score,bearish_score,bullish_score_raw
GLNG,225105.735701651,0.0,5,0,225105.735701651,5,83.6,16.44,16.44,,5,1,0,80107.78461116386,0.0,80107.78461116386,0.0,5,0,225105.735701651,LONG,45021.1471403302,0.0,0.36,0.0,inf,1.0,10.0,0.05,0.8893378700612025
SPY,332473.38355678436,373093.42450321524,2,3,705566.8080599996,5,51.8,0.84,0.77,0.88,5,1,2,132494.32881225558,223845.41620086634,199979.05474452878,149248.00830234893,2,3,-40620.040946430876,SHORT,166236.69177839218,124364.47483440507,0.6,0.4,0.891126355280805,1.0,6.37940094119888,0.7554219093669141,0.645821434668565
NEM,287850.24381904316,0.0,2,0,287850.24381904316,2,90.0,0.47,0.47,,2,0,0,0.0,0.0,144029.25075860266,0.0,2,0,287850.24381904316,LONG,143925.12190952158,0.0,0.5,0.0,inf,1.0,5.4307344445750925,0.05,0.5820154512159973
NFLX,222398.80390626413,0.0,1,0,222398.80390626413,1,90.0,0.26,0.26,,1,0,0,0.0,0.0,222398.80390626413,0.0,1,0,222398.80390626413,LONG,222398.80390626413,0.0,1.0,0.0,inf,1.0,5.306737880957886,0.05,0.5736756155472014
SLV,250934.5118457113,0.0,2,0,250934.5118457113,2,90.0,0.07,0.07,,2,0,0,0.0,0.0,127755.91723480407,0.0,2,0,250934.5118457113,LONG,125467.25592285565,0.0,0.51,0.0,inf,1.0,5.292808751615328,0.05,0.5727387617640194
AMAT,180218.5081015752,0.0,1,0,180218.5081015752,1,90.0,0.54,0.54,,1,0,0,0.0,0.0,180218.5081015752,0.0,1,0,180218.5081015752,LONG,180218.5081015752,0.0,1.0,0.0,inf,1.0,5.2455126851252345,0.05,0.5695576943956888
TQQQ,179191.96528706342,0.0,1,0,179191.96528706342,1,90.0,0.28,0.28,,1,0,0,0.0,0.0,179191.96528706342,0.0,1,0,179191.96528706342,LONG,179191.96528706342,0.0,1.0,0.0,inf,1.0,5.195446283981838,0.05,0.5661902981882184
SOXS,24636.60364852876,0.0,1,0,24636.60364852876,1,56.0,1.33,1.33,,1,1,0,24636.60364852876,0.0,24636.60364852876,0.0,1,0,24636.60364852876,LONG,24636.60364852876,0.0,1.0,0.0,inf,1.0,5.0732685901454495,0.05,0.5579727971602582
TSM,87893.24204292874,0.0,1,0,87893.24204292874,1,90.0,0.13,0.13,,1,0,0,0.0,0.0,87893.24204292874,0.0,1,0,87893.24204292874,LONG,87893.24204292874,0.0,1.0,0.0,inf,1.0,4.78938901905576,0.05,0.5388794537356364
ORCL,64108.39215422874,107646.84453605182,1,1,171755.23669028055,2,49.0,0.32,0.59,0.05,2,0,0,0.0,0.0,64108.39215422874,107646.84453605182,1,1,-43538.45238182308,SHORT,64108.39215422874,107646.84453605182,1.0,1.0,0.5955436262951331,1.0,4.704737424431476,0.553153464444049,0.5331859057237132
BMNR,40942.34092428736,0.0,1,0,40942.34092428736,1,90.0,0.42,0.42,,1,0,0,0.0,0.0,40942.34092428736,0.0,1,0,40942.34092428736,LONG,40942.34092428736,0.0,1.0,0.0,inf,1.0,4.435459680009693,0.05,0.5150746607647434
USAR,254.58045781992337,0.0,3,0,254.58045781992337,3,31.33,1.26,1.26,,3,2,0,1.0827031687223716,0.0,253.497754651201,0.0,3,0,254.58045781992337,LONG,84.86015260664112,0.0,1.0,0.0,inf,1.0,4.068273225319506,0.05,0.4903782127133476
CRM,2701.839718615041,566.7015833753619,1,3,3268.5413019904026,4,44.0,6.82,0.93,8.79,4,0,0,0.0,0.0,2701.839718615041,240.56067687675798,1,3,2135.1381352396793,LONG,2701.839718615041,188.9005277917873,1.0,0.42,4.7676586723518,1.0,3.081917126065951,0.45208931157727467,0.4240372792332546
NOW,323.080976942129,0.0,1,0,323.080976942129,1,58.0,0.42,0.42,,1,0,0,0.0,0.0,323.080976942129,0.0,1,0,323.080976942129,LONG,323.080976942129,0.0,1.0,0.0,inf,1.0,1.861362554287647,0.05,0.3419444836227793
HOOD,7.152089714801611,52056.00526799478,1,3,52063.157357709584,4,54.25,0.43,0.96,0.26,4,0,0,0.0,0.0,7.152089714801611,51048.65498006783,1,3,-52048.85317827998,SHORT,7.152089714801611,17352.00175599826,1.0,0.98,0.00013739221206047632,1.0,0.0,0.6142478603675713,0.2167518381980872
