ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,total_call_premium,total_put_premium,bullish_unusual_premium_share,bearish_unusual_premium_share,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,bullish_unusual_premium_share_z,bullish_unusual_premium_share_tier,bearish_unusual_premium_share_z,bearish_unusual_premium_share_tier,lottery_bullish_premium,lottery_bearish_premium,swing_bullish_premium,swing_bearish_premium,leap_bullish_premium,leap_bearish_premium,bullish_score_raw,checks_passed,checks_failed
CXW,136006.42304731862,0.0,1,0,136006.42304731862,1,32.0,3.313478,3.313478,,1,0,0,0.0,0.0,136006.42304731862,0.0,1,0,3171270.0,0.0,122888.6910839631,0.0,1,0,136006.42304731862,LONG,136006.42304731862,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,1.0,2746132534.0,0.001155,0.0,2312298.0,538.0,1.3714798006139348,0.0,4.5e-05,0.0,0.903551,0.0,0.0,0.0,0.49526532810567775,0.0,6.7517436409391784,0.2026855334467952,2.815,1.6866,1.6502,0.0,0.0,0.6,0.0,0.8736,0.0,0.5532,0.0,0.0,0.6,0.0,0.6886579902395418,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,2.74930693689098,1,-0.7318129310949678,1,0.0,0.0,3171270.0,0.0,0.0,0.0,0.6751743640939178,"confirmation_volume, momentum_aligned, not_extended, trend_aligned, trend_continuation",room_to_target
CSX,3.0429286022132036e-29,0.0,1,0,3.0429286022132036e-29,1,31.0,1.042394,1.042394,,1,0,0,0.0,0.0,3.0429286022132036e-29,0.0,1,0,3780000.0,0.0,1.2169256080481387e-29,0.0,1,0,3.0429286022132036e-29,LONG,3.0429286022132036e-29,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,88057200386.0,4.3e-05,0.0,1874903.0,232137.0,2.016104299795776,0.0,0.0,0.0,0.399919,0.0,0.0,0.0,3.4556272387430927e-36,0.0,5.065163738543761,0.13046405444368164,2.815,0.0,1.6502,0.0,0.0,0.6,0.0,0.3663,0.0,0.3384,0.0,0.0,0.6,0.0,0.24448299380814298,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,3.5,1,-1.4264086233186173,1,1480000.0,1200000.0,3780000.0,0.0,0.0,0.0,0.5065163738543761,"momentum_aligned, not_extended, room_to_target, trend_aligned","confirmation_volume, continuation_pattern"
GDDY,0.19370584715761688,2.560958450246236e-19,1,1,0.38741169431523376,2,78.5,26.326979,16.290323,36.363636,2,0,0,0.0,0.0,0.19370584715761688,2.560958450246236e-19,1,1,301500.0,515984.0,0.049452525734685206,1.6852844868132282e-19,1,0,0.19370584715761688,LONG,0.19370584715761688,2.560958450246236e-19,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,10260439044.0,2.9e-05,5e-05,116500.0,85423.0,2.587982832618026,6.040340423539328,0.0,0.0,0.255297,0.658068,0.0,0.0,1.8878904336056682e-07,2.4959540612872785e-25,4.759893995937507,0.5065163738543761,2.5097,0.0,1.6502,0.0,0.0,0.6,0.0,2.815,0.0,1.6502,0.0,0.0,0.6,0.0,0.33386559512295094,0.3978861450446924,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,3.5,1,3.5,1,0.0,0.0,603000.0,515984.0,0.0,0.0,0.4759893995937507,none,none
EPD,5.319779837280785e-12,0.0,1,0,5.319779837280785e-12,1,108.0,2.992174,2.992174,,1,0,0,0.0,0.0,5.319779837280785e-12,0.0,1,0,624000.0,0.0,1.7071501165874541e-12,0.0,1,0,5.319779837280785e-12,LONG,5.319779837280785e-12,0.0,0.0,0.0,99.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,78968416892.0,8e-06,0.0,893956.0,120143.0,0.6980209316789641,0.0,0.0,0.0,0.320906,0.0,0.0,0.0,6.736591724456505e-19,0.0,4.708000123010173,0.20643700482181446,2.715,0.0,1.6502,0.0,0.0,0.3429,0.0,1.45,0.0,0.2715,0.0,0.0,0.3429,0.0,0.23219791922215127,0.03428571428571428,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1.8916167298297122,1,-1.4756011347406104,1,0.0,0.0,624000.0,0.0,0.0,0.0,0.4708000123010173,"bounce_and_fail, confirmation_volume, not_extended, room_to_target","momentum_aligned, trend_aligned"
NVT,5.198694930901744e-13,0.0,1,0,5.198694930901744e-13,1,46.0,13.8,13.8,,1,0,0,0.0,0.0,5.198694930901744e-13,0.0,1,0,1194120.0,0.0,2.3075419231380827e-13,0.0,1,0,5.198694930901744e-13,LONG,5.198694930901744e-13,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,1.0,27330756388.0,4.4e-05,0.0,,,,,0.0,0.0,0.443869,0.0,0.0,0.0,1.9021408910528043e-19,0.0,4.604657515606914,0.15965021330433443,2.3545,0.0,1.6502,0.0,0.0,0.6,0.0,0.5257,0.0,0.4708,0.0,0.0,0.6,0.0,0.3805582278917446,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-2.742879165801114,1,-1.106598839385947,1,0.0,0.0,1194120.0,0.0,0.0,0.0,0.4604657515606914,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume
QXO,3.518777288111574e-20,9594.97043730285,1,1,19189.9408746057,2,91.0,1.94511,2.033877,1.856342,2,0,0,0.0,0.0,3.518777288111574e-20,9594.97043730285,1,1,1412053.0,374444.0,2.0044795816249192e-20,2869.7985305618577,0,1,-9594.97043730285,SHORT,3.518777288111574e-20,9594.97043730285,0.0,0.0,3.667314361315222e-24,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,12103054421.0,0.000117,3.1e-05,,,,,0.0,0.0,0.569652,0.299094,0.0,0.0,2.9073464975966284e-26,0.00792772642635947,4.460325775083719,0.28233652698386624,2.4673,0.0,1.6502,0.0,0.0,0.3429,0.0,0.818,0.0123,1.6502,0.0,0.0,0.3429,0.0,0.4285893502857142,0.2381478983272818,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.2853396468736444,1,-1.7791937064443792,1,0.0,0.0,1412053.0,748888.0,0.0,0.0,0.4460325775083719,"ema_pullback, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned"
SPCX,7232417.362781068,6524450.999331153,7,9,16722852.477796419,16,41.9375,,,,16,1,1,669563.1018717032,895832.0535126143,4158195.678009012,1767887.950641702,7,9,9316554.0,8506549.0,696492.5002596806,914205.4326618246,6,8,707966.3634499153,LONG,1033202.4803972954,724938.9999256837,0.425061,0.729037,1.108509721894224,1.0,0.8571428571428571,0.8888888888888888,0.5494505494505494,0.5811965811965811,31-90,0.1429,0,0.0,1770000000000.0,5e-06,5e-06,,,,,0.0,1e-06,0.096301,0.113473,0.0,0.0,0.005837302149137262,0.004095700564551885,4.219054897053963,0.47437565873015874,1.45,0.0035,0.85,0.9333,0.15,0.6,0.2322,1.45,0.0,0.85,1.2444,0.15,0.6,0.4493,0.20839202893131747,0.2608621979560799,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-1.517625,2,-0.6745,3,2244796.0,1220806.0,9316554.0,12317843.0,864942.0,3916607.0,0.4219054897053963,none,none
ALAB,46306.1444508643,0.0,4,0,92612.28884756286,4,32.0,134.535714,134.535714,,4,4,0,46306.1444508643,0.0,20292.45919028341,0.0,4,0,2048439.0,0.0,36048.238008381755,0.0,3,0,46306.1444508643,LONG,11576.536112716076,0.0,0.561776,0.0,99.0,1.0,0.75,0.0,0.4423076923076923,-0.3076923076923077,31-90,1.0,0,0.0,66711969859.0,3.1e-05,0.0,,,,,1e-06,0.0,0.778476,0.0,0.0,0.0,0.0017353011966493902,0.0,4.2138243239600275,0.11569660223242004,0.5671,0.0,1.6502,0.4667,0.6,0.6,0.3298,0.4006,0.0,0.1564,0.0,0.0,0.6,0.0,0.48004677560179915,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-2.7817797400999247,1,0.0,578205.0,3575623.0,0.0,554885.0,0.0,0.42138243239600276,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume
AMKR,8.734638489557641,0.0,3,0,8.912542751951385,3,61.333333,3.378687,3.378687,,3,1,0,1.065487454508808e-09,0.0,8.556734226098408,0.0,3,0,2281552.0,0.0,3.7379733318350485,0.0,1,0,8.734638489557641,LONG,2.9115461631858803,0.0,0.020368,0.0,99.0,1.0,0.3333333333333333,0.0,0.025641025641025605,-0.3076923076923077,31-90,0.3333,0,0.0,21178227938.0,0.000108,0.0,30422019.0,1411944.0,0.07499673180797106,0.0,0.0,0.0,0.422662,0.0,0.0,0.0,1.3747827116175787e-06,0.0,3.9468788830123085,0.11807169721093223,1.2356,0.0,1.6502,0.3111,0.15,0.6,0.0,0.325,0.0,0.2557,0.0,0.0,0.6,0.0,0.566111111111111,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.1604341410681394,1,-1.2543223258229186,1,0.0,0.0,2536553.0,0.0,0.0,0.0,0.39468788830123086,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none
HIMS,266277.5872642561,0.0,1,0,266277.5872642561,1,31.0,1.785377,1.785377,,1,0,0,0.0,0.0,266277.5872642561,0.0,1,0,628489.0,0.0,127413.36465297807,0.0,1,0,266277.5872642561,LONG,266277.5872642561,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,6730325772.0,9.3e-05,0.0,,,,,1.9e-05,0.0,0.478498,0.0,0.0,0.0,0.3956384821252544,0.0,3.8931644519855797,0.10700714143052177,0.2491,1.3939,1.6502,0.0,0.0,0.6,0.0,0.3206,0.0,0.1495,0.0,0.0,0.6,0.0,0.5616712671600448,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-2.3735868887230214,1,0.0,0.0,628489.0,0.0,0.0,0.0,0.38931644519855796,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none
