ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,total_call_premium,total_put_premium,bullish_unusual_premium_share,bearish_unusual_premium_share,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,lottery_bullish_premium,lottery_bearish_premium,swing_bullish_premium,swing_bearish_premium,leap_bullish_premium,leap_bearish_premium,bearish_score_raw,checks_passed,checks_failed
NAMS,0.0,669799.2062598029,0,1,669799.2062598029,1,115.0,333.333333,,333.333333,1,0,0,0.0,0.0,0.0,669799.2062598029,0,1,0.0,815040.0,0.0,330474.9269702638,0,1,-669799.2062598029,SHORT,0.0,669799.2062598029,0.0,0.0,0.0,0.7,0.0,1.0,-0.3076923076923077,0.6923076923076923,91+,0.0,0,0.0,3501001600.0,0.0,0.000233,675.0,952460.0,0.0,0.8557209751590618,0.0,9.4e-05,0.0,0.493394,0.0,0.0,0.0,1.91316452485998,0.03428571428571428,6.642857142857142,0.0,0.0,0.0,0.0,0.0,0.3429,0.0,2.9,1.7,1.7,0.0,0.0,0.3429,0.0,0.03428571428571428,0.6642857142857143,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.0,0.0,0.0,815040.0,0.0,0.0,0.6642857142857143,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none
IBIT,0.0,768976.8087635314,0,1,1537953.6175270628,1,80.0,2.126323,,2.126323,1,0,0,0.0,0.0,0.0,768976.8087635314,0,1,0.0,774050.0,0.0,328731.8447860649,0,1,-768976.8087635314,SHORT,0.0,768976.8087635314,0.0,0.0,0.0,1.0,0.0,1.0,-0.3076923076923077,0.6923076923076923,31-90,0.0,0,0.0,62341420796.0,0.0,1.2e-05,,,,,0.0,5e-06,0.0,0.427493,0.0,0.0,0.0,0.12334925944018124,0.06,2.6172908593548883,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4388,0.4726,1.1059,0.0,0.0,0.6,0.0,0.06,0.2617290859354888,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.0,0.0,0.0,1548100.0,0.0,0.0,0.2617290859354888,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned"
