ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bearish_score_raw
XLI,0.0,71372.8290450672,0,3,71372.8290450672,3,61.0,74.277197,,74.277197,3,0,1,0.0,40777.89255500052,0.0,40777.89255500052,0,3,-71372.8290450672,SHORT,0.0,23790.943015022403,0.0,0.571336,0.0,1.0,2496668852.120533,0.0,2.9e-05,0.05,10.0,0.6013707495246375
CIA,0.0,94770.05896414378,0,1,94770.05896414378,1,56.0,0.217389,,0.217389,1,0,0,0.0,0.0,0.0,94770.05896414378,0,1,-94770.05896414378,SHORT,0.0,94770.05896414378,0.0,1.0,0.0,1.0,713209.6161285877,0.0,0.132878,0.05,9.748873256861744,0.5901579208177311
CMG,0.0,102428.13889522628,0,3,102428.13889522628,3,54.0,37.623958,,37.623958,3,0,2,0.0,102070.55027213768,0.0,84292.58453334907,0,3,-102428.13889522628,SHORT,0.0,34142.71296507543,0.0,0.822944,0.0,1.0,561417946.5549946,0.0,0.000182,0.05,9.297481484422853,0.5700032429016572
SPY,280980.1534072749,315308.9926497962,2,3,596289.1460570712,5,51.8,0.837898,0.770209,0.883025,5,1,2,111973.70579561942,189176.40477194014,169006.44761165552,126132.58787785604,2,3,-34328.839242521266,SHORT,140490.07670363746,105102.99754993206,0.601489,0.400029,0.8911263552808047,1.0,58829483394.85289,5e-06,5e-06,0.34708436570264445,6.906000222684699,0.4632234176686135
XLU,0.0,18392.66188731036,0,2,18392.66188731036,2,43.0,0.662192,,0.662192,2,0,2,0.0,18392.66188731036,0.0,18164.93110861169,0,2,-18392.66188731036,SHORT,0.0,9196.33094365518,0.0,0.987618,0.0,1.0,1352190484.837553,0.0,1.4e-05,0.05,5.766794435716115,0.4123577902504981
HOOD,6.044379383844195,43993.609922981814,1,3,43999.654302365656,4,54.25,0.430927,0.957845,0.255288,4,0,0,0.0,0.0,6.044379383844195,43142.27729776962,1,3,-43987.56554359797,SHORT,6.044379383844195,14664.536640993938,1.0,0.980649,0.00013739221206047637,1.0,1916649833.3274515,0.0,2.3e-05,0.16576936227497902,4.742366959140046,0.36661702336143787
IWM,0.0,140252.7004255769,0,1,140252.7004255769,1,56.0,0.517895,,0.517895,1,0,1,0.0,140252.7004255769,0.0,140252.7004255769,0,1,-140252.7004255769,SHORT,0.0,140252.7004255769,0.0,1.0,0.0,1.0,12309687908.195473,0.0,1.1e-05,0.05,4.275386351305196,0.3457663027266527
QQQ,0.0,446179.59197470767,0,2,446179.59197470767,2,90.0,0.135121,,0.135121,2,0,0,0.0,0.0,0.0,293956.2410921945,0,2,-446179.59197470767,SHORT,0.0,223089.79598735383,0.0,0.658829,0.0,1.0,41537768904.985,0.0,1.1e-05,0.05,3.996860771776472,0.3333301138336679
CRM,2283.3807942663907,478.9312639992397,1,3,2762.3120582656306,4,44.0,6.823191,0.934653,8.786037,4,0,0,0.0,0.0,2283.3807942663907,203.30281831731926,1,3,1804.449530267151,LONG,2283.3807942663907,159.64375466641323,1.0,0.424493,4.767658672351812,1.0,2818850071.0199037,1e-06,0.0,0.23714719888882269,3.4014793005000934,0.30674628461157427
ORCL,54179.33210016613,90974.58138745409,1,1,145153.91348762022,2,49.0,0.320032,0.592157,0.047907,2,0,0,0.0,0.0,54179.33210016613,90974.58138745409,1,1,-36795.24928728796,SHORT,54179.33210016613,90974.58138745409,1.0,1.0,0.5955436262951331,1.0,4574635010.135596,1.2e-05,2e-05,0.27479966483551244,3.009601162138365,0.28924889510809026
LEU,0.0,65726.73330637245,0,1,65726.73330637245,1,90.0,0.772152,,0.772152,1,0,0,0.0,0.0,0.0,65726.73330637245,0,1,-65726.73330637245,SHORT,0.0,65726.73330637245,0.0,1.0,0.0,1.0,143239854.59089205,0.0,0.000459,0.05,2.986799729627917,0.2882308093645461
WFC,0.0,65908.83166851941,0,1,65908.83166851941,1,90.0,0.243972,,0.243972,1,0,0,0.0,0.0,0.0,65908.83166851941,0,1,-65908.83166851941,SHORT,0.0,65908.83166851941,0.0,1.0,0.0,1.0,1581054099.551119,0.0,4.2e-05,0.05,2.9346172130490906,0.28590085592119036
PLTR,0.0,44531.67707488273,0,1,44531.67707488273,1,56.0,0.111087,,0.111087,1,0,0,0.0,0.0,0.0,44531.67707488273,0,1,-44531.67707488273,SHORT,0.0,44531.67707488273,0.0,1.0,0.0,1.0,7481292179.187055,0.0,6e-06,0.05,2.8178334173577317,0.2806864503168114
QCOM,0.0,36920.02544037198,0,1,36920.02544037198,1,56.0,0.121536,,0.121536,1,0,0,0.0,0.0,0.0,36920.02544037198,0,1,-36920.02544037198,SHORT,0.0,36920.02544037198,0.0,1.0,0.0,1.0,1689881062.3287992,0.0,2.2e-05,0.05,2.768140918219153,0.27846767634675984
