ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,total_call_premium,total_put_premium,bullish_unusual_premium_share,bearish_unusual_premium_share,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,bullish_unusual_premium_share_z,bullish_unusual_premium_share_tier,bearish_unusual_premium_share_z,bearish_unusual_premium_share_tier,lottery_bullish_premium,lottery_bearish_premium,swing_bullish_premium,swing_bearish_premium,leap_bullish_premium,leap_bearish_premium,bullish_score_raw,checks_passed,checks_failed
DKS,291998.34933051607,0.0,1,0,583996.6986610321,1,49.0,127.290909,127.290909,,1,0,0,0.0,0.0,291998.34933051607,0.0,1,0,668500.0,0.0,13051.887687172844,0.0,1,0,291998.34933051607,LONG,291998.34933051607,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,13180446929.0,5.1e-05,0.0,402969.0,1590143.0,1.658936543505828,0.0,1e-06,0.0,0.044698,0.0,0.0,0.0,0.2215390349837477,0.0,5.702352367480071,0.16897748133638998,2.6239,0.8283,1.6502,0.0,0.0,0.6,0.0,0.6865,0.0,0.4033,0.0,0.0,0.6,0.0,0.48353540796169275,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,2.6193072989258894,1,-1.3697427873556753,1,0.0,865050.0,1337000.0,0.0,0.0,0.0,0.570235236748007,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned"
GFS,5.651173940477704,0.0,2,0,5.651173940477704,2,42.0,16.062134,16.062134,,2,0,0,0.0,0.0,5.651173110238161,0.0,2,0,2314598.0,0.0,1.882321089156937,0.0,1,0,5.651173940477704,LONG,2.825586970238852,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,27733275020.0,8.3e-05,0.0,,,,,0.0,0.0,0.333085,0.0,0.0,0.0,1.0188435978805837e-06,0.0,4.7273343496391425,0.1391169306782309,2.3216,0.0,1.6502,0.1556,0.0,0.6,0.0,0.4887,0.0,0.3025,0.0,0.0,0.6,0.0,0.49784892387835294,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.3010310307406407,1,-1.489665705406111,1,0.0,0.0,2314598.0,0.0,0.0,0.0,0.47273343496391423,"confirmation_volume, momentum_aligned, not_extended, room_to_target","continuation_pattern, trend_aligned"
NBIS,5972788.307119116,0.0,2,0,5972788.307119116,2,77.0,5.793132,5.793132,,2,1,0,3175376.5530593162,0.0,3175376.5530593162,0.0,2,0,9758988.0,0.0,2918696.204465309,0.0,2,0,5972788.307119116,LONG,2986394.153559558,0.0,0.468359,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.5,0,0.0,41353806532.0,0.000236,0.0,,,,,7.1e-05,0.0,0.488666,0.0,0.0,0.0,0.7221570162467766,0.0,4.659676866447608,0.09116731440478651,0.1408,1.7,1.6502,0.1556,0.15,0.6,0.2631,0.2335,0.0,0.0781,0.0,0.0,0.6,0.0,0.7468669126984128,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-2.2890621543722003,1,686500.0,0.0,9758988.0,0.0,0.0,0.0,0.46596768664476085,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_continuation",trend_aligned
W,221.60479003806645,0.0,3,0,443.2095800761329,3,115.0,31.688304,31.688304,,3,0,0,0.0,0.0,92.95294873358837,0.0,3,0,1948168.0,0.0,101.46229382825427,0.0,2,0,221.60479003806645,LONG,73.86826334602215,0.0,0.580546,0.0,99.0,0.7,0.6666666666666666,0.0,0.3589743589743589,-0.3076923076923077,91+,0.0,0,0.0,9967241379.0,0.000195,0.0,,,,,0.0,0.0,0.457852,0.0,0.0,0.0,7.411104089608518e-05,0.0,4.532806943540349,0.10107086937387111,1.8854,0.0,1.6502,0.3111,0.0,0.3429,0.3432,0.4031,0.0,0.2647,0.0,0.0,0.3429,0.0,0.5597215396825396,0.03428571428571428,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.1938598040273054,1,-1.8725933147333675,1,0.0,0.0,3896336.0,0.0,0.0,0.0,0.45328069435403484,"confirmation_volume, ema_pullback, not_extended, room_to_target, trend_aligned",momentum_aligned
LLY,2.1591009791964105e-07,0.0046841878674953675,7,5,0.004684602651589275,12,64.083333,4.499466,3.511907,6.227693,12,1,1,3.307581227791543e-16,2.6358788202082114e-12,1.9887399598754803e-07,0.0046841878574379854,7,5,7817936.0,8960305.0,5.353142354799527e-08,0.001999806736934313,0,1,-0.004683971957397448,SHORT,3.084429970280586e-08,0.0009368375734990735,0.078904,0.0,4.609338993807011e-05,1.0,0.0,0.2,-0.3076923076923077,-0.1076923076923077,31-90,0.2,0,0.0,1087683071688.0,7e-06,8e-06,,,,,0.0,0.0,0.245354,0.426927,0.0,0.0,2.8357800636666984e-16,8.613148424248013e-12,3.6117789420705466,0.3263565895394377,0.2783,0.0,1.6502,0.9333,0.15,0.6,0.0,0.2412,0.0,1.6502,0.6222,0.15,0.6,0.0,0.362829072909958,0.33566659515865926,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-2.403674727692071,1,2836614.0,515200.0,8135238.0,8960305.0,0.0,0.0,0.36117789420705465,none,none
XLE,0.00017480214351718045,0.0,2,0,0.00022576315515149102,2,102.5,24.763803,24.763803,,2,2,0,0.00017480214351718045,0.0,0.00012384113188286985,0.0,2,0,1364775.5,0.0,8.443105257021961e-05,0.0,1,0,0.00017480214351718045,LONG,8.740107175859023e-05,0.0,0.291535,0.0,99.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,1.0,0,0.0,58.932445,0.0,0.0,,,,,0.0,0.0,0.511721,0.0,0.0,0.0,0.0,0.0,3.5641134724806847,0.17633944362303042,0.9787,0.0,1.6502,0.1556,0.3,0.3429,0.1368,0.9787,0.0,0.4418,0.0,0.0,0.3429,0.0,0.26352234126984125,0.03428571428571428,3,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,,4,,4,0.0,0.0,1972951.0,0.0,0.0,0.0,0.35641134724806844,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target"
RGTI,33574.20785744417,0.0,2,0,33574.20785744417,2,74.5,3.442209,3.442209,,2,0,0,0.0,0.0,33574.20785744417,0.0,2,0,1775792.5,0.0,19820.494959779226,0.0,1,0,33574.20785744417,LONG,16787.103928722085,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,4939446272.0,0.00036,0.0,,,,,4e-06,0.0,0.590349,0.0,0.0,0.0,0.033985801250399926,0.0,3.4383628112112548,0.10774122035782821,0.9119,0.1207,1.6502,0.1556,0.0,0.6,0.0,0.4077,0.0,0.0697,0.0,0.0,0.6,0.0,0.5476253837998242,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-2.5873391474663032,1,0.0,0.0,2111222.0,0.0,0.0,0.0,0.34383628112112546,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned"
NEM,2.69128827137157e-56,3.179482328209985e-55,1,2,4.11205725262003e-55,3,59.666667,2.301655,3.429444,1.737761,3,0,1,0.0,6.634460972728882e-56,2.69128827137157e-56,2.516036230937097e-55,1,2,1890000.0,1218952.5,3.582112715259431e-57,1.1607432624544939e-55,0,2,-2.910353501072828e-55,SHORT,2.69128827137157e-56,1.5897411641049925e-55,0.0,0.208665,0.0846454860746698,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.5,1,0.3333,100901571871.0,1.9e-05,1.2e-05,,,,,0.0,0.0,0.1331,0.333703,0.0,0.0,2.667241175204199e-63,1.5755365695763735e-62,3.438199666675559,0.32026061622614094,1.188,0.0,1.6502,0.0,0.0,0.6,0.0,0.5693,0.0,1.6502,0.1556,0.15,0.6,0.0776,0.2996151674861953,0.22636661888239618,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-2.947787377945466,1,0.0,0.0,1890000.0,1473305.0,0.0,0.0,0.34381996666755593,"ema_pullback, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned"
SOXS,13758.561498095445,0.0,2,0,13758.561498095445,2,50.5,1.680098,1.680098,,2,2,0,13758.561498095445,0.0,12700.161457056302,0.0,2,0,1308767.0,0.0,6732.781355616995,0.0,1,0,13758.561498095445,LONG,6879.280749047723,0.0,0.076927,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,1.0,0,0.0,1348985226.0,0.00097,0.0,,,,,5e-06,0.0,0.489352,0.0,0.0,0.0,0.05099596805404689,0.0,3.278451224293153,0.09337511825579875,0.3828,0.19,1.6502,0.1556,0.3,0.6,0.0,0.2282,0.0,0.1056,0.0,0.0,0.6,0.0,0.49479859295668743,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-3.5,1,0.0,0.0,1308767.0,0.0,0.0,0.0,0.3278451224293153,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target",trend_aligned
ECHO,1.795897272930793e-14,9.619737219806962e-15,1,1,3.7198447168921856e-14,2,93.0,110.846154,46.692308,175.0,2,1,1,1.795897272930793e-14,9.619737219806962e-15,1.795897272930793e-14,9.619737219806962e-15,1,1,643692.0,340000.0,1.113465930881367e-14,6.221230130188546e-15,1,1,8.339235509500968e-15,LONG,1.795897272930793e-14,9.619737219806962e-15,0.0,0.0,1.866888078016367,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,1.0,0,0.0,28160000000.0,2.3e-05,1.2e-05,,,,,0.0,0.0,0.620005,0.646715,0.0,0.0,6.377476111259918e-21,3.416099864988268e-21,3.2767017049641045,0.3191925355931504,1.1337,0.0,1.6502,0.0,0.15,0.3429,0.0,1.0489,0.0,1.6502,0.0,0.15,0.3429,0.0,0.30293439211343487,0.2631672438982692,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-2.7048992988494573,1,-2.6899667615814793,1,0.0,0.0,643692.0,680000.0,0.0,0.0,0.32767017049641045,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned"
