ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,bullish_score,bearish_score,bullish_score_raw
GLNG,220260.5470152094,0.0,5,0,220260.5470152094,5,83.6,16.44,16.44,,5,1,0,78383.54008898813,0.0,78383.54008898813,0.0,5,0,220260.5470152094,LONG,44052.109403041875,0.0,0.36,0.0,inf,1.0,10.0,0.05,0.8892876483603361
SPY,325317.2074978707,365062.9403675973,2,3,690380.147865468,5,51.8,0.84,0.77,0.88,5,1,2,129642.51332662241,219027.35470319883,195674.69417124832,146035.58566439844,2,3,-39745.73286972655,SHORT,162658.60374893536,121687.64678919909,0.6,0.4,0.8911263552808047,1.0,6.382759065433183,0.7553930468790965,0.6458151573268177
NEM,281654.53876339784,0.0,2,0,281654.53876339784,2,90.0,0.47,0.47,,2,0,0,0.0,0.0,140929.15695549693,0.0,2,0,281654.53876339784,LONG,140827.26938169892,0.0,0.5,0.0,inf,1.0,5.434668611481068,0.05,0.5820002363070587
NFLX,217611.87937408363,0.0,1,0,217611.87937408363,1,90.0,0.26,0.26,,1,0,0,0.0,0.0,217611.87937408363,0.0,1,0,217611.87937408363,LONG,217611.87937408363,0.0,1.0,0.0,inf,1.0,5.310749115706896,0.05,0.5736593519508529
SLV,245533.38310928494,0.0,2,0,245533.38310928494,2,90.0,0.07,0.07,,2,0,0,0.0,0.0,125006.09159005705,0.0,2,0,245533.38310928494,LONG,122766.69155464247,0.0,0.51,0.0,inf,1.0,5.296719521653407,0.05,0.5727150354747924
AMAT,176339.47466060397,0.0,1,0,176339.47466060397,1,90.0,0.54,0.54,,1,0,0,0.0,0.0,176339.47466060397,0.0,1,0,176339.47466060397,LONG,176339.47466060397,0.0,1.0,0.0,inf,1.0,5.249375906333078,0.05,0.5695283890320794
TQQQ,175335.0272121455,0.0,1,0,175335.0272121455,1,90.0,0.28,0.28,,1,0,0,0.0,0.0,175335.0272121455,0.0,1,0,175335.0272121455,LONG,175335.0272121455,0.0,1.0,0.0,inf,1.0,5.199341650915371,0.05,0.5661606385769897
SOXS,24106.323987292555,0.0,1,0,24106.323987292555,1,56.0,1.33,1.33,,1,1,0,24106.323987292555,0.0,24106.323987292555,0.0,1,0,24106.323987292555,LONG,24106.323987292555,0.0,1.0,0.0,inf,1.0,5.0754274161137705,0.05,0.5578201083310356
TSM,86001.42289121466,0.0,1,0,86001.42289121466,1,90.0,0.13,0.13,,1,0,0,0.0,0.0,86001.42289121466,0.0,1,0,86001.42289121466,LONG,86001.42289121466,0.0,1.0,0.0,inf,1.0,4.792931510018657,0.05,0.5388056209889075
ORCL,62728.5194672737,105329.8477183053,1,1,168058.367185579,2,49.0,0.32,0.59,0.05,2,0,0,0.0,0.0,62728.5194672737,105329.8477183053,1,1,-42601.328251031606,SHORT,62728.5194672737,105329.8477183053,1.0,1.0,0.5955436262951331,1.0,4.708052472051471,0.5530747688168683,0.5330925067163925
BMNR,40061.095644488225,0.0,1,0,40061.095644488225,1,90.0,0.42,0.42,,1,0,0,0.0,0.0,40061.095644488225,0.0,1,0,40061.095644488225,LONG,40061.095644488225,0.0,1.0,0.0,inf,1.0,4.438562871503308,0.05,0.5149534594314632
USAR,249.1008535345261,0.0,3,0,249.1008535345261,3,31.33,1.26,1.26,,3,2,0,1.0593990040038825,0.0,248.0414545305222,0.0,3,0,249.1008535345261,LONG,83.03361784484203,0.0,1.0,0.0,inf,1.0,4.066700189649251,0.05,0.48992379314404066
CRM,2643.6851665046424,554.5038661923664,1,3,3198.189032697009,4,44.0,6.82,0.93,8.79,4,0,0,0.0,0.0,2643.6851665046424,235.38283515551987,1,3,2089.181300312276,LONG,2643.6851665046424,184.83462206412216,1.0,0.42,4.767658672351808,1.0,3.083531437159101,0.4516823512025782,0.4237477906036514
NOW,316.1269635785632,0.0,1,0,316.1269635785632,1,58.0,0.42,0.42,,1,0,0,0.0,0.0,316.1269635785632,0.0,1,0,316.1269635785632,LONG,316.1269635785632,0.0,1.0,0.0,inf,1.0,1.8619662926653324,0.05,0.34152559029416746
HOOD,6.99814772810563,50935.54884337433,1,3,50942.546991102434,4,54.25,0.43,0.96,0.26,4,0,0,0.0,0.0,6.99814772810563,49949.88082046446,1,3,-50928.55069564623,SHORT,6.99814772810563,16978.516281124776,1.0,0.98,0.0001373922120604762,1.0,0.0,0.6141035319620156,0.21619869620659865
