ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bullish_score_raw,checks_passed,checks_failed
DELL,2237393.867849632,15259.881683952217,18,4,2256030.295619117,22,66.318182,9.888961,10.267465,8.185694,22,6,0,18670.964558070726,0.0,1103593.806221826,5817.960512481955,18,4,63.90696830913914,5339451.0,285431.0,2222133.98616568,LONG,124299.65932497957,3814.9704209880542,0.50675,0.618741,99.0,1.0,2035833216.3252258,0.002623,0.00014,8.8627411254208,0.4211266904072254,0.8862741125420801,none,not_extended
HII,623996.2201314114,870456.7436427369,6,7,2364909.707416885,13,84.0,2.912255,2.655894,3.131993,13,0,5,0.0,777282.6775880945,135891.1507288228,626151.4932962657,6,7,3.282970017284134,692050.0,962557.0,-246460.52351132547,SHORT,103999.37002190191,124350.96337753384,0.782224,0.280663,0.7168606880108442,1.0,207847765.13946533,0.00333,0.004631,7.675381408768542,0.8602828550519971,0.7675381408768542,none,none
SATS,258727.81905975408,588294.3704039437,4,5,1340142.4517426512,9,58.222222,4.326463,3.519953,4.97167,9,0,1,0.0,351068.03958667646,127248.91434520336,351068.03958667646,4,5,3.4196179376799622,5304790.0,1286600.0,-329566.5513441896,SHORT,64681.95476493852,117658.87408078874,0.508175,0.403244,0.43979312411591226,1.0,913043641.409874,0.00581,0.001409,7.532518111236354,0.7019160183942398,0.7532518111236354,"confirmation_volume, momentum_aligned, not_extended, support_ema_confluence, trend_aligned",room_to_target
KWEB,182408.67954461992,3691.8745659460014,13,3,197204.3997891215,16,72.1875,1.999001,2.27524,0.801969,16,8,1,103778.92307074825,399.77446882229174,61278.404410680574,3115.4638016076624,13,3,3.538318153088183,1132346.0,174916.0,178716.80497867393,LONG,14031.436888047687,1230.624855315334,0.66406,0.15613,49.40814653541182,1.0,795614065.7354736,0.001423,0.00022,7.454687308937319,0.27757460279497914,0.7454687308937319,none,trend_aligned
GDX,898835.463123042,509247.5409719412,7,3,1767708.4565691508,10,82.7,4.551188,6.36366,0.322085,10,2,0,283997.6613724179,0.0,381612.9764731398,288430.5708717762,7,3,3.671361092863585,1387750.0,622472.5,389587.9221511008,LONG,128405.06616043458,169749.1803239804,0.575436,0.433614,1.7650266143799929,1.0,2733862721.9347,0.000508,0.000228,6.86766571897026,0.4120139980136447,0.686766571897026,none,trend_aligned
INTU,204734.67821706997,63296.89186322489,14,4,278256.1155602023,18,63.833333,7.02594,8.818829,0.750827,18,2,2,47954.32770291889,8428.909691444353,55420.365154285835,51841.13323807154,14,4,1.4906827900819044,3154941.0,234562.5,141437.7863538451,LONG,14623.90558693357,15824.222965806222,0.729306,0.180985,3.2345139262046385,1.0,1877007936.2872314,0.001681,0.000125,6.669726841170622,0.2563670569091999,0.6669726841170622,none,trend_aligned
FIG,223965.3152954591,0.0,5,0,223965.3152954591,5,46.6,181.983051,181.983051,,5,0,0,0.0,0.0,110581.30200991678,0.0,5,0,301.99587407592657,452753.0,0.0,223965.3152954591,LONG,44793.063059091815,0.0,0.506257,0.0,99.0,1.0,285781628.81765366,0.001584,0.0,6.659729494903775,0.18,0.6659729494903776,none,trend_aligned
CTRA,57125.28602393115,0.0,2,0,57125.28602393115,2,51.5,134.233264,134.233264,,2,0,0,0.0,0.0,56134.24972491145,0.0,2,0,56.641971419652236,3063080.0,0.0,57125.28602393115,LONG,28562.643011965574,0.0,0.017348,0.0,99.0,1.0,439360385.31131744,0.006972,0.0,6.641917981428135,0.18,0.6641917981428135,none,not_extended
UVIX,818395.3691831449,148.02859603958728,3,1,818993.931616408,4,71.5,1.492105,1.853419,0.408163,4,1,0,302.5052411840633,0.0,807565.5585463909,148.02859603958728,3,1,907.9150069874211,1134518.5,51583.0,818247.3405871053,LONG,272798.45639438165,148.02859603958728,0.013233,0.0,99.0,1.0,596101922.4456215,0.001903,8.7e-05,6.282286086886444,0.18,0.6282286086886444,"momentum_aligned, not_extended, retest_and_confirm, trend_aligned","confirmation_volume, room_to_target"
PDD,52024.389695328064,123289.01149421262,8,7,301974.80221116747,15,77.733333,1.486039,1.553771,1.408632,15,2,5,8781.672183206116,106762.72474348792,27860.958501859433,89362.57859929062,8,7,5.5973067050744305,2522840.0,1533547.5,-71264.62179888456,SHORT,6503.048711916008,17612.71592774466,0.464464,0.275178,0.4219710180559779,1.0,743302226.9713593,0.003394,0.002063,6.19085451524948,0.62451838842934,0.619085451524948,none,trend_aligned
GSAT,122385.48588210503,47225.455691304225,2,1,291996.4274555143,3,50.0,10.424021,9.146341,12.979381,3,0,0,0.0,0.0,61260.98121910705,47225.455691304225,2,1,1.3885381899239813,160000.0,53000.0,75160.03019080081,LONG,61192.742941052515,47225.455691304225,0.499442,0.0,2.591515192189882,1.0,50923780.5242157,0.003142,0.001041,6.1890453013164155,0.48589327333757215,0.6189045301316416,"confirmation_volume, not_extended, room_to_target, support_ema_confluence, trend_aligned",momentum_aligned
ADMA,626262.2384642728,0.0,1,0,626262.2384642728,1,84.0,2001.2,2001.2,,1,0,0,0.0,0.0,626262.2384642728,0.0,1,0,0.0,822780.0,0.0,626262.2384642728,LONG,626262.2384642728,0.0,0.0,0.0,99.0,1.0,65356355.12668133,0.012589,0.0,6.000000000000001,0.05,0.6000000000000001,none,trend_aligned
VRT,487814.89369973924,367.82806483683726,7,3,930789.614478551,10,54.5,259.809068,369.001191,5.027447,10,0,0,0.0,0.0,442084.8080501242,240.07147413990768,7,3,1872.1759758146807,1401953.5,752360.0,487447.0656349024,LONG,69687.8419571056,122.60935494561242,0.093745,0.347327,99.0,1.0,3247249495.861206,0.000432,0.000232,5.926466474660581,0.41345513481720586,0.5926466474660581,"ema_pullback, not_extended, room_to_target, trend_aligned","confirmation_volume, momentum_aligned"
ONON,57784.44183687536,38775.45098788182,2,1,139446.87408289197,3,50.666667,1191.847113,1786.125,3.291339,3,0,1,0.0,38775.45098788182,53672.9115666224,38775.45098788182,2,1,1.5980866327663479,902932.0,42258.5,19008.99084899354,LONG,28892.22091843768,38775.45098788182,0.071153,0.0,1.4902326179245282,1.0,259155744.67531204,0.003484,0.000163,5.766784160931513,0.38617726433344013,0.5766784160931513,none,trend_aligned
ARM,111286.77406048184,71835.77775541994,11,13,254910.16684671334,24,61.458333,7.289754,2.580385,11.274604,24,0,8,0.0,43199.370780672,23374.43031665082,9984.304249433608,11,13,0.670948637815396,1532122.5,931838.5,39450.9963050619,LONG,10116.979460043804,5525.829058109226,0.789962,0.861012,1.5491831165158556,1.0,958149819.8287964,0.001599,0.000973,5.669866492166001,0.6328144959727797,0.5669866492166001,none,not_extended
