ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,bullish_score,bearish_score,bullish_score_raw
GLNG,217489.7410800846,0.0,5,0,217489.7410800846,5,83.6,16.44,16.44,,5,1,0,77397.50068684471,0.0,77397.50068684471,0.0,5,0,217489.7410800846,LONG,43497.94821601692,0.0,0.36,0.0,inf,1.0,10.0,0.05,0.889258348253786
SPY,321224.82299438963,360470.56749114755,2,3,681695.3904855371,5,51.8,0.84,0.77,0.88,5,1,2,128011.65273793472,216272.06192566664,193213.1702564549,144198.50556548088,2,3,-39245.74449675792,SHORT,160612.41149719481,120156.85583038251,0.6,0.4,0.8911263552808046,1.0,6.384711297754244,0.7553762093346243,0.6458114949251008
NEM,278111.4164101851,0.0,2,0,278111.4164101851,2,90.0,0.47,0.47,,2,0,0,0.0,0.0,139156.31406640043,0.0,2,0,278111.4164101851,LONG,139055.70820509255,0.0,0.5,0.0,inf,1.0,5.4369553068977,0.05,0.5819913597436114
NFLX,214874.3928151234,0.0,1,0,214874.3928151234,1,90.0,0.26,0.26,,1,0,0,0.0,0.0,214874.3928151234,0.0,1,0,214874.3928151234,LONG,214874.3928151234,0.0,1.0,0.0,inf,1.0,5.313080569581309,0.05,0.5736498640871621
SLV,242444.6531283161,0.0,2,0,242444.6531283161,2,90.0,0.07,0.07,,2,0,0,0.0,0.0,123433.55567657562,0.0,2,0,242444.6531283161,LONG,121222.32656415805,0.0,0.51,0.0,inf,1.0,5.298992408582932,0.05,0.5727011933870567
AMAT,174121.181509118,0.0,1,0,174121.181509118,1,90.0,0.54,0.54,,1,0,0,0.0,0.0,174121.181509118,0.0,1,0,174121.181509118,LONG,174121.181509118,0.0,1.0,0.0,inf,1.0,5.251621033553374,0.05,0.5695112926243223
TQQQ,173129.36968237857,0.0,1,0,173129.36968237857,1,90.0,0.28,0.28,,1,0,0,0.0,0.0,173129.36968237857,0.0,1,0,173129.36968237857,LONG,173129.36968237857,0.0,1.0,0.0,inf,1.0,5.201605446298326,0.05,0.5661433355018208
SOXS,23803.074283779293,0.0,1,0,23803.074283779293,1,56.0,1.33,1.33,,1,1,0,23803.074283779293,0.0,23803.074283779293,0.0,1,0,23803.074283779293,LONG,23803.074283779293,0.0,1.0,0.0,inf,1.0,5.076679159170866,0.05,0.557731030426344
TSM,84919.55300482191,0.0,1,0,84919.55300482191,1,90.0,0.13,0.13,,1,0,0,0.0,0.0,84919.55300482191,0.0,1,0,84919.55300482191,LONG,84919.55300482191,0.0,1.0,0.0,inf,1.0,4.794989166308128,0.05,0.5387625474020105
ORCL,61939.41512518056,104004.8325435109,1,1,165944.24766869145,2,49.0,0.32,0.59,0.05,2,0,0,0.0,0.0,61939.41512518056,104004.8325435109,1,1,-42065.41741833034,SHORT,61939.41512518056,104004.8325435109,1.0,1.0,0.5955436262951331,1.0,4.70997748772805,0.5530288621190937,0.533038018228544
BMNR,39557.1401105374,0.0,1,0,39557.1401105374,1,90.0,0.42,0.42,,1,0,0,0.0,0.0,39557.1401105374,0.0,1,0,39557.1401105374,LONG,39557.1401105374,0.0,1.0,0.0,inf,1.0,4.440364095758577,0.05,0.5148827511679993
USAR,245.96724593765362,0.0,3,0,245.96724593765362,3,31.33,1.26,1.26,,3,2,0,1.046072109615681,0.0,244.92117382803792,0.0,3,0,245.96724593765362,LONG,81.98908197921787,0.0,1.0,0.0,inf,1.0,4.0657768129138026,0.05,0.4896587364858923
CRM,2610.428468247889,547.5283881763726,1,3,3157.956856424262,4,44.0,6.82,0.93,8.79,4,0,0,0.0,0.0,2610.428468247889,232.42179576143172,1,3,2062.9000800715166,LONG,2610.428468247889,182.50946272545752,1.0,0.42,4.767658672351807,1.0,3.0844633983637735,0.45144497103908104,0.42357890647037155
NOW,312.1501893500131,0.0,1,0,312.1501893500131,1,58.0,0.42,0.42,,1,0,0,0.0,0.0,312.1501893500131,0.0,1,0,312.1501893500131,LONG,312.1501893500131,0.0,1.0,0.0,inf,1.0,1.8623081538185393,0.05,0.3412812331534753
HOOD,6.9101133092200016,50294.79623035954,1,3,50301.70634366876,4,54.25,0.43,0.96,0.26,4,0,0,0.0,0.0,6.9101133092200016,49321.52759011239,1,3,-50287.88611705032,SHORT,6.9101133092200016,16764.932076786514,1.0,0.98,0.0001373922120604763,1.0,0.0,0.6140193369341266,0.21587684713754002
