ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bullish_score_raw
GLNG,190241.5269266348,0.0,5,0,190241.5269266348,5,83.6,16.43556,16.43556,,5,1,0,67700.75056344297,0.0,67700.75056344297,0.0,5,0,190241.5269266348,LONG,38048.30538532696,0.0,0.355867,0.0,inf,1.0,156350828.99401626,0.001217,0.0,10.0,0.05,0.8980635505834301
USAR,215.1512260244407,0.0,3,0,215.1512260244407,3,31.333333,1.261801,1.261801,,3,2,0,0.9150149079232881,0.0,214.2362111165174,0.0,3,0,215.1512260244407,LONG,71.71707534148022,0.0,0.995747,0.0,inf,1.0,212582988.77191713,1e-06,0.0,2.629626873841616,0.05,0.3583354099883726
SPY,280980.1534072749,315308.9926497962,2,3,596289.1460570712,5,51.8,0.837898,0.770209,0.883025,5,1,2,111973.70579561942,189176.40477194014,169006.44761165552,126132.58787785604,2,3,-34328.839242521266,SHORT,140490.07670363746,105102.99754993206,0.601489,0.400029,0.8911263552808047,1.0,58829483394.85289,5e-06,5e-06,2.475985830865196,0.4632234176686135,0.34708436570264445
NEM,243268.21233430377,0.0,2,0,243268.21233430377,2,90.0,0.473432,0.473432,,2,0,0,0.0,0.0,121722.10761760159,0.0,2,0,243268.21233430377,LONG,121634.10616715188,0.0,0.500362,0.0,inf,1.0,1041712104.1442688,0.000234,0.0,2.421395915865114,0.05,0.3430867779531632
SOXS,20820.90481512346,0.0,1,0,20820.90481512346,1,56.0,1.328358,1.328358,,1,1,0,20820.90481512346,0.0,20820.90481512346,0.0,1,0,20820.90481512346,LONG,20820.90481512346,0.0,1.0,0.0,inf,1.0,2190147622.7168655,1e-05,0.0,2.1259723803121404,0.05,0.3214530841356655
AMAT,152306.3997228584,0.0,1,0,152306.3997228584,1,90.0,0.538188,0.538188,,1,0,0,0.0,0.0,152306.3997228584,0.0,1,0,152306.3997228584,LONG,152306.3997228584,0.0,1.0,0.0,inf,1.0,2529371657.304361,6e-05,0.0,1.815835451994647,0.05,0.29874193711699193
SLV,212069.96144864435,0.0,2,0,212069.96144864435,2,90.0,0.066005,0.066005,,2,0,0,0.0,0.0,107969.17587597323,0.0,2,0,212069.96144864435,LONG,106034.98072432217,0.0,0.509121,0.0,inf,1.0,3383183574.7619033,6.3e-05,0.0,1.7608962164748605,0.05,0.29471876882886705
NFLX,187953.84271265645,0.0,1,0,187953.84271265645,1,90.0,0.26066,0.26066,,1,0,0,0.0,0.0,187953.84271265645,0.0,1,0,187953.84271265645,LONG,187953.84271265645,0.0,1.0,0.0,inf,1.0,5013415483.062258,3.7e-05,0.0,1.727766401045361,0.05,0.29229269169899164
TQQQ,151438.8470952918,0.0,1,0,151438.8470952918,1,90.0,0.277038,0.277038,,1,0,0,0.0,0.0,151438.8470952918,0.0,1,0,151438.8470952918,LONG,151438.8470952918,0.0,1.0,0.0,inf,1.0,4798698263.319898,3.2e-05,0.0,1.677221187469352,0.05,0.28859129508413955
ORCL,54179.33210016613,90974.58138745409,1,1,145153.91348762022,2,49.0,0.320032,0.592157,0.047907,2,0,0,0.0,0.0,54179.33210016613,90974.58138745409,1,1,-36795.24928728796,SHORT,54179.33210016613,90974.58138745409,1.0,1.0,0.5955436262951331,1.0,4574635010.135596,1.2e-05,2e-05,1.4888866291890954,0.28924889510809026,0.27479966483551244
TSM,74280.402143731,0.0,1,0,74280.402143731,1,90.0,0.126289,0.126289,,1,0,0,0.0,0.0,74280.402143731,0.0,1,0,74280.402143731,LONG,74280.402143731,0.0,1.0,0.0,inf,1.0,4550137408.487854,1.6e-05,0.0,1.4781605161964386,0.05,0.27401419781474623
BMNR,34601.221639729854,0.0,1,0,34601.221639729854,1,90.0,0.42315,0.42315,,1,0,0,0.0,0.0,34601.221639729854,0.0,1,0,34601.221639729854,LONG,34601.221639729854,0.0,1.0,0.0,inf,1.0,977961590.406112,3.5e-05,0.0,1.4625928219086446,0.05,0.2728741846095148
CRM,2283.3807942663907,478.9312639992397,1,3,2762.3120582656306,4,44.0,6.823191,0.934653,8.786037,4,0,0,0.0,0.0,2283.3807942663907,203.30281831731926,1,3,1804.449530267151,LONG,2283.3807942663907,159.64375466641323,1.0,0.424493,4.767658672351812,1.0,2818850071.0199037,1e-06,0.0,0.9747153227956313,0.30674628461157427,0.23714719888882269
NOW,273.0424357373169,0.0,1,0,273.0424357373169,1,58.0,0.415313,0.415313,,1,0,0,0.0,0.0,273.0424357373169,0.0,1,0,273.0424357373169,LONG,273.0424357373169,0.0,1.0,0.0,inf,1.0,1996466267.387992,0.0,0.0,0.5273665559838618,0.05,0.20438810868050156
HOOD,6.044379383844195,43993.609922981814,1,3,43999.654302365656,4,54.25,0.430927,0.957845,0.255288,4,0,0,0.0,0.0,6.044379383844195,43142.27729776962,1,3,-43987.56554359797,SHORT,6.044379383844195,14664.536640993938,1.0,0.980649,0.00013739221206047637,1.0,1916649833.3274515,0.0,2.3e-05,0.0,0.36661702336143787,0.16576936227497902
