ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bullish_score_raw
GLNG,190666.73054615592,0.0,5,0,190666.73054615592,5,83.6,16.43556,16.43556,,5,1,0,67852.06665435602,0.0,67852.06665435602,0.0,5,0,190666.73054615592,LONG,38133.346109231185,0.0,0.355867,0.0,inf,1.0,156350828.99401626,0.001219,0.0,10.0,0.05,0.8980671765008503
USAR,215.63210462927478,0.0,3,0,215.63210462927478,3,31.333333,1.261801,1.261801,,3,2,0,0.9170600326499971,0.0,214.71504459662478,0.0,3,0,215.63210462927478,LONG,71.87736820975826,0.0,0.995747,0.0,inf,1.0,212582988.77191713,1e-06,0.0,2.62965323262907,0.05,0.35835246606154386
SPY,281608.16444236523,316013.7311320201,2,3,597621.8955743853,5,51.8,0.837898,0.770209,0.883025,5,1,2,112223.97515460035,189599.22776614386,169384.1892877649,126414.50336587623,2,3,-34405.566689654894,SHORT,140804.08222118262,105337.91037734004,0.601489,0.400029,0.8911263552808046,1.0,58829483394.85289,5e-06,5e-06,2.475757406093047,0.4632250538769702,0.34708300424674576
NEM,243811.93444413977,0.0,2,0,243811.93444413977,2,90.0,0.473432,0.473432,,2,0,0,0.0,0.0,121994.16536214808,0.0,2,0,243811.93444413977,LONG,121905.96722206988,0.0,0.500362,0.0,inf,1.0,1041712104.1442688,0.000234,0.0,2.419906012490122,0.05,0.342993126296975
SOXS,20867.441048469125,0.0,1,0,20867.441048469125,1,56.0,1.328358,1.328358,,1,1,0,20867.441048469125,0.0,20867.441048469125,0.0,1,0,20867.441048469125,LONG,20867.441048469125,0.0,1.0,0.0,inf,1.0,2190147622.7168655,1e-05,0.0,2.125768058034897,0.05,0.321454033778179
AMAT,152646.81557992494,0.0,1,0,152646.81557992494,1,90.0,0.538188,0.538188,,1,0,0,0.0,0.0,152646.81557992494,0.0,1,0,152646.81557992494,LONG,152646.81557992494,0.0,1.0,0.0,inf,1.0,2529371657.304361,6e-05,0.0,1.8152866886388868,0.05,0.2987181479821106
SLV,212543.95320352778,0.0,2,0,212543.95320352778,2,90.0,0.066005,0.066005,,2,0,0,0.0,0.0,108210.49481995373,0.0,2,0,212543.95320352778,LONG,106271.97660176389,0.0,0.509121,0.0,inf,1.0,3383183574.7619033,6.3e-05,0.0,1.7603409394929408,0.05,0.2946945884365191
NFLX,188373.93319192986,0.0,1,0,188373.93319192986,1,90.0,0.26066,0.26066,,1,0,0,0.0,0.0,188373.93319192986,0.0,1,0,188373.93319192986,LONG,188373.93319192986,0.0,1.0,0.0,inf,1.0,5013415483.062258,3.8e-05,0.0,1.7306970608347698,0.05,0.29252383068369225
TQQQ,151777.32390927285,0.0,1,0,151777.32390927285,1,90.0,0.277038,0.277038,,1,0,0,0.0,0.0,151777.32390927285,0.0,1,0,151777.32390927285,LONG,151777.32390927285,0.0,1.0,0.0,inf,1.0,4798698263.319898,3.2e-05,0.0,1.676824293686398,0.05,0.2885788433120303
ORCL,54300.42683949246,91177.91617936456,1,1,145478.343018857,2,49.0,0.320032,0.592157,0.047907,2,0,0,0.0,0.0,54300.42683949246,91177.91617936456,1,1,-36877.4893398721,SHORT,54300.42683949246,91177.91617936456,1.0,1.0,0.5955436262951331,1.0,4574635010.135596,1.2e-05,2e-05,1.4886280476472573,0.2892507744415563,0.2747976352301464
TSM,74446.42423344633,0.0,1,0,74446.42423344633,1,90.0,0.126289,0.126289,,1,0,0,0.0,0.0,74446.42423344633,0.0,1,0,74446.42423344633,LONG,74446.42423344633,0.0,1.0,0.0,inf,1.0,4550137408.487854,1.6e-05,0.0,1.47786983258842,0.05,0.27400983417972236
BMNR,34678.55788128945,0.0,1,0,34678.55788128945,1,90.0,0.42315,0.42315,,1,0,0,0.0,0.0,34678.55788128945,0.0,1,0,34678.55788128945,LONG,34678.55788128945,0.0,1.0,0.0,inf,1.0,977961590.406112,3.5e-05,0.0,1.462220547791012,0.05,0.27286387056639455
CRM,2288.4843160586693,480.0017101328689,1,3,2768.4860261915383,4,44.0,6.823191,0.934653,8.786037,4,0,0,0.0,0.0,2288.4843160586693,203.75721487102612,1,3,1808.4826059258003,LONG,2288.4843160586693,160.00057004428962,1.0,0.424493,4.767658672351804,1.0,2818850071.0199037,1e-06,0.0,0.9746045475689933,0.3067620903593297,0.2371567950824447
NOW,273.65270539733245,0.0,1,0,273.65270539733245,1,58.0,0.415313,0.415313,,1,0,0,0.0,0.0,273.65270539733245,0.0,1,0,273.65270539733245,LONG,273.65270539733245,0.0,1.0,0.0,inf,1.0,1996466267.387992,0.0,0.0,0.5273163105000895,0.05,0.20440283533372805
HOOD,6.057889010439866,44091.93883401008,1,3,44097.996723020515,4,54.25,0.430927,0.957845,0.255288,4,0,0,0.0,0.0,6.057889010439866,43238.7034185948,1,3,-44085.88094499964,SHORT,6.057889010439866,14697.312944670026,1.0,0.980649,0.00013739221206047637,1.0,1916649833.3274515,0.0,2.3e-05,0.0,0.3666229151492853,0.16578859114491645
