ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_score_raw,checks_passed,checks_failed
KORU,1570073.8055636957,196273.74498270257,33,3,3532695.101092797,36,40.111111,113.073339,122.263389,25.767857,36,30,1,907865.8247869855,121372.46647340871,581422.2510579657,121372.46647340871,33,3,147865033.42919794,5720245.0,470549.0,1373800.060580993,LONG,47577.99410799078,65424.581660900854,0.629685,0.381616,7.999408202569656,1.0,1502861134.0,0.003806,0.000313,0.3165827702347832,0.43533351272959897,9.389833901600332,0.7727763494021533,0.9389833901600332,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume
TSEM,440617.38345876784,0.581938558373359,14,4,730179.0637425338,18,81.611111,106.8094,186.585831,0.440824,18,10,1,0.13874365018473325,0.012545453727278609,289560.95960155735,0.29716905646531244,14,4,5535268.383864383,9615903.5,1033067.0,440616.80152020947,LONG,31472.670247054844,0.14548463959333974,0.342829,0.489346,99.0,1.0,23366537907.0,0.000412,4.4e-05,0.013469119975033382,6.226195775017075e-08,8.204880545304379,0.3901020043401739,0.8204880545304379,none,not_extended
EWY,1136296.9653449832,355760.9899771286,9,1,1911993.1288619428,10,37.4,3.073282,3.406994,0.069876,10,7,0,776473.4264164688,0.0,460956.42989133694,355760.9899771286,9,1,4.824099362475517,1623141.5,370260.0,780535.9753678546,LONG,126255.2183716648,355760.9899771286,0.594335,0.0,3.1939897778506694,1.0,18268683242.0,8.9e-05,2e-05,0.06911019075605952,0.19473816764156723,8.11937737696709,0.30785022335423007,0.811937737696709,none,not_extended
CIEN,5553972.58434362,13.88655678929983,23,3,7971271.849661156,26,50.230769,3.045509,2.985113,3.508543,26,2,0,1291728.2154024928,0.0,1262785.724630067,10.787752311974927,23,3,5.436930980895752,7776437.5,969890.0,5553958.69778683,LONG,241477.0688845052,4.628852263099943,0.772634,0.223151,99.0,1.0,67857105117.0,0.000115,1.4e-05,0.03558611415387492,6.82147028689011e-07,7.833811661526633,0.40976882015628746,0.7833811661526633,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned"
CSIQ,90678.43501949927,9.611601034713664e-13,2,3,90678.43501949927,5,68.0,57.775702,142.99026,0.965997,5,0,0,0.0,0.0,90678.43501949927,9.611600665819242e-13,2,3,4.305682339252763e+31,172689.0,165780.0,90678.43501949927,LONG,45339.21750974964,3.2038670115712215e-13,0.0,0.0,99.0,1.0,862544930.0,0.0002,0.000192,0.525644704789461,3.714434924069662e-18,7.433333333333334,0.4846264866666667,0.7433333333333334,none,none
IRDM,165257.48377384883,6.736651167126721e-12,5,1,165257.48377384883,6,80.333333,12.106846,14.435633,0.462908,6,3,1,43095.40865945208,6.736651167126721e-12,122162.07511439631,6.736651167126721e-12,5,1,174338923899354.78,1003106.0,39405.0,165257.48377384883,LONG,33051.49675476977,6.736651167126721e-12,0.260777,0.0,99.0,1.0,3698151403.0,0.000271,1.1e-05,0.08937302222931667,1.8216266542418572e-17,7.125118976600695,0.22704702861686005,0.7125118976600695,none,not_extended
QBTS,520146.90234391583,165738.24222946097,9,4,851623.3868028378,13,46.692308,3.59444,4.070963,2.522262,13,0,0,0.0,0.0,78640.40084779673,56548.985321778186,9,4,1.477755074245422,658530.0,215076.5,354408.66011445486,LONG,57794.100260435094,41434.56055736524,0.848811,0.658805,3.1383638160213128,1.0,5372705855.0,0.000123,4e-05,0.10756982016175366,0.07712047090537258,7.071020330715378,0.460727413539681,0.7071020330715377,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target",trend_aligned
RGTI,316395.32462335506,0.0,3,0,316395.32462335506,3,63.333333,4.021271,4.021271,,3,0,0,0.0,0.0,174117.4973028347,0.0,3,0,3.2503885914651724,444110.0,0.0,316395.32462335506,LONG,105465.10820778502,0.0,0.449684,0.0,99.0,1.0,5025437927.0,8.8e-05,0.0,0.20986252290801605,0.0,6.78488966574834,0.18,0.6784889665748339,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target",trend_aligned
SPXS,0.8180532976957062,59780.07519100508,4,3,59780.89355457358,7,38.0,5.519705,8.397471,2.641939,7,4,3,0.8180532976957062,59780.07519100508,0.8179863787034113,59780.07492800866,4,3,523505786.7074072,535964.0,187271.0,-59779.257137707384,SHORT,0.20451332442392656,19926.691730335027,8.2e-05,0.0,1.3684380541207417e-05,1.0,403659331.0,0.001328,0.000464,5.066483262440093e-06,0.49365121031563686,6.7,0.7710943375482782,0.67,none,not_extended
STX,1347500.1160667338,355908.8745101265,9,13,1980690.0989633494,22,55.181818,2.611887,2.779074,2.509004,22,3,1,1024290.2743653695,3029.338488782559,1024290.192043784,172322.5271207064,9,13,118.62434076718888,7330860.0,1587037.0,991591.2415566074,LONG,149722.23511852598,27377.605731548192,0.239859,0.515824,3.7860818107484255,1.0,111932543830.0,6.5e-05,1.4e-05,0.013376112969068219,0.00244590221885143,6.536157658859285,0.507047607775335,0.6536157658859285,none,not_extended
PTON,1.2181702698659288e-05,7.56312339004476e-18,9,1,1.218170821877897e-05,10,59.5,2.001213,2.218395,0.046572,10,1,0,1.9539679184515956e-17,0.0,1.218169709581425e-05,7.56312339004476e-18,9,1,162548694416.1078,862355.0,46000.0,1.2181702698651726e-05,LONG,1.3535225220732542e-06,7.56312339004476e-18,0.0,0.0,99.0,1.0,1937655691.0,0.000445,2.4e-05,6.985361374366351e-12,3.903233905370218e-23,6.522703666666667,0.25507391495285403,0.6522703666666667,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume
YPF,338424.5939356371,8.260706428554236e-12,6,1,338424.5939356371,7,76.0,2.165012,2.485522,0.241954,7,2,0,338424.59174301004,0.0,338424.5787702157,8.260706428554236e-12,6,1,1946086622546153.5,1698618.0,56595.0,338424.5939356371,LONG,56404.09898927285,8.260706428554236e-12,0.0,0.0,99.0,1.0,17113039623.0,9.9e-05,3e-06,0.03295971974111805,4.827141530983082e-18,6.492417379025463,0.18717526412658086,0.6492417379025464,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume
BTDR,1025668.1300872,3225217.048427385,4,4,4424809.865007266,8,39.5,192.577119,0.417138,384.737101,8,1,2,74013.83052672587,72973.77596354268,780669.5441059865,3051292.361934703,4,4,3.4220198952074266,1568494.0,3703836.5,-2199548.9183401847,SHORT,256417.0325218,806304.2621068462,0.238867,0.053927,0.3180152264751656,1.0,2162612042.0,0.000725,0.001713,1.1856820712265321,3.7283814500596693,6.424190714285714,0.7950000000000002,0.6424190714285715,none,none
BE,4189003.457212666,752498.5739212154,5,5,5279784.680117346,10,37.8,43.030698,1.709669,84.351728,10,1,1,78553.32663867295,306284.13395124034,2440719.219304216,306284.13395124034,5,5,2.872451217007338,5108872.0,995679.0,3436504.883291451,LONG,837800.6914425332,150499.7147842431,0.417351,0.592977,5.566792552687606,1.0,49564453144.0,0.000103,2e-05,0.1690325703803216,0.030364445734323963,6.421825544298442,0.4979298438157257,0.6421825544298442,none,not_extended
OWL,195693.29088659905,0.002582417871710386,7,3,277252.06812391034,10,49.2,20.385584,29.091721,0.071265,10,0,0,0.0,0.0,114134.5162317056,0.0025824173928853515,7,3,12790657731.777374,372849.5,217500.0,195693.2883041812,LONG,27956.18441237129,0.0008608059572367954,0.416768,0.0,99.0,1.0,5624050386.0,6.6e-05,3.9e-05,0.04970827516403992,1.530580094694044e-09,6.307456274809821,0.32352662307106766,0.6307456274809822,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target",trend_aligned
BURL,73262.71044237183,0.0011336126009621112,6,1,101336.06925085602,7,40.714286,212.47109,281.106753,6.564103,7,0,0,0.0,0.0,45189.35276750025,0.0011336126009621112,6,1,40202999.10995675,1665446.0,345435.0,73262.70930875922,LONG,12210.451740395305,0.0011336126009621112,0.383188,0.0,99.0,1.0,20836673528.0,8e-05,1.7e-05,0.005860077293041563,5.440468217917702e-10,6.286605548966059,0.38381077870148655,0.6286605548966059,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target"
AEHR,2080.444669396655,0.013690613686110534,4,1,4158.90061482972,5,42.0,5.821248,3.262274,16.057143,5,0,0,0.0,0.0,2078.442254819379,0.013690613686110534,4,1,173096.25325679575,445604.0,241920.0,2080.430978782969,LONG,520.1111673491638,0.013690613686110534,0.000962,0.0,99.0,1.0,2253940182.0,0.000198,0.000107,0.0023075642002515387,6.074080312975464e-08,6.2,0.5800000000000001,0.62,none,not_extended
USO,188715.166674987,123308.87099182076,4,3,411008.78026319307,7,45.857143,0.560837,0.612954,0.491349,7,3,1,136043.7064133238,41622.48727048433,57875.72605292396,48175.25248332487,4,3,1.597221162823268,273697.5,160942.0,65406.295683166245,LONG,47178.79166874675,41102.956997273584,0.693317,0.609312,1.5304265229020282,1.0,1228364647.0,0.000223,0.000131,0.38407806496198155,0.33461527159429544,6.157443425269258,0.5510029868862045,0.6157443425269258,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume
CORZ,585407.7240279076,1.0642009190831232,7,1,585408.7882288266,8,40.875,0.547181,0.547282,0.546474,8,1,0,7895.504717798507,0.0,338838.28396844293,1.0642009190831232,7,1,19.470389041164612,1746414.0,94116.0,585406.6598269885,LONG,83629.67486112965,1.0642009190831232,0.421193,0.0,99.0,1.0,5899873975.0,0.000296,1.6e-05,0.14174823939545192,1.8037689001367577e-06,5.960621369788985,0.23345819730513662,0.5960621369788985,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none
KWEB,391179.8063692466,0.0,4,0,421545.4886167082,4,64.25,0.612643,0.612643,,4,1,0,346804.84297660197,0.0,346804.84297660197,0.0,4,0,29.090443917006528,783875.0,0.0,391179.8063692466,LONG,97794.95159231166,0.0,0.113439,0.0,99.0,1.0,4223436000.0,0.000186,0.0,0.23155305678199375,0.0,5.663607807546841,0.18,0.5663607807546841,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target",trend_aligned
CGON,0.0014679235955085141,137222.15515158715,2,2,274444.3117710979,4,36.25,8.776899,8.654762,8.899035,4,1,0,0.00038953539613876924,0.0,0.0010783881993697449,137222.15497775396,2,2,186960895.74614546,370079.0,197761.0,-137222.15368366355,SHORT,0.0007339617977542571,68611.07757579358,0.265365,0.0,1.0697424143258223e-08,1.0,5716263040.0,6.5e-05,3.5e-05,1.2839888448419915e-09,0.12002785227985865,5.472510983747996,0.4900973327953488,0.5472510983747996,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume
SYY,16.44815306071902,5.597151274103026,6,11,27.642455608925072,17,60.647059,13.231416,12.09994,13.848584,17,1,1,9.51383433462676,0.8731796104291336,9.51383433462676,0.8731796104291336,6,11,3.9776995302618383,1319050.0,492415.0,10.851001786615992,LONG,2.74135884345317,0.508831934009366,0.421586,0.843996,2.9386650914406323,1.0,35134352411.0,3.8e-05,1.4e-05,7.802502836497121e-07,1.4482462293799357e-07,5.46354969797203,0.5568056534896209,0.546354969797203,"momentum_aligned, not_extended, pullback_to_support, room_to_target","confirmation_volume, trend_aligned"
