ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,bullish_score_raw,checks_passed,checks_failed
AVTX,7.652702430952983e-09,6.838307773364656e-09,10,7,2.214371263527062e-08,17,53.352941,3.113927,4.725771,0.811291,17,0,1,0.0,1.0860280051991505e-09,6.2189455854483315e-09,1.746734068436357e-09,10,7,1385065.0,905564.0,7.679414135854734e-10,2.9453778435818086e-09,0,0,8.143946575883266e-10,LONG,7.652702430952983e-10,9.769011104806651e-10,0.187353,0.744566,1.1190930102269467,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,328837362.0,0.004212,0.002754,0.0,0.0,0.100349,0.430717,0.0,0.0,2.3271998000497836e-14,2.970772860295191e-14,6.5773895308210655,0.5170410029868685,2.815,0.0,1.7,1.4,0.0,0.6,0.0624,2.815,0.0,0.2117,0.9333,0.15,0.6,0.4604,0.6662394999999999,0.5255415499047619,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.6577389530821065,"momentum_aligned, not_extended, pullback_to_support, room_to_target","confirmation_volume, trend_aligned"
SYY,5.000657400851066,17.845378195409747,5,10,40.69141379167056,15,65.866667,13.743729,11.482153,14.874516,15,2,1,5.000656509272635,1.1228242286156644e-07,5.00065528588588,17.845377475702282,5,10,1227903.0,416602.5,2.442667335739811,10.364768899298241,0,1,-12.844720794558683,SHORT,1.000131480170213,1.7845378195409747,0.0,0.0,0.28022143022653073,1.0,0.0,0.1,-0.3076923076923077,-0.2076923076923077,31-90,0.1,0,0.0,36528040599.0,3.4e-05,1.1e-05,0.0,0.0,0.488469,0.58081,0.0,0.0,2.7379828311885767e-07,4.885391579393472e-07,6.037216753043289,0.5914132915799475,2.815,0.0,1.7,0.6222,0.3,0.6,0.0,2.0641,0.0,1.7,1.4,0.15,0.6,0.0,0.44222949704643716,0.4250745531955577,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.6037216753043289,"momentum_aligned, not_extended, support_ema_confluence","confirmation_volume, room_to_target, trend_aligned"
PRAX,0.014488048703488141,0.0,5,0,0.014488048703488141,5,53.4,31.3125,31.3125,,5,2,0,1.0868143347714809e-28,0.0,0.005013936959542108,0.0,5,0,504160.0,0.0,0.0005880440597611043,0.0,0,0,0.014488048703488141,LONG,0.002897609740697628,0.0,0.653926,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.4,0,0.0,9538910303.0,5.3e-05,0.0,0.0,0.0,0.040588,0.0,0.0,0.0,3.0376737474786045e-09,0.0,5.992473355422025,0.14146009243080557,2.3746,0.0,1.7,0.6222,0.3,0.6,0.3957,0.8146,0.0,0.0,0.0,0.0,0.6,0.0,0.53808023084475,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5992473355422024,"momentum_aligned, not_extended, retest_and_confirm, trend_aligned","confirmation_volume, room_to_target"
YPF,0.043518118047167764,0.0,5,0,0.043518118047167764,5,63.6,2.911707,2.911707,,5,2,0,0.04351811776521721,0.0,0.04351811609704177,0.0,5,0,1600618.0,0.0,0.023714742970363502,0.0,0,0,0.043518118047167764,LONG,0.008703623609433553,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.4,1,0.2,15964566268.0,0.0001,0.0,0.0,0.0,0.54494,0.0,0.0,0.0,5.451838442287929e-09,0.0,5.970614669289354,0.14193437815344875,2.8084,0.0,1.64,0.6222,0.3,0.6,0.0,0.8193,0.0,0.0,0.0,0.0,0.6,0.0,0.6062182982222222,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5970614669289354,"not_extended, retest_and_confirm, room_to_target, trend_aligned","confirmation_volume, momentum_aligned"
AS,3.7197772538251628,0.0,5,0,7.4378926056175185,5,65.0,4.920413,4.920413,,5,1,0,1.0255006380169882,0.0,1.7460514335667987,0.0,5,0,375735.0,0.0,1.469682286641894,0.0,0,0,3.7197772538251628,LONG,0.7439554507650326,0.0,0.530603,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.2,0,0.0,20695036732.0,1.8e-05,0.0,0.0,0.0,0.395065,0.0,0.0,0.0,3.5948496269865547e-07,0.0,5.850739908100202,0.14456573558483285,2.4709,0.0,1.7,0.6222,0.15,0.6,0.3076,0.8457,0.0,0.0,0.0,0.0,0.6,0.0,0.4040126578701105,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5850739908100202,"momentum_aligned, not_extended, support_ema_confluence, trend_aligned","confirmation_volume, room_to_target"
IVZ,1401.5254261484156,1.2240012210890799e-10,5,4,1401.5254261486605,9,98.777778,225.40083,211.828862,242.365789,9,0,2,0.0,5.3659285807701594e-11,718.330580532785,5.585769330033972e-11,5,4,4317320.0,268423.5,666.8620776564696,6.93234651844867e-11,0,0,1401.5254261482933,LONG,280.30508522968313,3.0600030527226997e-11,0.487465,0.543647,99.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,2,0.2222,11007546407.0,0.000392,2.4e-05,0.0,0.0,0.475812,0.566368,0.0,0.0,0.0002546481067310599,2.779913833274198e-17,5.756834610186145,0.594140905463059,2.815,0.0,1.7,0.6222,0.0,0.3429,0.2768,2.815,0.0,1.7,0.4667,0.3,0.3429,0.3169,0.5841840079365078,0.39972719372626303,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5756834610186145,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target",trend_aligned
NVT,0.020873260138904608,199.00600931139118,6,5,397.93368645635513,11,63.363636,5.703975,5.692527,5.717713,11,0,0,0.0,0.0,0.014571058647402142,198.90680388236157,6,5,818953.0,1104298.0,0.00871009769034715,15.699726298952672,0,0,-198.98513605125228,SHORT,0.0034788766898174346,39.80120186227823,0.301927,0.000499,0.00010488758711925899,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,21783342584.0,3.8e-05,5.1e-05,0.0,0.0,0.417285,0.078871,0.0,0.0,1.5970352926335059e-09,1.8271393248670872e-05,5.756079633040083,0.5737216753043288,2.5341,0.0,1.7,0.7778,0.0,0.6,0.1442,2.815,0.0,1.7,0.6222,0.0,0.6,0.0,0.4546938694092,0.46292880970490435,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5756079633040083,none,none
IP,0.0013927388041644394,3.2071206114400447e-07,3,2,0.0013930595162255843,5,51.4,12.507833,7.193565,20.479235,5,0,0,0.0,0.0,0.0008844877278400234,3.207120611432648e-07,3,2,684066.0,490162.0,0.0005350195510985811,1.823139982841135e-07,0,0,0.0013924180921032953,LONG,0.00046424626805481313,1.6035603057200224e-07,0.364929,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,19659199825.0,3.5e-05,2.5e-05,0.0,0.0,0.384149,0.568466,0.0,0.0,2.3614708237740453e-10,8.156793358806111e-14,5.615340641932177,0.49930670089793455,2.815,0.0,1.7,0.3111,0.0,0.6,0.1892,2.5375,0.0,1.7,0.1556,0.0,0.6,0.0,0.4031978486162219,0.336050753184522,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5615340641932177,none,none
SMG,1.7036313576831468e-16,182.70889274221202,2,1,365.41778548442403,3,72.0,4.832929,6.750887,0.997015,3,0,0,0.0,0.0,8.721184098164863e-17,182.70889274221202,2,1,537740.0,400000.0,8.198643171436574e-17,90.96577331447487,0,0,-182.70889274221202,SHORT,8.518156788415734e-17,182.70889274221202,0.488083,0.0,9.324293591373452e-19,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,3832945288.0,0.00014,0.000104,0.0,0.0,0.481245,0.497873,0.0,0.0,2.222352824884813e-22,0.0004766801480684532,5.547752229233764,0.3752964730821066,2.815,0.0,1.7,0.1556,0.0,0.6,0.2772,2.815,0.0,0.338,0.0,0.0,0.6,0.0,0.5632757698412698,0.38379702,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5547752229233764,none,none
FLR,1.1415454856659838e-18,1.71387454247134e-25,3,1,1.141545657053438e-18,4,54.75,58.323055,76.351229,4.238532,4,0,0,0.0,0.0,5.570936718301711e-19,1.71387454247134e-25,3,1,711121.0,119860.0,6.329736819583859e-19,4.3124132908094585e-26,0,0,1.1415453142785296e-18,LONG,3.8051516188866126e-19,1.71387454247134e-25,0.511983,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,7117180521.0,0.0001,1.7e-05,0.0,0.0,0.554488,0.251618,0.0,0.0,5.346431227448998e-25,2.4080807525035656e-31,5.526562906159647,0.35151779303903313,2.6212,0.0,1.7,0.3111,0.0,0.6,0.2943,1.2152,0.0,1.7,0.0,0.0,0.6,0.0,0.5805384682539683,0.29242050329372443,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5526562906159647,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume
