ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bearish_score_raw,checks_passed,checks_failed
COIN,115533.74084373977,3819473.5193382152,3,5,4095681.864077213,8,65.375,1.196376,0.39356,1.678066,8,0,1,0.0,948014.5297397549,45410.897957346584,1641254.769812994,3,5,2.694386785302379,132025.0,4113727.0,-3703939.7784944754,SHORT,38511.246947913256,763894.703867643,0.606947,0.570293,0.030248603703831367,1.0,38670896780.0,3e-06,0.000106,0.31982002157627054,7.368664111726268,0.7368664111726269,none,not_extended
HUT,1748.6239726206718,29312.119188723347,1,5,62120.7046255042,6,81.833333,4.661891,0.304511,5.533366,6,0,0,0.0,0.0,1748.6239726206718,12692.223689603321,1,5,16.753154300407775,31280.0,575105.5,-27563.495216102674,SHORT,1748.6239726206718,5862.423837744669,0.0,0.566997,0.059655324180497474,1.0,5608678825.0,6e-06,0.000103,0.19768105974564493,6.731598778735915,0.6731598778735914,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, trend_aligned",room_to_target
NUGT,0.0,109.88935463079719,0,3,215.7297363855627,3,63.666667,10.753754,,10.753754,3,0,0,0.0,0.0,0.0,105.56072333323178,0,3,384.70219913713214,0.0,286340.5,-109.88935463079719,SHORT,0.0,36.6297848769324,0.0,0.039391,0.0,1.0,948333752.0,0.0,0.000302,0.18,6.066666666666666,0.6066666666666667,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume
EEFT,0.0,463594.59781891137,0,1,463594.59781891137,1,49.0,11.538462,,11.538462,1,0,0,0.0,0.0,0.0,463594.59781891137,0,1,0.0,0.0,618750.0,-463594.59781891137,SHORT,0.0,463594.59781891137,0.0,0.0,0.0,1.0,2695330884.0,0.0,0.00023,0.05,6.000000000000001,0.6000000000000001,"momentum_aligned, not_extended, retest_and_confirm, trend_aligned","confirmation_volume, room_to_target"
COUR,37.40591863756537,94657.03874106299,1,3,189351.48340076354,4,49.75,0.531104,0.172394,0.650674,4,1,3,37.40591863756537,94657.03874106299,37.40591863756537,40406.245760464306,1,3,2.6177109235200304,118355.0,118432.5,-94619.63282242542,SHORT,37.40591863756537,31552.346247020996,0.0,0.57313,0.0003951731338214617,1.0,982288000.0,0.00012,0.000121,0.4259341400192013,5.9534269770816355,0.5953426977081635,none,none
SEDG,0.0,7313.385895229975,0,2,7313.385895229975,2,51.0,46.557471,,46.557471,2,0,0,0.0,0.0,0.0,5129.274081541811,0,2,2.348448485739541,0.0,2298679.0,-7313.385895229975,SHORT,0.0,3656.6929476149876,0.0,0.298646,0.0,1.0,3034613449.0,0.0,0.000757,0.15176610104871344,5.792884343820468,0.5792884343820468,none,trend_aligned
HOOD,250616.84098156876,239409.44767312144,7,5,616424.6895153177,12,86.666667,1.269774,0.378345,2.517776,12,0,1,0.0,9278.118585107797,174976.5214405007,113286.19468273838,7,5,26.580613037763168,561606.0,1604968.0,11207.393308447325,LONG,35802.40585450982,47881.889534624286,0.301817,0.52681,1.0468126609763093,1.0,55580344909.0,1e-05,2.9e-05,0.3856959574685477,5.7879253961521275,0.5787925396152127,"confirmation_volume, momentum_aligned, not_extended, room_to_target, structural_breakdown, trend_aligned",none
DOW,41353.7240315974,26697.53997118314,5,6,88840.98147869138,11,64.181818,93.198789,2.41006,168.856062,11,0,0,0.0,0.0,40011.296089465584,20100.354856232432,5,6,54.049476924515815,421678.0,1698618.0,14656.184060414256,LONG,8270.744806319479,4449.589995197191,0.032462,0.247108,1.5489713312999582,1.0,28321069822.0,1.5e-05,6e-05,0.41590136162117924,5.755201873586966,0.5755201873586966,none,trend_aligned
LEU,0.0,66452.19936759715,0,2,132904.39823042465,2,86.5,2.848576,,2.848576,2,0,1,0.0,66452.1988628275,0.0,66452.1988628275,0,2,263297128.65679097,0.0,187350.0,-66452.19936759715,SHORT,0.0,33226.09968379857,0.0,0.0,0.0,1.0,3662328508.0,0.0,5.1e-05,0.18,5.709170081007187,0.5709170081007187,"ema_rally, momentum_aligned, not_extended, trend_aligned","confirmation_volume, room_to_target"
SNOW,24.953518966987158,358209.43361139315,6,4,423117.65194470715,10,68.1,1.295354,0.1393,3.029434,10,2,2,0.7868883176805581,257280.27247449168,23.82856598396653,192397.34572481003,6,4,289207.85022734274,479020.5,575316.0,-358184.4800924262,SHORT,4.158919827831193,89552.35840284829,0.045082,0.462891,6.966181408292617e-05,1.0,56117481000.0,9e-06,1e-05,0.2995602984290937,5.694824858397221,0.5694824858397222,none,none
