ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bullish_score_raw
GLNG,183011.74226549742,0.0,5,0,183011.74226549742,5,83.6,16.43556,16.43556,,5,1,0,65127.906159393235,0.0,65127.906159393235,0.0,5,0,183011.74226549742,LONG,36602.34845309948,0.0,0.355867,0.0,inf,1.0,156350828.99401626,0.001171,0.0,10.0,0.05,0.8980004136679832
USAR,206.97479336609544,0.0,3,0,206.97479336609544,3,31.333333,1.261801,1.261801,,3,2,0,0.8802414236431333,0.0,206.0945519424523,0.0,3,0,206.97479336609544,LONG,68.99159778869848,0.0,0.995747,0.0,inf,1.0,212582988.77191713,1e-06,0.0,2.6291938086017557,0.05,0.35804119315814936
SPY,270302.01159457094,303326.2454788418,2,3,573628.2570734128,5,51.8,0.837898,0.770209,0.883025,5,1,2,107718.34791613775,181987.09814911886,162583.66367843322,121339.14732972295,2,3,-33024.233884270885,SHORT,135151.00579728547,101108.74849294727,0.601489,0.400029,0.8911263552808045,1.0,58829483394.85289,5e-06,5e-06,2.480129622742424,0.4631949358239913,0.34712127754614097
NEM,234023.2445373668,0.0,2,0,234023.2445373668,2,90.0,0.473432,0.473432,,2,0,0,0.0,0.0,117096.27938339897,0.0,2,0,234023.2445373668,LONG,117011.6222686834,0.0,0.500362,0.0,inf,1.0,1041712104.1442688,0.000225,0.0,2.4242780543546893,0.05,0.34302978896975067
SOXS,20029.644038913266,0.0,1,0,20029.644038913266,1,56.0,1.328358,1.328358,,1,1,0,20029.644038913266,0.0,20029.644038913266,0.0,1,0,20029.644038913266,LONG,20029.644038913266,0.0,1.0,0.0,inf,1.0,2190147622.7168655,9e-06,0.0,2.1263791501185603,0.05,0.3212067677227953
AMAT,146518.27086214954,0.0,1,0,146518.27086214954,1,90.0,0.538188,0.538188,,1,0,0,0.0,0.0,146518.27086214954,0.0,1,0,146518.27086214954,LONG,146518.27086214954,0.0,1.0,0.0,inf,1.0,2529371657.304361,5.8e-05,0.0,1.820542432052339,0.05,0.29880225027895846
SLV,204010.62666964694,0.0,2,0,204010.62666964694,2,90.0,0.066005,0.066005,,2,0,0,0.0,0.0,103866.00290299357,0.0,2,0,204010.62666964694,LONG,102005.31333482347,0.0,0.509121,0.0,inf,1.0,3383183574.7619033,6e-05,0.0,1.7623274543635743,0.05,0.29453762668710415
NFLX,180810.99734656652,0.0,1,0,180810.99734656652,1,90.0,0.26066,0.26066,,1,0,0,0.0,0.0,180810.99734656652,0.0,1,0,180810.99734656652,LONG,180810.99734656652,0.0,1.0,0.0,inf,1.0,5013415483.062258,3.6e-05,0.0,1.7330762840705165,0.05,0.29239478929587387
TQQQ,145683.68800086287,0.0,1,0,145683.68800086287,1,90.0,0.277038,0.277038,,1,0,0,0.0,0.0,145683.68800086287,0.0,1,0,145683.68800086287,LONG,145683.68800086287,0.0,1.0,0.0,inf,1.0,4798698263.319898,3e-05,0.0,1.6782750554682107,0.05,0.28838024490131164
ORCL,52120.34471451763,87517.25719702087,1,1,139637.6019115385,2,49.0,0.320032,0.592157,0.047907,2,0,0,0.0,0.0,52120.34471451763,87517.25719702087,1,1,-35396.912482503234,SHORT,52120.34471451763,87517.25719702087,1.0,1.0,0.595543626295133,1.0,4574635010.135596,1.1e-05,1.9e-05,1.4903088808537923,0.2892138559631114,0.2746105070339043
TSM,71457.50999858456,0.0,1,0,71457.50999858456,1,90.0,0.126289,0.126289,,1,0,0,0.0,0.0,71457.50999858456,0.0,1,0,71457.50999858456,LONG,71457.50999858456,0.0,1.0,0.0,inf,1.0,4550137408.487854,1.6e-05,0.0,1.4837829065340467,0.05,0.2741324372115192
BMNR,33286.26488181861,0.0,1,0,33286.26488181861,1,90.0,0.42315,0.42315,,1,0,0,0.0,0.0,33286.26488181861,0.0,1,0,33286.26488181861,LONG,33286.26488181861,0.0,1.0,0.0,inf,1.0,977961590.406112,3.4e-05,0.0,1.4668231495664665,0.05,0.27289002533492723
CRM,2196.6050428906674,460.73034876196806,1,3,2657.3353916526357,4,44.0,6.823191,0.934653,8.786037,4,0,0,0.0,0.0,2196.6050428906674,195.57666293378205,1,3,1735.8746941286993,LONG,2196.6050428906674,153.57678292065603,1.0,0.424493,4.767658672351802,1.0,2818850071.0199037,1e-06,0.0,0.9766646895927763,0.3064711370199643,0.23698274828800664
NOW,262.6659525076879,0.0,1,0,262.6659525076879,1,58.0,0.415313,0.415313,,1,0,0,0.0,0.0,262.6659525076879,0.0,1,0,262.6659525076879,LONG,262.6659525076879,0.0,1.0,0.0,inf,1.0,1996466267.387992,0.0,0.0,0.5282259911830022,0.05,0.20413171357726323
HOOD,5.8146736930763625,42321.71246006934,1,3,42327.52713376242,4,54.25,0.430927,0.957845,0.255288,4,0,0,0.0,0.0,5.8146736930763625,41502.73318932565,1,3,-42315.89778637626,SHORT,5.8146736930763625,14107.23748668978,1.0,0.980649,0.00013739221206047662,1.0,1916649833.3274515,0.0,2.2e-05,0.0,0.3665121248510308,0.1654357436866071
