ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,bullish_score,bearish_score,bearish_score_raw
XLI,0.0,81361.20595401441,0,3,81361.20595401441,3,61.0,74.28,,74.28,3,0,1,0.0,46484.615489224016,0.0,46484.615489224016,0,3,-81361.20595401441,SHORT,0.0,27120.40198467147,0.0,0.57,0.0,1.0,0.05,10.0,0.859678980869251
CMG,0.0,116762.59741474922,0,3,116762.59741474922,3,54.0,37.62,,37.62,3,0,2,0.0,116354.96551898183,0.0,96089.03587503197,0,3,-116762.59741474922,SHORT,0.0,38920.86580491641,0.0,0.82,0.0,1.0,0.05,9.660873013524075,0.8360727205351575
SPY,320302.33964699274,359435.37944858737,2,3,679737.71909558,5,51.8,0.84,0.77,0.88,5,1,2,127644.03289827632,215650.9786178019,192658.30674871642,143784.40083078545,2,3,-39133.03980159463,SHORT,160151.16982349637,119811.79314952913,0.6,0.4,0.8911263552808047,1.0,0.6458106618707117,8.501533794493204,0.7553723796263981
XLU,0.0,20966.65036089717,0,2,20966.65036089717,2,43.0,0.66,,0.66,2,0,2,0.0,20966.65036089717,0.0,20707.04945904597,0,2,-20966.65036089717,SHORT,0.0,10483.325180448584,0.0,0.99,0.0,1.0,0.05,6.84471409236781,0.6400429638772805
QQQ,0.0,508620.85979820404,0,2,508620.85979820404,2,90.0,0.14,,0.14,2,0,0,0.0,0.0,0.0,335094.38525784353,0,2,-508620.85979820404,SHORT,0.0,254310.42989910202,0.0,0.66,0.0,1.0,0.05,6.748950321955879,0.6333769520732364
IWM,0.0,159880.57356850294,0,1,159880.57356850294,1,56.0,0.52,,0.52,1,0,1,0.0,159880.57356850294,0.0,159880.57356850294,0,1,-159880.57356850294,SHORT,0.0,159880.57356850294,0.0,1.0,0.0,1.0,0.05,6.54792446801474,0.6193837612295026
HOOD,6.8902690630719,50150.36121580889,1,3,50157.25148487196,4,54.25,0.43,0.96,0.26,4,0,0,0.0,0.0,6.8902690630719,49179.88757784332,1,3,-50143.470946745816,SHORT,6.8902690630719,16716.787071936295,1.0,0.98,0.0001373922120604763,1.0,0.21580372916891183,6.470584165058534,0.6140001869381317
CIA,0.0,108032.79607688043,0,1,108032.79607688043,1,56.0,0.22,,0.22,1,0,0,0.0,0.0,0.0,108032.79607688043,0,1,-108032.79607688043,SHORT,0.0,108032.79607688043,0.0,1.0,0.0,1.0,0.05,5.621580293285077,0.5549019517018146
ORCL,61761.5394601935,103706.15473531465,1,1,165467.69419550814,2,49.0,0.32,0.59,0.05,2,0,0,0.0,0.0,61761.5394601935,103706.15473531465,1,1,-41944.61527512115,SHORT,61761.5394601935,103706.15473531465,1.0,1.0,0.5955436262951334,1.0,0.5330256245679027,5.59452153261411,0.5530184208293396
LEU,0.0,74924.95893427021,0,1,74924.95893427021,1,90.0,0.77,,0.77,1,0,0,0.0,0.0,0.0,74924.95893427021,0,1,-74924.95893427021,SHORT,0.0,74924.95893427021,0.0,1.0,0.0,1.0,0.05,5.459465926996855,0.5436173471521615
WFC,0.0,75132.54132304133,0,1,75132.54132304133,1,90.0,0.24,,0.24,1,0,0,0.0,0.0,0.0,75132.54132304133,0,1,-75132.54132304133,SHORT,0.0,75132.54132304133,0.0,1.0,0.0,1.0,0.05,5.44035169261827,0.5422868261059993
PLTR,0.0,50763.72897702314,0,1,50763.72897702314,1,56.0,0.11,,0.11,1,0,0,0.0,0.0,0.0,50763.72897702314,0,1,-50763.72897702314,SHORT,0.0,50763.72897702314,0.0,1.0,0.0,1.0,0.05,5.2388439662783695,0.5282600926491836
QCOM,0.0,42086.853412869765,0,1,42086.853412869765,1,56.0,0.12,,0.12,1,0,0,0.0,0.0,0.0,42086.853412869765,0,1,-42086.853412869765,SHORT,0.0,42086.853412869765,0.0,1.0,0.0,1.0,0.05,5.145295943127094,0.521748316599755
TLT,0.0,38717.84095047006,0,1,38717.84095047006,1,119.0,0.14,,0.14,1,0,1,0.0,38717.84095047006,0.0,38717.84095047006,0,1,-38717.84095047006,SHORT,0.0,38717.84095047006,0.0,1.0,0.0,0.7,0.0,5.104258088621852,0.5188917162239776
HIMS,0.0,42829.463753388,0,1,42829.463753388,1,119.0,0.63,,0.63,1,0,0,0.0,0.0,0.0,42829.463753388,0,1,-42829.463753388,SHORT,0.0,42829.463753388,0.0,1.0,0.0,0.7,0.0,4.45548935810616,0.4737316311823231
CRM,2602.931921844404,545.9560133654488,1,3,3148.8879352098525,4,44.0,6.82,0.93,8.79,4,0,0,0.0,0.0,2602.931921844404,231.75433415568372,1,3,2056.975908478955,LONG,2602.931921844404,181.98533778848295,1.0,0.42,4.767658672351812,1.0,0.4235404931955623,4.134544108852274,0.4513909817824983
ALAB,0.0,635.4205798957507,0,2,635.4205798957507,2,44.0,1.65,,1.65,2,0,0,0.0,0.0,0.0,494.8856374336162,0,2,-635.4205798957507,SHORT,0.0,317.71028994787537,0.0,0.78,0.0,1.0,0.05,3.5444117486530455,0.4103125106434137
U,0.0,141.6297470415922,0,1,141.6297470415922,1,30.0,0.7,,0.7,1,0,0,0.0,0.0,0.0,141.6297470415922,0,1,-141.6297470415922,SHORT,0.0,141.6297470415922,0.0,1.0,0.0,1.0,0.05,2.317621054474761,0.3249169459814673
HPQ,0.0,1.2473514422331722,0,1,1.2473514422331722,1,32.0,1.0,,1.0,1,0,0,0.0,0.0,0.0,1.2473514422331722,0,1,-1.2473514422331722,SHORT,0.0,1.2473514422331722,0.0,1.0,0.0,1.0,0.05,0.24924748051714232,0.18093971325696628
RDDT,0.0,0.43811448683922033,0,1,0.43811448683922033,1,32.0,0.34,,0.34,1,0,0,0.0,0.0,0.0,0.43811448683922033,0,1,-0.43811448683922033,SHORT,0.0,0.43811448683922033,0.0,1.0,0.0,1.0,0.05,0.0,0.16358986748430537
