ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,total_call_premium,total_put_premium,bullish_unusual_premium_share,bearish_unusual_premium_share,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,bullish_unusual_premium_share_z,bullish_unusual_premium_share_tier,bearish_unusual_premium_share_z,bearish_unusual_premium_share_tier,lottery_bullish_premium,lottery_bearish_premium,swing_bullish_premium,swing_bearish_premium,leap_bullish_premium,leap_bearish_premium,bullish_score_raw,checks_passed,checks_failed
WGMI,6.856251917954531e-06,0.0,1,0,6.856251917954531e-06,1,65.0,3.0,3.0,,1,0,0,0.0,0.0,6.856251917954531e-06,0.0,1,0,594000.0,0.0,1.3269463387912555e-06,0.0,1,0,6.856251917954531e-06,LONG,6.856251917954531e-06,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,1.0,116772000.0,0.005087,0.0,,,,,0.0,0.0,0.193538,0.0,0.0,0.0,5.8714862449513e-10,0.0,5.065163738543761,0.17009147294514254,2.815,0.0,1.6502,0.0,0.0,0.6,0.0,0.6233,0.0,0.4776,0.0,0.0,0.6,0.0,0.52,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-1.955822131762528,1,-1.3828258151777073,1,0.0,0.0,594000.0,0.0,0.0,0.0,0.5065163738543761,"confirmation_volume, momentum_aligned, not_extended, pullback_to_support, room_to_target",trend_aligned
KRE,7.562906645993563e-13,0.0,1,0,7.562906645993563e-13,1,72.0,5.623862,5.623862,,1,0,0,0.0,0.0,7.562906645993563e-13,0.0,1,0,11857796.0,0.0,3.411934572765129e-13,0.0,1,0,7.562906645993563e-13,LONG,7.562906645993563e-13,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,1.0,4062354467.0,0.002919,0.0,,,,,0.0,0.0,0.451141,0.0,0.0,0.0,1.86170525182621e-18,0.0,5.065163738543761,0.14047854804712914,2.815,0.0,1.6502,0.0,0.0,0.6,0.0,0.4096,0.0,0.3952,0.0,0.0,0.6,0.0,0.52,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-2.1212315149550487,1,-2.522980533143395,1,0.0,0.0,11857796.0,0.0,0.0,0.0,0.5065163738543761,"confirmation_volume, ema_pullback, not_extended, room_to_target","momentum_aligned, trend_aligned"
UCO,8.058575946392832e-42,0.0,2,0,8.058575946392832e-42,2,47.5,6.689534,6.689534,,2,1,0,4.043531374997395e-62,0.0,8.058575946392832e-42,0.0,2,0,1609143.0,0.0,5.1423749328248035e-42,0.0,1,0,8.058575946392832e-42,LONG,4.029287973196416e-42,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.5,0,0.0,414025660.0,0.003887,0.0,,,,,0.0,0.0,0.638125,0.0,0.0,0.0,9.73197645091953e-47,0.0,4.9150912843931165,0.14144041912046296,2.3594,0.0,1.6502,0.1556,0.15,0.6,0.0,0.4614,0.0,0.353,0.0,0.0,0.6,0.0,0.5505555555555555,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-2.3294885386009407,1,-1.3307022782083486,1,791946.0,0.0,1609143.0,0.0,0.0,0.0,0.49150912843931166,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume
SIRI,1.4802870553834826e-16,0.0,1,0,1.4802870553834826e-16,1,46.0,31.23155,31.23155,,1,0,0,0.0,0.0,1.4802870553834826e-16,0.0,1,0,629748.0,0.0,4.3727083624531493e-17,0.0,1,0,1.4802870553834826e-16,LONG,1.4802870553834826e-16,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,9569329035.0,6.6e-05,0.0,1188047.0,30584.0,0.5300699383105214,0.0,0.0,0.0,0.295396,0.0,0.0,0.0,1.5469078866128492e-22,0.0,4.890465300700049,0.15484539507773787,2.6403,0.0,1.6502,0.0,0.0,0.6,0.0,0.6707,0.0,0.2778,0.0,0.0,0.6,0.0,0.4409077476005272,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,0.06756674976299323,1,-1.2887341266040289,1,0.0,0.0,629748.0,0.0,0.0,0.0,0.48904653007000487,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned"
MRNA,2869212.118187615,0.0,3,0,5738424.23637523,3,91.0,33.128759,33.128759,,3,2,0,989885.1115272245,0.0,1879327.0066603906,0.0,3,0,3070884.5,0.0,1689028.2579986276,0.0,3,0,2869212.118187615,LONG,956404.0393958717,0.0,0.345002,0.0,99.0,0.7,1.0,0.0,0.6923076923076923,-0.3076923076923077,91+,0.6667,0,0.0,53226128721.0,5.8e-05,0.0,132498681.0,68273506.0,0.023176717510116195,0.0,3.2e-05,0.0,0.588673,0.0,0.0,0.0,0.1796869436830804,0.0,4.597456148991503,0.10625087435510887,1.138,0.6803,1.6502,0.3111,0.3,0.3429,0.175,0.5505,0.0,0.1692,0.0,0.0,0.3429,0.0,0.5408686656393985,0.03428571428571428,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-2.512294640385631,1,0.0,0.0,6141769.0,0.0,0.0,0.0,0.45974561489915033,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none
CIFR,658215.1896556875,0.0,1,0,658215.1896556875,1,91.0,4.451049,4.451049,,1,0,0,0.0,0.0,658215.1896556875,0.0,1,0,674000.0,0.0,331724.95555657236,0.0,1,0,658215.1896556875,LONG,658215.1896556875,0.0,0.0,0.0,99.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,1,1.0,7142678726.0,9.4e-05,0.0,,,,,4.6e-05,0.0,0.503976,0.0,0.0,0.0,0.9215242836832691,0.0,4.105334048762349,0.08832751806936234,0.4123,1.7,1.6502,0.0,0.0,0.3429,0.0,0.2418,0.0,0.2986,0.0,0.0,0.3429,0.0,0.6513565414208854,0.03428571428571428,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-2.053202754469919,1,0.0,0.0,674000.0,0.0,0.0,0.0,0.4105334048762349,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned"
ASST,3.9977493867908984e-67,0.0,1,0,7.995498773581797e-67,1,60.0,627.75,627.75,,1,0,0,0.0,0.0,3.9977493867908984e-67,0.0,1,0,690387.5,0.0,2.232993883470923e-67,0.0,1,0,3.9977493867908984e-67,LONG,3.9977493867908984e-67,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,1220224306.0,0.000566,0.0,5956974.0,698778.0,0.1158956711914472,0.0,0.0,0.0,0.558563,0.0,0.0,0.0,3.27624139851456e-72,0.0,4.085509334813898,0.11171343729606494,1.8353,0.0,1.6502,0.0,0.0,0.6,0.0,0.2574,0.0,0.2597,0.0,0.0,0.6,0.0,0.52,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.109679401964187,1,-2.531639794966955,1,0.0,0.0,1380775.0,0.0,0.0,0.0,0.4085509334813899,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, volume_capitulation_reversal",none
BURL,7.9547364402507,0.0,2,0,15.9094728805014,2,38.5,,,,2,0,0,0.0,0.0,7.9547364402507,0.0,2,0,957899.5,0.0,0.850647508249298,0.0,1,0,7.9547364402507,LONG,3.97736822012535,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,20974231305.0,4.6e-05,0.0,,,,,0.0,0.0,0.106936,0.0,0.0,0.0,1.8963117943574858e-06,0.0,3.8993855974323828,0.17473553966972977,2.7935,0.0,0.3503,0.1556,0.0,0.6,0.0,0.7077,0.0,0.4396,0.0,0.0,0.6,0.0,0.231968704207099,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-1.528196987211746,1,-1.8514748539125916,1,0.0,0.0,1915799.0,0.0,521700.0,0.0,0.38993855974323827,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned"
XLI,0.0003868393740252202,0.0,1,0,0.0007736787480504404,1,99.0,4.647305,4.647305,,1,0,0,0.0,0.0,0.0003868393740252202,0.0,1,0,2074500.0,0.0,0.00015360569297053392,0.0,1,0,0.0003868393740252202,LONG,0.0003868393740252202,0.0,0.0,0.0,99.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,1,1.0,33325773406.0,6.2e-05,0.0,,,,,0.0,0.0,0.397079,0.0,0.0,0.0,1.1607813847632215e-10,0.0,3.8163605703097225,0.1271999859551765,1.8233,0.0,1.6502,0.0,0.0,0.3429,0.0,0.5552,0.0,0.3739,0.0,0.0,0.3429,0.0,0.40483989920655106,0.03428571428571428,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-2.5237317568650504,1,-2.6336132242468926,1,0.0,0.0,4149000.0,0.0,0.0,0.0,0.38163605703097225,"not_extended, room_to_target, trend_continuation","confirmation_volume, momentum_aligned, trend_aligned"
IBIT,1520062.9167167381,1623512.4080001975,1,1,3143575.324716936,2,63.0,4.417899,6.064815,2.770983,2,1,0,1520062.9167167381,0.0,1520062.9167167381,1623512.4080001975,1,1,1754606.0,1843200.0,601829.5514010105,532323.5288031452,1,1,-103449.49128345936,SHORT,1520062.9167167381,1623512.4080001975,0.0,0.0,0.9362804430851959,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,1,0.5,64762757065.0,2.7e-05,2.8e-05,,,,,9e-06,8e-06,0.395924,0.327884,0.0,0.0,0.23471250848556474,0.2506861167708993,3.7522840739937466,0.3537085958616848,0.4783,0.8738,1.6502,0.0,0.15,0.6,0.0,0.3585,0.9284,1.6502,0.0,0.0,0.6,0.0,0.4296152221790838,0.4078277931025559,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-2.7019036955886673,1,-2.1954544884902383,1,0.0,675168.0,1754606.0,1843200.0,0.0,0.0,0.3752284073993747,none,none
