ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,bullish_score,bearish_score,bearish_score_raw
XLI,0.0,81595.5294300759,0,3,81595.5294300759,3,61.0,74.28,,74.28,3,0,1,0.0,46618.49301177417,0.0,46618.49301177417,0,3,-81595.5294300759,SHORT,0.0,27198.509810025298,0.0,0.57,0.0,1.0,0.05,10.0,0.8596943675734522
CMG,0.0,117098.87829184996,0,3,117098.87829184996,3,54.0,37.62,,37.62,3,0,2,0.0,116690.07240017569,0.0,96365.77608105053,0,3,-117098.87829184996,SHORT,0.0,39032.959430616655,0.0,0.82,0.0,1.0,0.05,9.660826617573965,0.8360852973218937
SPY,321224.82299438963,360470.56749114755,2,3,681695.3904855371,5,51.8,0.84,0.77,0.88,5,1,2,128011.65273793472,216272.06192566664,193213.1702564549,144198.50556548088,2,3,-39245.74449675792,SHORT,160612.41149719481,120156.85583038251,0.6,0.4,0.8911263552808046,1.0,0.6458114949251008,8.501341128586715,0.7553762093346243
XLU,0.0,21027.035139322255,0,2,21027.035139322255,2,43.0,0.66,,0.66,2,0,2,0.0,21027.035139322255,0.0,20766.686576654123,0,2,-21027.035139322255,SHORT,0.0,10513.517569661128,0.0,0.99,0.0,1.0,0.05,6.844793283867564,0.6400677669052689
QQQ,0.0,510085.707897096,0,2,510085.707897096,2,90.0,0.14,,0.14,2,0,0,0.0,0.0,0.0,336059.4702789122,0,2,-510085.707897096,SHORT,0.0,255042.853948548,0.0,0.66,0.0,1.0,0.05,6.748671485186529,0.6333769520732364
IWM,0.0,160341.03591433453,0,1,160341.03591433453,1,56.0,0.52,,0.52,1,0,1,0.0,160341.03591433453,0.0,160341.03591433453,0,1,-160341.03591433453,SHORT,0.0,160341.03591433453,0.0,1.0,0.0,1.0,0.05,6.547743682110134,0.6193908350483948
HOOD,6.9101133092200016,50294.79623035954,1,3,50301.70634366876,4,54.25,0.43,0.96,0.26,4,0,0,0.0,0.0,6.9101133092200016,49321.52759011239,1,3,-50287.88611705032,SHORT,6.9101133092200016,16764.932076786514,1.0,0.98,0.0001373922120604763,1.0,0.21587684713754002,6.470575493583476,0.6140193369341266
CIA,0.0,108343.93478246554,0,1,108343.93478246554,1,56.0,0.22,,0.22,1,0,0,0.0,0.0,0.0,108343.93478246554,0,1,-108343.93478246554,SHORT,0.0,108343.93478246554,0.0,1.0,0.0,1.0,0.05,5.621426851385007,0.5549120750249437
ORCL,61939.41512518056,104004.8325435109,1,1,165944.24766869145,2,49.0,0.32,0.59,0.05,2,0,0,0.0,0.0,61939.41512518056,104004.8325435109,1,1,-42065.41741833034,SHORT,61939.41512518056,104004.8325435109,1.0,1.0,0.5955436262951331,1.0,0.533038018228544,5.594372177723587,0.5530288621190937
LEU,0.0,75140.74576554167,0,1,75140.74576554167,1,90.0,0.77,,0.77,1,0,0,0.0,0.0,0.0,75140.74576554167,0,1,-75140.74576554167,SHORT,0.0,75140.74576554167,0.0,1.0,0.0,1.0,0.05,5.459350500595437,0.5436303172273911
WFC,0.0,75348.92599976427,0,1,75348.92599976427,1,90.0,0.24,,0.24,1,0,0,0.0,0.0,0.0,75348.92599976427,0,1,-75348.92599976427,SHORT,0.0,75348.92599976427,0.0,1.0,0.0,1.0,0.05,5.440235617270365,0.5422997746593274
PLTR,0.0,50909.930514872285,0,1,50909.930514872285,1,56.0,0.11,,0.11,1,0,0,0.0,0.0,0.0,50909.930514872285,0,1,-50909.930514872285,SHORT,0.0,50909.930514872285,0.0,1.0,0.0,1.0,0.05,5.238768122613371,0.528276090958854
QCOM,0.0,42208.06520751509,0,1,42208.06520751509,1,56.0,0.12,,0.12,1,0,0,0.0,0.0,0.0,42208.06520751509,0,1,-42208.06520751509,SHORT,0.0,42208.06520751509,0.0,1.0,0.0,1.0,0.05,5.14523938200065,0.5217657728676427
TLT,0.0,38829.34985659711,0,1,38829.34985659711,1,119.0,0.14,,0.14,1,0,1,0.0,38829.34985659711,0.0,38829.34985659711,0,1,-38829.34985659711,SHORT,0.0,38829.34985659711,0.0,1.0,0.0,0.7,0.0,5.104210120690744,0.518909821419724
HIMS,0.0,42952.81429504807,0,1,42952.81429504807,1,119.0,0.63,,0.63,1,0,0,0.0,0.0,0.0,42952.81429504807,0,1,-42952.81429504807,SHORT,0.0,42952.81429504807,0.0,1.0,0.0,0.7,0.0,4.455418581199998,0.47374895141013784
CRM,2610.428468247889,547.5283881763726,1,3,3157.956856424262,4,44.0,6.82,0.93,8.79,4,0,0,0.0,0.0,2610.428468247889,232.42179576143172,1,3,2062.9000800715166,LONG,2610.428468247889,182.50946272545752,1.0,0.42,4.767658672351807,1.0,0.42357890647037155,4.13499442288246,0.45144497103908104
ALAB,0.0,637.2506161801984,0,2,637.2506161801984,2,44.0,1.65,,1.65,2,0,0,0.0,0.0,0.0,496.31092755139,0,2,-637.2506161801984,SHORT,0.0,318.6253080900992,0.0,0.78,0.0,1.0,0.05,3.544819905087586,0.41036429556969223
U,0.0,142.03764628855336,0,1,142.03764628855336,1,30.0,0.7,,0.7,1,0,0,0.0,0.0,0.0,142.03764628855336,0,1,-142.03764628855336,SHORT,0.0,142.03764628855336,0.0,1.0,0.0,1.0,0.05,2.318139865091916,0.3249779511776527
HPQ,0.0,1.250943863490787,0,1,1.250943863490787,1,32.0,1.0,,1.0,1,0,0,0.0,0.0,0.0,1.250943863490787,0,1,-1.250943863490787,SHORT,0.0,1.250943863490787,0.0,1.0,0.0,1.0,0.05,0.2495628751554886,0.1809891183074418
RDDT,0.0,0.4393762738083951,0,1,0.4393762738083951,1,32.0,0.34,,0.34,1,0,0,0.0,0.0,0.0,0.4393762738083951,0,1,-0.4393762738083951,SHORT,0.0,0.4393762738083951,0.0,1.0,0.0,1.0,0.05,0.0,0.16361762703774663
