ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_z_shadow,bearish_score_z_shadow,bullish_zscore_tier,bearish_zscore_tier,bullish_score_raw,checks_passed,checks_failed
KWEB,93265.79893215258,38462.20534794555,6,4,145373.14895150677,10,61.1,796.197759,1326.879084,0.175773,10,3,0,71978.22715482253,0.0,41889.96528211281,24817.060676536905,6,4,842009.0,402291.5,29467.739964453536,16956.810998945177,2,0,54803.59358420703,LONG,15544.29982202543,9615.551336986387,0.550854,0.354768,2.424868727324143,1.0,0.3333333333333333,0.0,0.025641025641025605,-0.3076923076923077,31-90,0.5,0,0.0,4223436000.0,0.000199,9.5e-05,7e-06,4e-06,0.315954,0.450941,0.0,0.0,0.036804866516328014,0.02276712926864853,6.882072291890249,0.41155654317704604,2.9,0.1323,1.7,0.7778,0.45,0.6,0.322,2.7925,0.0744,0.0,0.4667,0.0,0.6,0.182,0.5719255503989473,0.44807595591012594,2,2,0.6882072291890249,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_continuation",trend_aligned
UVIX,7236.525555874863,0.0,3,0,9212.061193022799,3,84.333333,7.331695,7.331695,,3,2,0,7236.525555787099,0.0,5260.989918639162,0.0,3,0,166596.5,0.0,465.69040864557775,0.0,0,0,7236.525555874863,LONG,2412.175185291621,0.0,0.272995,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.6667,0,0.0,101607448.0,0.00164,0.0,5e-06,0.0,0.101104,0.0,0.0,0.0,0.23740141424392636,0.0,6.817735196314065,0.06,2.9,0.8831,1.7,0.3111,0.3,0.6,0.1236,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.8888081820570564,0.309854302187088,3,3,0.6817735196314065,"not_extended, pullback_to_support, room_to_target","confirmation_volume, momentum_aligned, trend_aligned"
AVTX,1.5885294837877466e-06,1.4194794081196158e-06,10,7,4.596538375695109e-06,17,53.352941,3.113927,4.725771,0.811291,17,0,1,0.0,2.2543506977354073e-07,1.2909137013610637e-06,3.625828382957446e-07,10,7,1385065.0,905564.0,1.5940742349631008e-07,6.113944175459378e-07,0,0,1.6905007566813075e-07,LONG,1.5885294837877465e-07,2.0278277258851655e-07,0.187353,0.744566,1.1190930102269474,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,328837362.0,0.004212,0.002754,0.0,0.0,0.100349,0.430717,0.0,0.0,4.830745126181089e-12,6.1666585376790784e-12,6.662394999999998,0.5255415499047619,2.9,0.0,1.7,1.4,0.0,0.6,0.0624,2.9,0.0,0.2117,0.9333,0.15,0.6,0.4604,0.7783203438190612,0.6756411234566565,3,3,0.6662394999999999,"momentum_aligned, not_extended, pullback_to_support, room_to_target","confirmation_volume, trend_aligned"
YPF,9.033385816397521,0.0,5,0,9.033385816397521,5,63.6,2.911707,2.911707,,5,2,0,9.033385757870906,0.0,9.033385411595079,0.0,5,0,1600618.0,0.0,4.922649057475421,0.0,0,0,9.033385816397521,LONG,1.8066771632795042,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.4,1,0.2,15964566268.0,0.0001,0.0,0.0,0.0,0.54494,0.0,0.0,0.0,1.131679453704219e-06,0.0,6.062182982222222,0.06,2.9,0.0,1.64,0.6222,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.7173318813117341,0.3498356837330293,3,3,0.6062182982222222,"not_extended, retest_and_confirm, room_to_target, trend_aligned","confirmation_volume, momentum_aligned"
IVZ,290925.2622589816,2.5407521662253786e-08,5,4,290925.2622590324,9,98.777778,225.40083,211.828862,242.365789,9,0,2,0.0,1.1138464921850177e-08,149109.3266173944,1.1594805038422569e-08,5,4,4317320.0,268423.5,138425.61912411088,1.438999743652344e-08,0,0,290925.2622589562,LONG,58185.05245179632,6.3518804155634466e-09,0.487465,0.543647,99.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,2,0.2222,11007546407.0,0.000392,2.4e-05,1.3e-05,0.0,0.475812,0.566368,0.0,0.0,0.052859238835272916,5.770477980019337e-15,6.039322828592296,0.39972719372626303,2.9,0.1975,1.7,0.6222,0.0,0.3429,0.2768,0.8709,0.0,1.7,0.4667,0.3,0.3429,0.3169,0.8737216235527762,0.7289273105204525,3,3,0.6039322828592296,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target",trend_aligned
USO,17819.62399334236,0.0,2,0,21524.777719698133,2,48.5,4.697599,4.697599,,2,1,0,14114.470266986591,0.0,14114.470266986591,0.0,2,0,153274.0,0.0,13071.314331717645,0.0,2,0,17819.62399334236,LONG,8909.81199667118,0.0,0.207925,0.0,99.0,1.0,1.0,0.0,0.6923076923076923,-0.3076923076923077,31-90,0.5,0,0.0,1228364647.0,0.000125,0.0,1.1e-05,0.0,0.613292,0.0,0.0,0.0,0.0725339337828662,0.0,5.8587202265359215,0.06,2.9,0.2761,1.7,0.1556,0.15,0.6,0.0771,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.48399638438890025,0.2424231003545976,2,2,0.5858720226535922,"not_extended, retest_and_confirm, room_to_target, trend_aligned","confirmation_volume, momentum_aligned"
TSEM,11.761159325278498,1.5198504150211635e-05,4,3,19.490269608239288,7,52.714286,106.8094,186.585831,0.440824,7,0,0,0.0,0.0,7.729095084456639,7.932173925446268e-06,4,3,6034802.0,678417.0,3.916236371432117,4.824382708972104e-06,0,0,11.761144126774349,LONG,2.9402898313196246,5.066168050070545e-06,0.342829,0.478095,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,0.1429,25260669828.0,0.000239,2.7e-05,0.0,0.0,0.357831,0.317425,0.0,0.0,1.1639793605395541e-06,2.0055557055953398e-12,5.840115952380952,0.21535093473758446,2.9,0.0,1.7,0.4667,0.0,0.6,0.1734,0.9723,0.0,0.0,0.3111,0.0,0.6,0.2701,0.5552510932984732,0.5210718289298373,3,3,0.5840115952380952,"momentum_aligned, trend_aligned, trend_continuation","confirmation_volume, not_extended, room_to_target"
USAR,8151.483617391036,0.9067350400154989,4,1,8153.297087471067,5,44.4,2.210168,2.717762,0.179794,5,2,0,15.739956213403529,0.0,8101.639506367815,0.9067350400154989,4,1,415405.0,44416.0,41.16599691054274,0.6167942413213034,0,0,8150.576882351021,LONG,2037.870904347759,0.9067350400154989,0.006115,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.5,0,0.0,4348624691.0,9.6e-05,1e-05,0.0,0.0,0.00505,0.680236,0.0,0.0,0.004686242316025518,2.085107601702432e-06,5.688989379688314,0.09623312403512961,2.8142,0.0,1.5081,0.4667,0.3,0.6,0.0,0.3623,0.0,0.0,0.0,0.0,0.6,0.0,0.5613673594386658,0.39866586229666123,3,3,0.5688989379688314,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none
LCID,1183.4249784754359,21.104459202252663,3,1,1225.6338968799412,4,77.5,2.595626,3.239116,0.665159,4,0,0,0.0,0.0,1138.3806697975688,21.104459202252663,3,1,438716.0,56187.5,90.56894159124451,0.5490111840109919,0,0,1162.3205192731832,LONG,394.4749928251453,21.104459202252663,0.038063,0.0,56.0746412468659,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,1,0.25,2392094974.0,0.000183,2.3e-05,0.0,0.0,0.076531,0.026014,0.0,0.0,0.0016490774702206507,8.822584149726433e-05,5.511111111111111,0.15487948982772057,2.9,0.0,1.7,0.3111,0.0,0.6,0.0,0.8365,0.0,0.1123,0.0,0.0,0.6,0.0,0.504458595762074,0.46827934292857365,2,3,0.5511111111111111,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned"
SPXS,2.1834070820488662e-05,2542.023551941113,1,4,5082.451448302082,5,36.8,7.959772,9.609756,7.409777,5,1,4,2.1834070820488662e-05,2542.023551941113,2.1834070820488662e-05,2540.4278745198785,1,4,69628.0,226838.5,7.995410514344634e-06,452.8906220124164,0,0,-2542.0235301070425,SHORT,2.1834070820488662e-05,635.5058879852783,0.0,0.000628,8.589248043676056e-09,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,1.0,0,0.0,435516020.0,0.00016,0.000521,0.0,1e-06,0.36619,0.177979,0.0,0.0,5.013379489573922e-10,0.014592020931521146,5.35,0.6306989446156983,2.9,0.0,1.7,0.0,0.15,0.6,0.0,2.9,0.0403,1.7,0.4667,0.6,0.6,0.0,0.6580130128462295,0.8376885475556631,3,3,0.5349999999999999,none,none
