ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,bullish_score_raw,checks_passed,checks_failed
AVTX,7.466111663376784e-07,6.671573850561997e-07,10,7,2.160379717731556e-06,17,53.352941,3.113927,4.725771,0.811291,17,0,1,0.0,1.0595481046767251e-07,6.067313160070083e-07,1.7041446101996595e-07,10,7,1385065.0,905564.0,7.492172074494951e-08,2.873562649198597e-07,0,0,7.945378128147867e-08,LONG,7.466111663376785e-08,9.530819786517139e-08,0.187353,0.744566,1.1190930102269432,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,328837362.0,0.004212,0.002754,0.0,0.0,0.100349,0.430717,0.0,0.0,2.2704572308838755e-12,2.8983384760631725e-12,6.5773895308210655,0.5170410029868685,2.815,0.0,1.7,1.4,0.0,0.6,0.0624,2.815,0.0,0.2117,0.9333,0.15,0.6,0.4604,0.6662394999999999,0.5255415499047619,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.6577389530821065,"momentum_aligned, not_extended, pullback_to_support, room_to_target","confirmation_volume, trend_aligned"
SYY,487.87296882254833,1741.0266175151255,5,10,3969.9262038527995,15,65.866667,13.743729,11.482153,14.874516,15,2,1,487.8728818385818,1.0954471501834523e-05,487.87276248280915,1741.026547299194,5,10,1227903.0,416602.5,238.31093982371758,1011.2051613853089,0,1,-1253.1536486925772,SHORT,97.57459376450967,174.10266175151256,0.0,0.0,0.2802214302265312,1.0,0.0,0.1,-0.3076923076923077,-0.2076923076923077,31-90,0.1,0,0.0,36528040599.0,3.4e-05,1.1e-05,0.0,0.0,0.488469,0.58081,0.0,0.0,2.6712244118339297e-05,4.766274316840275e-05,6.037216753043289,0.5927500303146995,2.815,0.0,1.7,0.6222,0.3,0.6,0.0,2.0775,0.0,1.7,1.4,0.15,0.6,0.0,0.44222949704643716,0.4250745531955577,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.6037216753043289,"momentum_aligned, not_extended, support_ema_confluence","confirmation_volume, room_to_target, trend_aligned"
PRAX,1.4134796221419732,0.0,5,0,1.4134796221419732,5,53.4,31.3125,31.3125,,5,2,0,1.0603152616966375e-26,0.0,0.4891685460244885,0.0,5,0,504160.0,0.0,0.05737061714831486,0.0,0,0,1.4134796221419732,LONG,0.28269592442839464,0.0,0.653926,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.4,0,0.0,9538910303.0,5.3e-05,0.0,0.0,0.0,0.040588,0.0,0.0,0.0,2.963608163287649e-07,0.0,6.003193033302344,0.14071716638128604,2.3853,0.0,1.7,0.6222,0.3,0.6,0.3957,0.8072,0.0,0.0,0.0,0.0,0.6,0.0,0.53808023084475,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.6003193033302344,"momentum_aligned, not_extended, retest_and_confirm, trend_aligned","confirmation_volume, room_to_target"
YPF,4.245704463902782,0.0,5,0,4.245704463902782,5,63.6,2.911707,2.911707,,5,2,0,4.2457044363951875,0.0,4.245704273645045,0.0,5,0,1600618.0,0.0,2.3136522121763083,0.0,0,0,4.245704463902782,LONG,0.8491408927805564,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.4,1,0.2,15964566268.0,0.0001,0.0,0.0,0.0,0.54494,0.0,0.0,0.0,5.318909881583239e-07,0.0,5.9660611135261,0.1295283120106369,2.8039,0.0,1.64,0.6222,0.3,0.6,0.0,0.6953,0.0,0.0,0.0,0.0,0.6,0.0,0.6062182982222222,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.59660611135261,"not_extended, retest_and_confirm, room_to_target, trend_aligned","confirmation_volume, momentum_aligned"
IVZ,136735.29612705388,1.194157211156921e-08,5,4,136735.29612707775,9,98.777778,225.40083,211.828862,242.365789,9,0,2,0.0,5.2350947032375285e-09,70081.60024338201,5.449575221325521e-09,5,4,4317320.0,268423.5,65060.24219256927,6.763319711297559e-09,0,0,136735.29612704195,LONG,27347.059225410776,2.9853930278923027e-09,0.487465,0.543647,99.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,2,0.2222,11007546407.0,0.000392,2.4e-05,6e-06,0.0,0.475812,0.566368,0.0,0.0,0.024843919084474662,2.712133038107211e-15,5.839834852864768,0.594140905463059,2.815,0.083,1.7,0.6222,0.0,0.3429,0.2768,2.815,0.0,1.7,0.4667,0.3,0.3429,0.3169,0.5924840322043702,0.39972719372626303,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5839834852864768,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target",trend_aligned
AS,362.9080392256838,0.0,5,0,725.6539403535847,5,65.0,4.920413,4.920413,,5,1,0,100.04965361426603,0.0,170.34786195633419,0.0,5,0,375735.0,0.0,143.38479982409135,0.0,0,0,362.9080392256838,LONG,72.58160784513676,0.0,0.530603,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.2,0,0.0,20695036732.0,1.8e-05,0.0,0.0,0.0,0.395065,0.0,0.0,0.0,3.507198792882856e-05,0.0,5.770891854814698,0.1457963234330481,2.3911,0.0,1.7,0.6222,0.15,0.6,0.3076,0.858,0.0,0.0,0.0,0.0,0.6,0.0,0.4040126578701105,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5770891854814698,"momentum_aligned, not_extended, support_ema_confluence, trend_aligned","confirmation_volume, room_to_target"
NVT,2.0364321281517097,19415.377778080183,6,5,38823.11333164351,11,63.363636,5.703975,5.692527,5.717713,11,0,0,0.0,0.0,1.4215782188929131,19405.699121194837,6,5,818953.0,1104298.0,0.8497725155498286,1531.6930285741823,0,0,-19413.34134595203,SHORT,0.3394053546919516,3883.0755556160366,0.301927,0.000499,0.00010488758711925896,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,21783342584.0,3.8e-05,5.1e-05,0.0,0.0,0.417285,0.078871,0.0,0.0,1.5580958403566902e-07,0.0017825893985931156,5.63175753554874,0.5737216753043288,2.4097,0.0,1.7,0.7778,0.0,0.6,0.1442,2.815,0.0,1.7,0.6222,0.0,0.6,0.0,0.4546938694092,0.46292880970490435,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.563175753554874,none,none
IP,0.1358780577662506,3.128923516753909e-05,3,2,0.13590934700141818,5,51.4,12.507833,7.193565,20.479235,5,0,0,0.0,0.0,0.08629218502250949,3.1289235167466926e-05,3,2,684066.0,490162.0,0.0521974524245848,1.7786875698711426e-05,0,0,0.13584676853108305,LONG,0.04529268592208353,1.5644617583769546e-05,0.364929,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,19659199825.0,3.5e-05,2.5e-05,0.0,0.0,0.384149,0.568466,0.0,0.0,2.3038926469675645e-08,7.957911676483784e-12,5.615340641932177,0.5038599062763536,2.815,0.0,1.7,0.3111,0.0,0.6,0.1892,2.583,0.0,1.7,0.1556,0.0,0.6,0.0,0.4031978486162219,0.336050753184522,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5615340641932177,none,none
VOYA,12.806442638547082,0.0,4,0,12.806442638547082,4,34.75,22.785441,22.785441,,4,0,0,0.0,0.0,12.806428371339253,0.0,4,0,1179651.0,0.0,11.720384387178239,0.0,0,0,12.806442638547082,LONG,3.2016106596367706,0.0,1e-06,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,8-30,0.0,0,0.0,6906209817.0,0.000171,0.0,0.0,0.0,0.915194,0.0,0.0,0.0,4.635843312718123e-06,0.0,5.581661197487733,0.205,2.815,0.0,1.7,0.4667,0.0,0.6,0.0,1.45,0.0,0.0,0.0,0.0,0.6,0.0,0.5666666666666667,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5581661197487733,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none
SMG,1.6620928442540555e-14,17825.402299556255,2,1,35650.80459911251,3,72.0,4.832929,6.750887,0.997015,3,0,0,0.0,0.0,8.508541250787475e-15,17825.402299556255,2,1,537740.0,400000.0,7.998741092890558e-15,8874.781519849532,0,0,-17825.402299556255,SHORT,8.310464221270277e-15,17825.402299556255,0.488083,0.0,9.324293591373427e-19,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,3832945288.0,0.00014,0.000104,0.0,2e-06,0.481245,0.497873,0.0,0.0,2.1681666699726386e-20,0.04650575721851069,5.547752229233764,0.3924753825806548,2.815,0.0,1.7,0.1556,0.0,0.6,0.2772,2.815,0.1718,0.338,0.0,0.0,0.6,0.0,0.5632757698412698,0.40097592949854816,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5547752229233764,none,none
