ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,bullish_score,bearish_score,bullish_score_raw
GLNG,205866.87579115052,0.0,5,0,205866.87579115052,5,83.6,16.44,16.44,,5,1,0,73261.30226334235,0.0,73261.30226334235,0.0,5,0,205866.87579115052,LONG,41173.375158230105,0.0,0.36,0.0,inf,1.0,10.0,0.05,0.8891305371030681
SPY,304058.2530836245,341206.66646405275,2,3,645264.9195476773,5,51.8,0.84,0.77,0.88,5,1,2,121170.58433720058,204714.2706062295,182887.66874642394,136492.39585782323,2,3,-37148.41338042822,SHORT,152029.12654181226,113735.55548801758,0.6,0.4,0.8911263552808047,1.0,6.393167064374923,0.7553027725671544,0.6457955181147129
NEM,263248.86927487,0.0,2,0,263248.86927487,2,90.0,0.47,0.47,,2,0,0,0.0,0.0,131719.66402274245,0.0,2,0,263248.86927487,LONG,131624.434637435,0.0,0.5,0.0,inf,1.0,5.446856094247177,0.05,0.581952639335794
NFLX,203391.29430514787,0.0,1,0,203391.29430514787,1,90.0,0.26,0.26,,1,0,0,0.0,0.0,203391.29430514787,0.0,1,0,203391.29430514787,LONG,203391.29430514787,0.0,1.0,0.0,inf,1.0,5.3231748291010215,0.05,0.5736084815829959
SLV,229488.17283945892,0.0,2,0,229488.17283945892,2,90.0,0.07,0.07,,2,0,0,0.0,0.0,116837.1452774538,0.0,2,0,229488.17283945892,LONG,114744.08641972946,0.0,0.51,0.0,inf,1.0,5.308831576648803,0.05,0.5726408139171769
AMAT,164815.97462174896,0.0,1,0,164815.97462174896,1,90.0,0.54,0.54,,1,0,0,0.0,0.0,164815.97462174896,0.0,1,0,164815.97462174896,LONG,164815.97462174896,0.0,1.0,0.0,inf,1.0,5.261338936684251,0.05,0.5694367225012882
TQQQ,163877.16619276482,0.0,1,0,163877.16619276482,1,90.0,0.28,0.28,,1,0,0,0.0,0.0,163877.16619276482,0.0,1,0,163877.16619276482,LONG,163877.16619276482,0.0,1.0,0.0,inf,1.0,5.211404035653201,0.05,0.566067863918858
SOXS,22531.014624832056,0.0,1,0,22531.014624832056,1,56.0,1.33,1.33,,1,1,0,22531.014624832056,0.0,22531.014624832056,0.0,1,0,22531.014624832056,LONG,22531.014624832056,0.0,1.0,0.0,inf,1.0,5.082072147340722,0.05,0.5573424868193326
TSM,80381.36872049695,0.0,1,0,80381.36872049695,1,90.0,0.13,0.13,,1,0,0,0.0,0.0,80381.36872049695,0.0,1,0,80381.36872049695,LONG,80381.36872049695,0.0,1.0,0.0,inf,1.0,4.803886180733624,0.05,0.5385746678837708
ORCL,58629.31197042877,98446.7121832211,1,1,157076.02415364987,2,49.0,0.32,0.59,0.05,2,0,0,0.0,0.0,58629.31197042877,98446.7121832211,1,1,-39817.40021279233,SHORT,58629.31197042877,98446.7121832211,1.0,1.0,0.5955436262951332,1.0,4.718296338890409,0.5528286583522038,0.5328003483735938
BMNR,37443.16770688748,0.0,1,0,37443.16770688748,1,90.0,0.42,0.42,,1,0,0,0.0,0.0,37443.16770688748,0.0,1,0,37443.16770688748,LONG,37443.16770688748,0.0,1.0,0.0,inf,1.0,4.448141253639751,0.05,0.5145743329266441
USAR,232.82251483067824,0.0,3,0,232.82251483067824,3,31.33,1.26,1.26,,3,2,0,0.9901689890721815,0.0,231.83234584160607,0.0,3,0,232.82251483067824,LONG,77.60750494355942,0.0,1.0,0.0,inf,1.0,4.061699521288737,0.05,0.4885030377050842
CRM,2470.924608055827,518.2679335634907,1,3,2989.1925416193176,4,44.0,6.82,0.93,8.79,4,0,0,0.0,0.0,2470.924608055827,220.00094681043436,1,3,1952.6566744923362,LONG,2470.924608055827,172.7559778544969,1.0,0.42,4.767658672351807,1.0,3.0884430340485403,0.4504098926586613,0.4228422793528014
NOW,295.46857677043596,0.0,1,0,295.46857677043596,1,58.0,0.42,0.42,,1,0,0,0.0,0.0,295.46857677043596,0.0,1,0,295.46857677043596,LONG,295.46857677043596,0.0,1.0,0.0,inf,1.0,1.8637090672830152,0.05,0.34021559040500166
HOOD,6.54083006981074,47606.992941722565,1,3,47613.533771792376,4,54.25,0.43,0.96,0.26,4,0,0,0.0,0.0,6.54083006981074,46685.736733139354,1,3,-47600.452111652754,SHORT,6.54083006981074,15868.997647240854,1.0,0.98,0.00013739221206047618,1.0,0.0,0.6136521385713716,0.21448044010270795
