ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,bullish_score,bearish_score,bullish_score_raw
GLNG,196264.53643228248,0.0,5,0,196264.53643228248,5,83.6,16.44,16.44,,5,1,0,69844.1430749021,0.0,69844.1430749021,0.0,5,0,196264.53643228248,LONG,39252.907286456495,0.0,0.36,0.0,inf,1.0,10.0,0.05,0.8890184507462006
SPY,289875.9300666107,325291.6136402085,2,3,615167.5437068192,5,51.8,0.84,0.77,0.88,5,1,2,115518.77140397996,195165.69271865144,174357.1586626307,130125.92092155707,2,3,-35415.68357359781,SHORT,144937.96503330534,108430.5378800695,0.6,0.4,0.8911263552808046,1.0,6.400501531059742,0.755238385483382,0.6457815057442696
NEM,250970.03632080107,0.0,2,0,250970.03632080107,2,90.0,0.47,0.47,,2,0,0,0.0,0.0,125575.80571954654,0.0,2,0,250970.03632080107,LONG,125485.01816040053,0.0,0.5,0.0,inf,1.0,5.455438963992865,0.05,0.5819186832892548
NFLX,193904.42458386856,0.0,1,0,193904.42458386856,1,90.0,0.26,0.26,,1,0,0,0.0,0.0,193904.42458386856,0.0,1,0,193904.42458386856,LONG,193904.42458386856,0.0,1.0,0.0,inf,1.0,5.3319249774023465,0.05,0.5735721969599711
SLV,218784.05491867888,0.0,2,0,218784.05491867888,2,90.0,0.07,0.07,,2,0,0,0.0,0.0,111387.45885090287,0.0,2,0,218784.05491867888,LONG,109392.02745933944,0.0,0.51,0.0,inf,1.0,5.317358520081173,0.05,0.572587865223515
AMAT,157128.39052645155,0.0,1,0,157128.39052645155,1,90.0,0.54,0.54,,1,0,0,0.0,0.0,157128.39052645155,0.0,1,0,157128.39052645155,LONG,157128.39052645155,0.0,1.0,0.0,inf,1.0,5.269759286179925,0.05,0.5693713359379835
TQQQ,156233.37135250625,0.0,1,0,156233.37135250625,1,90.0,0.28,0.28,,1,0,0,0.0,0.0,156233.37135250625,0.0,1,0,156233.37135250625,LONG,156233.37135250625,0.0,1.0,0.0,inf,1.0,5.219894136586849,0.05,0.5660016868733306
SOXS,21480.09058619874,0.0,1,0,21480.09058619874,1,56.0,1.33,1.33,,1,1,0,21480.09058619874,0.0,21480.09058619874,0.0,1,0,21480.09058619874,LONG,21480.09058619874,0.0,1.0,0.0,inf,1.0,5.086710652576122,0.05,0.55700178201019
TSM,76632.10513635656,0.0,1,0,76632.10513635656,1,90.0,0.13,0.13,,1,0,0,0.0,0.0,76632.10513635656,0.0,1,0,76632.10513635656,LONG,76632.10513635656,0.0,1.0,0.0,inf,1.0,4.8115823267191065,0.05,0.5384099214933945
ORCL,55894.639149687384,93854.81882730738,1,1,149749.45797699474,2,49.0,0.32,0.59,0.05,2,0,0,0.0,0.0,55894.639149687384,93854.81882730738,1,1,-37960.17967761999,SHORT,55894.639149687384,93854.81882730738,1.0,1.0,0.5955436262951332,1.0,4.7254859895946755,0.5526531497140332,0.5325919415168205
BMNR,35696.68954418736,0.0,1,0,35696.68954418736,1,90.0,0.42,0.42,,1,0,0,0.0,0.0,35696.68954418736,0.0,1,0,35696.68954418736,LONG,35696.68954418736,0.0,1.0,0.0,inf,1.0,4.454853498075925,0.05,0.5143038880495656
USAR,221.96287172783468,0.0,3,0,221.96287172783468,3,31.33,1.26,1.26,,3,2,0,0.9439841008080587,0.0,221.01888762702663,0.0,3,0,221.96287172783468,LONG,73.98762390927823,0.0,1.0,0.0,inf,1.0,4.0580564257121745,0.05,0.4874902337306948
CRM,2355.6721832762314,494.09413407403525,1,3,2849.766317350267,4,44.0,6.82,0.93,8.79,4,0,0,0.0,0.0,2355.6721832762314,209.73934575184938,1,3,1861.578049202196,LONG,2355.6721832762314,164.69804469134507,1.0,0.42,4.767658672351809,1.0,3.091816907402146,0.4495027140698719,0.422196373877196
NOW,281.6869058089079,0.0,1,0,281.6869058089079,1,58.0,0.42,0.42,,1,0,0,0.0,0.0,281.6869058089079,0.0,1,0,281.6869058089079,LONG,281.6869058089079,0.0,1.0,0.0,inf,1.0,1.8648149952159336,0.05,0.3392814346969134
HOOD,6.235743252042492,45386.43900207168,1,3,45392.674745323726,4,54.25,0.43,0.96,0.26,4,0,0,0.0,0.0,6.235743252042492,44508.15335258053,1,3,-45380.20325881964,SHORT,6.235743252042492,15128.813000690561,1.0,0.98,0.00013739221206047602,1.0,0.0,0.6133302136785479,0.2132661283023929
