ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,total_call_premium,total_put_premium,bullish_unusual_premium_share,bearish_unusual_premium_share,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,bullish_unusual_premium_share_tier,bearish_unusual_premium_share_tier,lottery_bullish_premium,lottery_bearish_premium,swing_bullish_premium,swing_bearish_premium,leap_bullish_premium,leap_bearish_premium,bearish_score_raw,checks_passed,checks_failed
GFS,140441.04020036556,452870.715750006,1,2,733752.7961507371,3,46.333333,732.864979,1238.0,480.297468,3,0,0,0.0,0.0,140441.04020036556,452870.71484243317,1,2,396815.5,1976631.0,99065.92439456725,328369.0867430428,0,0,-312429.67554964044,SHORT,140441.04020036556,226435.357875003,0.0,0.0,0.3101128761831708,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,37661442826.0,1.1e-05,5.2e-05,10171993.0,4303528.0,0.039010595072175136,0.4593047843536745,3e-06,9e-06,0.705392,0.725084,0.0,0.0,0.03729040356983098,0.06012392008483563,0.369591998645114,5.439103962669747,1.2617,0.1342,1.7,0.0,0.0,0.6,0.0,2.7569,0.2267,1.7,0.1556,0.0,0.6,0.0,0.2834988916390327,0.4417311686609472,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,793631.0,1976631.0,0.0,747510.0,0.5439103962669747,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned"
HTZ,0.0,371559.50262356387,0,1,743119.0052471277,1,44.0,7.533232,,7.533232,1,0,0,0.0,0.0,0.0,371559.50262356387,0,1,0.0,595000.0,0.0,195.7082800403131,0,1,-371559.50262356387,SHORT,0.0,371559.50262356387,0.0,0.0,0.0,1.0,0.0,1.0,-0.3076923076923077,0.6923076923076923,31-90,0.0,1,1.0,1814815539.0,0.0,0.000328,4055781.0,60918717.0,0.0,0.009767113118945037,0.0,0.0,0.0,0.000527,0.0,0.0,0.0,2.0473678709424137,0.14058054847874213,5.377706639918038,0.8058,0.0,0.0,0.0,0.0,0.6,0.0,1.3777,1.7,1.7,0.0,0.0,0.6,0.0,0.06,0.69,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,0.0,1190000.0,0.0,0.0,0.5377706639918038,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned"
FN,3.765021617221084e-12,4.843714223361023e-25,1,2,3.765021617221569e-12,3,73.666667,35.971591,4.6875,51.613636,3,0,0,0.0,0.0,3.765021617221084e-12,3.428546209843767e-25,1,2,570000.0,5642400.0,9.301271319683988e-13,2.2827152517132985e-25,0,0,3.7650216172205996e-12,LONG,3.765021617221084e-12,2.4218571116805114e-25,0.0,0.292166,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,0.3333,25718587372.0,2.2e-05,0.000219,14002814.0,3962835.0,0.04070610378742444,1.423829152614227,0.0,0.0,0.247044,0.471274,0.0,0.0,1.4639301773316247e-18,9.416757913839403e-32,0.31243773155492544,5.304329273957671,0.8244,0.0,1.7,0.0,0.0,0.6,0.0,2.7115,0.0,1.7,0.1556,0.0,0.6,0.1373,0.31018355633839767,0.5492816984126985,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,570000.0,5642400.0,0.0,0.0,0.5304329273957671,"confirmation_volume, ema_rally, momentum_aligned, not_extended, room_to_target",trend_aligned
CDNS,0.0005256330869048475,4.467546749737328e-07,1,1,0.0010517129284846687,2,53.0,16.125818,21.551724,10.699911,2,0,0,0.0,0.0,0.0005256330869048475,4.467546749737328e-07,1,1,314794.0,15780000.0,1.4036578326616345e-05,9.342463700263529e-08,0,0,0.0005251863322298738,LONG,0.0005256330869048475,4.467546749737328e-07,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,0.5,96400450160.0,3e-06,0.000164,,,,,0.0,0.0,0.026704,0.209118,0.0,0.0,5.4525999207724816e-11,4.6343629540342884e-14,0.31432170569807466,5.1149945308210665,0.8432,0.0,1.7,0.0,0.0,0.6,0.0,2.815,0.0,1.7,0.0,0.0,0.6,0.0,0.23832330638683377,0.52,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,629588.0,15780000.0,0.0,0.0,0.5114994530821066,room_to_target,"confirmation_volume, continuation_pattern, momentum_aligned, not_extended, trend_aligned"
SMMT,8.54595575058212e-11,2.7221298629519344e-09,1,1,2.8075894204577557e-09,2,71.0,13.99496,21.771014,6.218905,2,0,0,0.0,0.0,8.54595575058212e-11,2.7221298629519344e-09,1,1,1007500.0,2000000.0,3.2597826682436104e-11,4.293268027431129e-10,0,0,-2.636670305446113e-09,SHORT,8.54595575058212e-11,2.7221298629519344e-09,0.0,0.0,0.03139437198383587,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,0.5,13179241712.0,7.6e-05,0.000152,,,,,0.0,0.0,0.381442,0.157717,0.0,0.0,6.4844062635264e-17,2.0654677427103967e-15,0.46721759153547077,5.084202605678523,2.3722,0.0,1.7,0.0,0.0,0.6,0.0,2.7842,0.0,1.7,0.0,0.0,0.6,0.0,0.4657379264061632,0.52,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,1007500.0,2000000.0,0.0,0.0,0.5084202605678523,"momentum_aligned, not_extended, resistance_ema_confluence, room_to_target, trend_aligned",confirmation_volume
MTSI,16977.578421765782,13062.596633175583,1,1,43102.77168811695,2,109.0,129.0,52.875,205.125,2,0,1,0.0,13062.596633175583,16977.578421765782,13062.596633175583,1,1,756848.0,574750.0,7115.283425130209,5820.124312247948,0,0,3914.9817885901994,LONG,16977.578421765782,13062.596633175583,0.0,0.0,1.2997093073093269,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,21882491888.0,3.5e-05,2.6e-05,3250617.0,65511.0,0.2328321054126032,8.773335775671262,0.0,0.0,0.419099,0.445556,0.0,0.0,0.0077585215196976755,0.005969428299132101,0.4869487191022308,4.890586928774945,2.815,0.0116,1.7,0.0,0.0,0.3429,0.0,2.6936,0.0041,1.7,0.0,0.15,0.3429,0.0,0.32861250352523497,0.3135724719364802,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,756848.0,1149500.0,0.0,0.0,0.4890586928774945,none,none
INDV,0.0,0.5312734026774082,0,1,1.0625468053548164,1,113.0,294.294118,,294.294118,1,0,0,0.0,0.0,0.0,0.5312734026774082,0,1,0.0,817000.0,0.0,0.22269832239225196,0,0,-0.5312734026774082,SHORT,0.0,0.5312734026774082,0.0,0.0,0.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,4875043133.0,0.0,0.000168,1691692.0,1629.0,0.0,501.5346838551258,0.0,0.0,0.0,0.419178,0.0,0.0,0.0,1.0897819530685334e-06,0.1265798881116037,4.8578516736782085,0.9229,0.0,0.0,0.0,0.0,0.3429,0.0,2.815,0.0,1.7,0.0,0.0,0.3429,0.0,0.03428571428571428,0.4942857142857142,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,0.0,1634000.0,0.0,0.0,0.48578516736782085,room_to_target,"confirmation_volume, continuation_pattern, momentum_aligned, not_extended, trend_aligned"
MDGL,5.962820605977679e-30,1.3572220911721632e-28,1,1,2.774072388404103e-28,2,101.5,13.919414,21.428571,6.410256,2,0,0,0.0,0.0,5.962820605977679e-30,1.3572220911721632e-28,1,1,810000.0,1975000.0,2.8173277677366685e-30,4.882261047011528e-29,0,0,-1.2975938851123865e-28,SHORT,5.962820605977679e-30,1.3572220911721632e-28,0.0,0.0,0.043934007888332384,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,2,1.0,11898044322.0,6.8e-05,0.000166,3167097.0,1873318.0,0.25575471796411664,1.0542790919640979,0.0,0.0,0.472482,0.359725,0.0,0.0,5.011597237835268e-36,1.1407102330780536e-34,0.45878066402943907,4.8578516736782085,2.5449,0.0,1.7,0.0,0.0,0.3429,0.0,2.815,0.0,1.7,0.0,0.0,0.3429,0.0,0.42027705588266895,0.4942857142857142,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,1116000.0,0.0,810000.0,3950000.0,0.0,0.0,0.48578516736782085,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target",trend_aligned
LYV,51681.378640674506,1.1161654382984225e-16,1,2,51681.378640674506,3,69.0,245.924603,34.0,351.886905,3,0,0,0.0,0.0,51681.378640674506,1.1161654381694718e-16,1,2,1283500.0,1920886.0,29517.517149131934,3.8016776881163543e-17,0,0,51681.378640674506,LONG,51681.378640674506,5.580827191492112e-17,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,2,0.6667,37000086869.0,3.5e-05,5.2e-05,,,,,1e-06,0.0,0.571144,0.340602,0.0,0.0,0.013967907379151323,1.508328132107152e-23,0.46262399292804124,4.55125178365993,2.2885,0.0377,1.7,0.0,0.0,0.6,0.0,2.0957,0.0,1.7,0.1556,0.0,0.6,0.0,0.3569343134479403,0.4190639685588233,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,1283500.0,3841772.0,0.0,0.0,0.45512517836599303,none,none
BWXT,0.0,3.03539582790119e-19,0,1,3.03539582790119e-19,1,30.0,18.56,,18.56,1,0,0,0.0,0.0,0.0,3.03539582790119e-19,0,1,0.0,648144.0,0.0,1.5088478339174466e-19,0,0,-3.03539582790119e-19,SHORT,0.0,3.03539582790119e-19,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,8-30,0.0,0,0.0,19851062145.0,0.0,3.3e-05,1674777.0,578609.0,0.0,1.1201761465860365,0.0,0.0,0.0,0.497084,0.0,0.0,0.0,1.529084844795437e-25,0.09685292076641502,4.159898185723584,0.3685,0.0,0.0,0.0,0.0,0.6,0.0,1.8599,0.0,1.7,0.0,0.0,0.6,0.0,0.06,0.34682767175317025,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,0.0,648144.0,0.0,0.0,0.41598981857235845,"confirmation_volume, engulfing_at_resistance, momentum_aligned, not_extended, room_to_target, trend_aligned",none
