ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bearish_score_raw,checks_passed,checks_failed
PL,0.0,137132.45538091383,0,2,201955.22060285066,2,77.0,46.4,,46.4,2,0,0,0.0,0.0,0.0,72309.690158977,0,2,0.0,-137132.45538091383,SHORT,0.0,68566.22769045692,0.0,0.527298,0.0,1.0,450368303.3952622,0.0,0.000304,0.115,10.0,0.5824210082223427,"bearish_rejection_wick, confirmation_volume, gamma_headwind, pullback_to_resistance, put_wall_clear, room_to_target, short_dated_noise","bearish_strong_close, bounce_and_fail, flag_breakdown, healthy_pullback_volume, not_extended, structural_breakdown, trend_aligned"
GLNG,40813.88928991772,35224.213949963065,4,8,111262.31718984384,12,87.166667,7.421904,20.516249,0.874732,12,1,4,14532.974149734802,20475.7701345472,14532.974149734802,6078.695819169752,4,8,0.0,5589.675339954658,LONG,10203.47232247943,4403.026743745383,0.356079,0.172572,1.1586884336977665,1.0,156350828.99401626,0.000261,0.000225,0.5662610248761741,8.171396715237785,0.530598212774833,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned"
NEXT,0.0,10723.262962345554,0,3,21138.773127325265,3,77.666667,0.563543,,0.563543,3,0,0,0.0,0.0,0.0,10253.310716428361,0,3,0.0,-10723.262962345554,SHORT,0.0,3574.420987448518,0.0,0.956175,0.0,1.0,38463487.04565468,0.0,0.000279,0.115,8.036176545625137,0.5267660599789765,"bearish_rejection_wick, confirmation_volume, gamma_headwind, pullback_to_resistance, room_to_target, short_dated_noise","bearish_strong_close, bounce_and_fail, flag_breakdown, healthy_pullback_volume, not_extended, structural_breakdown, trend_aligned"
DAL,5813.31982414301,87404.45016252137,2,15,138281.14322377395,17,90.235294,0.46918,1.325973,0.35494,17,1,9,1780.0528447094543,55548.12921211951,4033.2669794335557,20023.957725096338,2,15,0.0,-81591.13033837837,SHORT,2906.659912071505,5826.963344168092,0.693798,0.229095,0.06651057026654388,0.7,912619354.7164516,6e-06,9.6e-05,0.2449562019067391,6.823101619265588,0.4923873982456807,"bounce_and_fail, gamma_tailwind, not_extended, put_wall_clear, room_to_target, short_dated_noise, trend_aligned","bearish_rejection_wick, bearish_strong_close, confirmation_volume, flag_breakdown, healthy_pullback_volume, pullback_to_resistance, structural_breakdown"
SHLS,0.0,5189.362695013361,0,1,10378.725390026722,1,119.0,109.6,,109.6,1,0,1,0.0,5189.362695013361,0.0,5189.362695013361,0,1,0.0,-5189.362695013361,SHORT,0.0,5189.362695013361,0.0,1.0,0.0,0.7,41367499.18826029,0.0,0.000125,0.065,3.962734042195509,0.41132430211848153,"healthy_pullback_volume, not_extended, put_wall_clear, room_to_target, short_dated_noise, strong_trend, trend_aligned","bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, pullback_to_resistance, structural_breakdown"
AEM,15.775939208777178,45591.51945330332,1,3,53009.74660652878,4,58.5,0.968474,1.378049,0.831949,4,1,1,15.775939208777178,7386.675274807909,15.775939208777178,38152.11375260472,1,3,0.0,-45575.743514094545,SHORT,15.775939208777178,15197.173151101108,1.0,0.836825,0.00034602793234245096,1.0,477319582.55250853,0.0,9.6e-05,0.23100971300572884,3.6003402428312232,0.40105402649752125,"bounce_and_fail, confirmation_volume, put_wall_clear, room_to_target, swing_dte_dominant","bearish_rejection_wick, bearish_strong_close, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, structural_breakdown, trend_aligned"
CVI,5178.700828601229,49.590060425038466,2,2,5273.7535132819285,4,44.0,140.179816,2.583055,277.776578,4,0,2,0.0,49.590060425038466,5177.3161628597745,45.462624255661105,2,2,0.0,5129.1107681761905,LONG,2589.3504143006144,24.795030212519233,0.999733,0.916769,99.0,1.0,55581414.24045944,9.3e-05,1e-06,0.37253178388444486,3.3395822799040333,0.3936641203944912,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned"
GDX,0.0,126557.71641345255,0,2,139332.61232264567,2,73.0,0.507416,,0.507416,2,0,1,0.0,12774.895909193128,0.0,113782.82050425942,0,2,0.0,-126557.71641345255,SHORT,0.0,63278.858206726276,0.0,0.899059,0.0,1.0,2279809350.173809,0.0,5.6e-05,0.115,2.9389349269968097,0.38230973533496904,"bounce_and_fail, confirmation_volume, gamma_tailwind, put_wall_clear, strong_trend, swing_dte_dominant, trend_aligned","bearish_rejection_wick, bearish_strong_close, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown"
LYV,23471.224941845525,29551.267746676807,2,7,82573.76043519915,9,87.111111,5.128924,0.328579,6.500451,9,1,3,10582.675552660028,19010.756845453565,12888.549389185497,6563.5467050833795,2,7,0.0,-6080.042804831282,SHORT,11735.612470922762,4221.609678096686,0.549121,0.222107,0.7942544172063476,1.0,496934926.70155334,4.7e-05,5.9e-05,0.34338948565997,2.8546803431196746,0.3799219522099116,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned"
MRVL,208.17611431591783,24372.058518767844,5,9,24660.558200663072,14,67.428571,0.232834,0.176902,0.263908,14,0,2,0.0,66.63984310906655,143.42339903807982,23881.737983034483,5,9,0.0,-24163.882404451928,SHORT,41.635222863183564,2708.0065020853162,0.688952,0.979882,0.008541589302176121,1.0,1927089128.4081802,0.0,1.3e-05,0.25427867598029386,2.6994882835394116,0.3755237941043652,"bearish_rejection_wick, bounce_and_fail, confirmation_volume, gamma_tailwind, healthy_pullback_volume, not_extended, put_wall_clear, room_to_target, swing_dte_dominant","bearish_strong_close, flag_breakdown, pullback_to_resistance, structural_breakdown, trend_aligned"
