ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bullish_score_raw
GLNG,182638.85805164973,0.0,5,0,182638.85805164973,5,83.6,16.43556,16.43556,,5,1,0,64995.20883742272,0.0,64995.20883742272,0.0,5,0,182638.85805164973,LONG,36527.771610329946,0.0,0.355867,0.0,inf,1.0,156350828.99401626,0.001168,0.0,10.0,0.05,0.8979970788308992
USAR,206.55308472513477,0.0,3,0,206.55308472513477,3,31.333333,1.261801,1.261801,,3,2,0,0.8784479423769134,0.0,205.67463678275786,0.0,3,0,206.55308472513477,LONG,68.85102824171159,0.0,0.995747,0.0,inf,1.0,212582988.77191713,1e-06,0.0,2.6291723978710264,0.05,0.3580258065504411
SPY,269751.2745115445,302708.2219182516,2,3,572459.4964297961,5,51.8,0.837898,0.770209,0.883025,5,1,2,107498.87308363541,181616.30163527926,162252.4014279091,121091.9202829723,2,3,-32956.9474067071,SHORT,134875.63725577225,100902.7406394172,0.601489,0.400029,0.8911263552808045,1.0,58829483394.85289,5e-06,5e-06,2.480357755502108,0.46319343186765327,0.3471239599585202
NEM,233546.42500392505,0.0,2,0,233546.42500392505,2,90.0,0.473432,0.473432,,2,0,0,0.0,0.0,116857.69712882962,0.0,2,0,233546.42500392505,LONG,116773.21250196252,0.0,0.500362,0.0,inf,1.0,1041712104.1442688,0.000224,0.0,2.422973175976189,0.05,0.34292008678599617
SOXS,19988.833881167953,0.0,1,0,19988.833881167953,1,56.0,1.328358,1.328358,,1,1,0,19988.833881167953,0.0,19988.833881167953,0.0,1,0,19988.833881167953,LONG,19988.833881167953,0.0,1.0,0.0,inf,1.0,2190147622.7168655,9e-06,0.0,2.1265956773536656,0.05,0.32120809681077556
AMAT,146219.74165539787,0.0,1,0,146219.74165539787,1,90.0,0.538188,0.538188,,1,0,0,0.0,0.0,146219.74165539787,0.0,1,0,146219.74165539787,LONG,146219.74165539787,0.0,1.0,0.0,inf,1.0,2529371657.304361,5.8e-05,0.0,1.821261734856497,0.05,0.29883997666196305
SLV,203594.95748251944,0.0,2,0,203594.95748251944,2,90.0,0.066005,0.066005,,2,0,0,0.0,0.0,103654.3771769142,0.0,2,0,203594.95748251944,LONG,101797.47874125972,0.0,0.509121,0.0,inf,1.0,3383183574.7619033,6e-05,0.0,1.7630555312382252,0.05,0.2945759130426626
NFLX,180442.5971239033,0.0,1,0,180442.5971239033,1,90.0,0.26066,0.26066,,1,0,0,0.0,0.0,180442.5971239033,0.0,1,0,180442.5971239033,LONG,180442.5971239033,0.0,1.0,0.0,inf,1.0,5013415483.062258,3.6e-05,0.0,1.7336056679159095,0.05,0.29241847821647793
TQQQ,145386.85924660825,0.0,1,0,145386.85924660825,1,90.0,0.277038,0.277038,,1,0,0,0.0,0.0,145386.85924660825,0.0,1,0,145386.85924660825,LONG,145386.85924660825,0.0,1.0,0.0,inf,1.0,4798698263.319898,3e-05,0.0,1.6787454526478836,0.05,0.28839953464122736
ORCL,52014.15014184291,87338.94184280346,1,1,139353.09198464637,2,49.0,0.320032,0.592157,0.047907,2,0,0,0.0,0.0,52014.15014184291,87338.94184280346,1,1,-35324.791700960544,SHORT,52014.15014184291,87338.94184280346,1.0,1.0,0.5955436262951331,1.0,4574635010.135596,1.1e-05,1.9e-05,1.4905829694896877,0.2892121259299818,0.2746151482858831
TSM,71311.91618526148,0.0,1,0,71311.91618526148,1,90.0,0.126289,0.126289,,1,0,0,0.0,0.0,71311.91618526148,0.0,1,0,71311.91618526148,LONG,71311.91618526148,0.0,1.0,0.0,inf,1.0,4550137408.487854,1.6e-05,0.0,1.4841110257739543,0.05,0.2741410273498158
BMNR,33218.44451926298,0.0,1,0,33218.44451926298,1,90.0,0.42315,0.42315,,1,0,0,0.0,0.0,33218.44451926298,0.0,1,0,33218.44451926298,LONG,33218.44451926298,0.0,1.0,0.0,inf,1.0,977961590.406112,3.4e-05,0.0,1.467291510172924,0.05,0.2729088651383966
CRM,2192.1294866536045,459.7916162425832,1,3,2651.9211028961877,4,44.0,6.823191,0.934653,8.786037,4,0,0,0.0,0.0,2192.1294866536045,195.1781778458733,1,3,1732.3378704110214,LONG,2192.1294866536045,153.26387208086106,1.0,0.424493,4.767658672351804,1.0,2818850071.0199037,1e-06,0.0,0.9767688293045571,0.3064566078210978,0.23697420890055304
NOW,262.1307738027976,0.0,1,0,262.1307738027976,1,58.0,0.415313,0.415313,,1,0,0,0.0,0.0,262.1307738027976,0.0,1,0,262.1307738027976,LONG,262.1307738027976,0.0,1.0,0.0,inf,1.0,1996466267.387992,0.0,0.0,0.5282705673043037,0.05,0.2041181728866458
HOOD,5.802826365675471,42235.482482232925,1,3,42241.2853085986,4,54.25,0.430927,0.957845,0.255288,4,0,0,0.0,0.0,5.802826365675471,41418.17187185904,1,3,-42229.67965586725,SHORT,5.802826365675471,14078.494160744309,1.0,0.980649,0.00013739221206047613,1.0,1916649833.3274515,0.0,2.2e-05,0.0,0.36650670531446694,0.16541818616422768
