ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,total_call_premium,total_put_premium,bullish_unusual_premium_share,bearish_unusual_premium_share,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,bullish_unusual_premium_share_z,bullish_unusual_premium_share_tier,bearish_unusual_premium_share_z,bearish_unusual_premium_share_tier,lottery_bullish_premium,lottery_bearish_premium,swing_bullish_premium,swing_bearish_premium,leap_bullish_premium,leap_bearish_premium,bearish_score_raw,checks_passed,checks_failed
MPWR,28705.387253897516,0.023535598459464326,7,14,28709.454766609488,21,66.952381,11.327028,14.705873,9.507651,21,0,0,0.0,0.0,28701.36498829506,0.02181294149283448,7,14,5186165.0,13102732.0,6808.56133577022,0.008703789470946428,1,0,28705.363718299057,LONG,4100.769607699645,0.0016811141756760233,0.00014,0.073194,99.0,1.0,0.14285714285714285,0.0,-0.16483516483516486,-0.3076923076923077,91+,0.0,0,0.0,67871397300.0,7.6e-05,0.000193,,,,,0.0,0.0,0.237238,0.360927,0.0,0.0,0.0006041970212538479,2.476911103281534e-10,0.47249091697180257,6.46516373854376,1.5414,0.0,1.6502,0.9333,0.0,0.6,0.0,2.815,0.0,1.6502,1.4,0.0,0.6,0.0,0.5590712597394965,0.6599999999999999,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.0688940051985045,1,-3.4349330006686785,1,0.0,0.0,6034850.0,13575457.0,704918.0,0.0,0.646516373854376,"ema_rally, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned"
SITM,1.4767885223763713e-08,4.222186623650077,1,6,4.23963342406873,7,100.714286,16.035897,4.769231,18.289231,7,0,0,0.0,0.0,1.4767885223763713e-08,4.2047398016563,1,6,622200.0,3123530.0,5.9811352353489026e-09,1.5828625259595557,0,1,-4.2221866088821915,SHORT,1.4767885223763713e-08,0.7036977706083462,0.0,0.004132,3.4976865165180423e-09,0.7,0.0,0.16666666666666666,-0.3076923076923077,-0.14102564102564105,31-90,0.0,0,0.0,20747811999.0,3e-05,0.000151,,,,,0.0,0.0,0.40501,0.374023,0.0,0.0,7.117803662610541e-15,3.391672194842824e-07,0.28658915214790737,5.268578655589736,0.8729,0.0,1.6502,0.0,0.0,0.3429,0.0,2.4978,0.0,1.6502,0.7778,0.0,0.3429,0.0,0.3114291251190203,0.572063492063492,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-1.813654871481645,1,-1.7341817030377251,1,0.0,0.0,622200.0,3658590.0,0.0,0.0,0.5268578655589736,"ema_rally, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned"
EYE,0.0,0.024312472104430095,0,1,0.04862494420886019,1,72.0,51.546392,,51.546392,1,0,0,0.0,0.0,0.0,0.024312472104430095,0,1,0.0,950000.0,0.0,0.009253237570376696,0,1,-0.024312472104430095,SHORT,0.0,0.024312472104430095,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,1797016796.0,0.0,0.000529,970917.0,2686.0,0.0,353.6857781087118,0.0,0.0,0.0,0.380596,0.0,0.0,0.0,1.3529351622393014e-07,0.2107058566891103,5.065163738543761,0.948,0.0,0.5591,0.0,0.0,0.6,0.0,2.815,0.0,1.6502,0.0,0.0,0.6,0.0,0.06,0.52,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-0.9110352851905203,1,3.5,1,0.0,0.0,0.0,1900000.0,0.0,0.0,0.5065163738543761,"bounce_and_fail, confirmation_volume, momentum_aligned, not_extended, room_to_target",trend_aligned
RIOT,0.0,337746.15095994476,0,1,675492.3019198895,1,31.0,4.158021,,4.158021,1,0,0,0.0,0.0,0.0,337746.15095994476,0,1,0.0,809177.5,0.0,76987.20985686564,0,1,-337746.15095994476,SHORT,0.0,337746.15095994476,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,7280023339.0,0.0,0.000111,34756054.0,7971381.0,0.0,0.10151032800966357,0.0,1.1e-05,0.0,0.227944,0.0,0.0,0.0,0.4639355332153898,0.10419283379864647,4.412463583492064,0.1944,0.0,0.2475,0.0,0.0,0.6,0.0,0.5656,1.5967,1.6502,0.0,0.0,0.6,0.0,0.06,0.6796692245864446,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-2.0229908460705426,1,0.0,0.0,0.0,1618355.0,0.0,0.0,0.44124635834920645,"confirmation_volume, ema_rally, momentum_aligned, not_extended, room_to_target, trend_aligned",none
ESLT,0.0010886947440785543,3.618150420453984e-13,1,1,0.0010886947444403692,2,112.0,30.333333,20.666667,40.0,2,0,0,0.0,0.0,0.0010886947440785543,3.618150420453984e-13,1,1,581560.0,603200.0,0.0005939064353623644,2.5396343387167804e-13,1,0,0.0010886947437167393,LONG,0.0010886947440785543,3.618150420453984e-13,0.0,0.0,99.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,39292087486.0,1.5e-05,1.5e-05,846519.0,1477161.0,0.6870017093532454,0.4083508838914648,0.0,0.0,0.545522,0.701915,0.0,0.0,2.7707734908878603e-10,9.208343592697008e-20,0.43195764142965454,4.258870193057536,2.3266,0.0,1.6502,0.0,0.0,0.3429,0.0,2.2658,0.0,1.6502,0.0,0.0,0.3429,0.0,0.2593875013585534,0.2593875013585534,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-0.4270699385881217,1,-1.3075300100963532,1,0.0,0.0,581560.0,603200.0,0.0,0.0,0.42588701930575357,none,none
IREN,1.4914745139603165e-09,0.0018048420584716952,1,5,0.0019481702940719141,6,77.0,6.809822,3.320542,7.507679,6,0,1,0.0,0.00026869044187266317,1.4914745139603165e-09,0.0005569575098078359,1,5,986512.5,17303868.5,1.4079517597505353e-10,0.0007961864456040746,0,1,-0.0018048405669971812,SHORT,1.4914745139603165e-09,0.000360968411694339,0.0,0.691409,8.263739793515604e-07,1.0,0.0,0.2,-0.3076923076923077,-0.1076923076923077,31-90,0.2,0,0.0,13844849831.0,7.1e-05,0.00125,,,,,0.0,0.0,0.0944,0.447851,0.0,0.0,1.077277494639744e-15,2.6072396313472084e-10,0.2424436835224,4.129368258695298,0.1743,0.0,1.6502,0.0,0.0,0.6,0.0,0.6845,0.0,1.6502,0.6222,0.15,0.6,0.4224,0.45350437003235994,0.6394657222222221,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-3.316406048518331,1,3195706.0,994944.0,1973025.0,18270245.0,0.0,0.0,0.41293682586952984,"ema_rally, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume
ASML,0.0,1251016.2730033002,0,6,1251016.2730033002,6,70.666667,7.86552,,7.86552,6,0,2,0.0,1192025.1968671293,0.0,1192014.8000085724,0,6,0.0,8744087.0,0.0,404596.3592012409,0,1,-1251016.2730033002,SHORT,0.0,208502.7121672167,0.0,0.047163,0.0,1.0,0.0,0.16666666666666666,-0.3076923076923077,-0.14102564102564105,91+,0.3333,0,0.0,668113813924.0,0.0,1.3e-05,,,,,0.0,1e-06,0.0,0.323414,0.0,0.0,0.0,0.0031207663697690666,0.09555538087854434,3.6126924279198596,0.2849,0.0,0.0707,0.0,0.0,0.6,0.0,0.2847,0.0,1.6502,0.7778,0.3,0.6,0.0,0.06,0.38543244356932377,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-2.7594609727957535,1,0.0,3482280.0,0.0,8744087.0,0.0,0.0,0.36126924279198597,"ema_rally, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned"
FDX,0.0,2.159419804983686e-25,0,2,2.159419804983686e-25,2,91.5,4.135205,,4.135205,2,0,1,0.0,1.98048026536164e-25,0.0,1.98048026536164e-25,0,2,0.0,1174436.0,0.0,1.0254416790157852e-25,0,1,-2.159419804983686e-25,SHORT,0.0,1.079709902491843e-25,0.0,0.082865,0.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.5,0,0.0,76907812595.0,0.0,1.5e-05,10683227.0,1022003.0,0.0,1.1491512255834866,0.0,0.0,0.0,0.474869,0.0,0.0,0.0,1.4039014582011894e-32,0.10066111531792922,3.571452174071003,0.3689,0.0,0.2948,0.0,0.0,0.3429,0.0,1.2729,0.0,1.6502,0.1556,0.15,0.3429,0.0,0.03428571428571428,0.28994305691410893,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-2.852812606813584,1,0.6918757793673992,1,0.0,0.0,0.0,1174436.0,0.0,0.0,0.35714521740710026,"confirmation_volume, momentum_aligned, not_extended, resistance_ema_confluence, room_to_target",trend_aligned
SIMO,1.5054336417227175e-09,2.0478258743059664e-09,6,3,3.5532595517565586e-09,9,41.0,20.263144,17.211383,26.366667,9,0,0,0.0,0.0,1.5054336059948428e-09,2.047825874305966e-09,6,3,2925704.0,1713275.0,5.634340107304721e-10,7.994838047688814e-10,1,1,-5.423922325832489e-10,SHORT,2.5090560695378627e-10,6.826086247686554e-10,0.0,0.0,0.7351375234639652,1.0,0.16666666666666666,0.3333333333333333,-0.14102564102564105,0.025641025641025605,31-90,0.0,0,0.0,7739550638.0,0.000378,0.000221,,,,,0.0,0.0,0.374267,0.390406,0.0,0.0,3.2418627216143325e-16,8.819744927013622e-16,0.4630706226724315,3.5533798365460685,1.6028,0.0,1.6502,0.7778,0.0,0.6,0.0,0.9921,0.0,1.6502,0.3111,0.0,0.6,0.0,0.5977777777777777,0.5511111111111111,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-2.7994085465762755,1,-1.358723551889852,1,0.0,0.0,3760440.0,2479120.0,0.0,0.0,0.35533798365460684,none,none
BE,5.442364643514778,0.0016542935363478212,5,3,10.886636240044043,8,72.875,4.688525,3.051074,7.417609,8,1,2,0.00010867090514208341,0.0006011880414202867,5.441455526592848,0.0010531054949275344,5,3,10297148.0,7863739.0,2.318469321066771,0.00012217000276434673,1,0,5.44071034997843,LONG,1.0884729287029555,0.0005514311787826071,0.000167,0.363411,99.0,1.0,0.2,0.0,-0.1076923076923077,-0.3076923076923077,91+,0.2,0,0.0,62036294888.0,0.000166,0.000127,,,,,0.0,0.0,0.426032,0.060843,0.0,0.0,1.7545743675828462e-07,8.888847726611624e-11,0.3386837064820166,3.4396566389883594,0.3644,0.0,1.6502,0.6222,0.15,0.6,0.0,0.3902,0.0,1.6502,0.3111,0.3,0.6,0.1882,0.5972222222222221,0.5999261825396826,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-3.2184432526645623,1,2326421.0,15944824.0,12002417.0,8396739.0,0.0,0.0,0.3439656638988359,none,none
CAVA,0.0,8.150183310087941e-05,0,1,8.150183310087941e-05,1,74.0,2.354949,,2.354949,1,0,0,0.0,0.0,0.0,8.150183310087941e-05,0,1,0.0,710700.0,0.0,5.3601304395316255e-05,0,1,-8.150183310087941e-05,SHORT,0.0,8.150183310087941e-05,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,7172460052.0,0.0,9.9e-05,4732285.0,3419439.0,0.0,0.2078411107786979,0.0,0.0,0.0,0.65767,0.0,0.0,0.0,1.1363163058419974e-10,0.12641628489276574,3.3262531988819926,0.5586,0.0,0.1056,0.0,0.0,0.6,0.0,1.0761,0.0,1.6502,0.0,0.0,0.6,0.0,0.06,0.47400883318310444,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-2.8152774365176225,1,-1.7131343701383022,1,0.0,0.0,0.0,710700.0,0.0,0.0,0.33262531988819927,"confirmation_volume, momentum_aligned, not_extended, trend_aligned, trend_continuation",room_to_target
GLW,10976.019174361556,5.810457855708792e-10,4,2,21952.035937811877,6,83.5,5.612301,4.876307,7.084291,6,1,1,10976.016763449741,1.8597792204482972e-10,10976.016763449741,3.9506786352604957e-10,4,2,7272095.5,5638237.0,4273.601676501543,8.501314797238213e-11,1,0,10976.019174360976,LONG,2744.004793590389,2.905228927854396e-10,0.0,0.320074,99.0,1.0,0.25,0.0,-0.05769230769230771,-0.3076923076923077,31-90,0.25,0,0.0,135892623099.0,5.4e-05,4.1e-05,,,,,0.0,0.0,0.389358,0.146311,0.0,0.0,0.00020192448500985492,2.1378856788553483e-17,0.3575786953819732,3.3153246490168597,0.709,0.0,1.6502,0.4667,0.15,0.6,0.0,0.6024,0.0,1.6502,0.1556,0.15,0.6,0.1572,0.4707238518227324,0.4178967084759478,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-2.2611988601717257,1,0.0,0.0,7691946.0,5638237.0,0.0,1475155.0,0.331532464901686,none,none
CSCO,2.6339141652125816e-17,4.261662210418453e-21,1,2,5.268680662867247e-17,3,58.666667,1.579306,1.475789,1.682822,3,0,1,0.0,6.185094719259218e-22,2.6339141652125816e-17,3.643152738492531e-21,1,2,293401.0,3176052.5,3.6194779594023565e-18,3.350917804245681e-21,1,0,2.6334879989915397e-17,LONG,2.6339141652125816e-17,2.1308311052092266e-21,0.0,0.145133,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,483101646889.0,1e-06,7e-06,,,,,0.0,0.0,0.137418,0.786294,0.0,0.0,5.452091049935427e-25,4.4107303689213416e-29,0.27221403153028406,3.3053282188446316,0.472,0.0,1.6502,0.0,0.0,0.6,0.0,0.7174,0.0,1.6502,0.1556,0.15,0.6,0.0322,0.12635365199999998,0.19870697684646588,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.435346215761864,1,-3.032364878170523,1,0.0,565893.0,586802.0,6352105.0,916679.0,672006.0,0.33053282188446315,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned"
ROKU,0.0,3.925532351637007e-64,0,1,7.851064703274014e-64,1,32.0,1.416337,,1.416337,1,0,0,0.0,0.0,0.0,3.925532351637007e-64,0,1,0.0,370350.0,0.0,2.785967880127073e-64,0,1,-3.925532351637007e-64,SHORT,0.0,3.925532351637007e-64,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,20050609415.0,0.0,1.8e-05,54273027.0,122241.0,0.0,3.0296708960168846,0.0,0.0,0.0,0.709704,0.0,0.0,0.0,1.9578119898442033e-70,0.18805709205817425,3.268247019661263,0.8741,0.0,0.4065,0.0,0.0,0.6,0.0,1.0181,0.0,1.6502,0.0,0.0,0.6,0.0,0.06,0.1883439945050311,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-0.47307457054935975,1,1607575.0,0.0,0.0,740700.0,0.0,0.0,0.3268247019661263,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned"
XLE,0.0,161511.36071738822,0,1,323022.72143477644,1,31.0,29.138614,,29.138614,1,0,0,0.0,0.0,0.0,161511.36071738822,0,1,0.0,255252.0,0.0,81759.39678527687,0,1,-161511.36071738822,SHORT,0.0,161511.36071738822,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,60.195428,0.0,0.0,,,,,0.0,0.0,0.0,0.506215,0.0,0.0,0.0,0.0,0.20255961516479282,3.228890059782272,0.9787,0.0,0.4469,0.0,0.0,0.6,0.0,0.9787,0.0,1.6502,0.0,0.0,0.6,0.0,0.06,0.23,3,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,-0.6745,3,-0.6745,3,0.0,0.0,0.0,510504.0,0.0,0.0,0.3228890059782272,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned"
SLV,0.0,804930.247454161,0,1,1609860.494908322,1,38.0,2.502021,,2.502021,1,0,0,0.0,0.0,0.0,804930.247454161,0,1,0.0,1140700.0,0.0,217988.65846562406,0,1,-804930.247454161,SHORT,0.0,804930.247454161,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,1.0,38529495748.0,0.0,3e-05,,,,,0.0,6e-06,0.0,0.270817,0.0,0.0,0.0,0.20891273862465318,0.0756815931553489,3.2181320227058237,0.107,0.0,0.0498,0.0,0.0,0.6,0.0,0.1838,0.7842,1.6502,0.0,0.0,0.6,0.0,0.06,0.38169910066391904,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-2.0444920329115375,1,0.0,0.0,0.0,2281400.0,0.0,0.0,0.32181320227058235,"ema_rally, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned"
CAH,0.0,3.3019446069221026e-52,0,1,6.603889213844205e-52,1,85.0,1.067114,,1.067114,1,0,0,0.0,0.0,0.0,3.3019446069221026e-52,0,1,0.0,293228.0,0.0,1.990864809687077e-52,0,1,-3.3019446069221026e-52,SHORT,0.0,3.3019446069221026e-52,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,55548944689.0,0.0,5e-06,2730505.0,446082.0,0.0,0.6573410269860698,0.0,0.0,0.0,0.602937,0.0,0.0,0.0,5.944207627000996e-59,0.1502237898637683,3.0950802967779802,0.5474,0.0,0.3548,0.0,0.0,0.6,0.0,0.8449,0.0,1.6502,0.0,0.0,0.6,0.0,0.06,0.11505029122592114,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-1.9200995391702094,1,-0.9433035819417467,1,0.0,0.0,0.0,586456.0,0.0,0.0,0.309508029677798,"bounce_and_fail, confirmation_volume, momentum_aligned, not_extended, room_to_target",trend_aligned
