ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,total_call_premium,total_put_premium,bullish_unusual_premium_share,bearish_unusual_premium_share,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,bullish_unusual_premium_share_z,bullish_unusual_premium_share_tier,bearish_unusual_premium_share_z,bearish_unusual_premium_share_tier,lottery_bullish_premium,lottery_bearish_premium,swing_bullish_premium,swing_bearish_premium,leap_bullish_premium,leap_bearish_premium,bullish_score_raw,checks_passed,checks_failed
EA,3.76111180198695e-54,1.5035222200787344e-53,2,2,2.2557445804761246e-53,4,107.0,17.170851,22.026432,12.315271,4,0,0,0.0,0.0,1.9236220666650814e-54,9.53726781393227e-54,2,2,818750.0,3350000.0,1.3925648951622692e-54,3.664905031910658e-54,2,2,-1.1274110398800394e-53,SHORT,1.880555900993475e-54,7.517611100393672e-54,0.48855,0.365672,0.250153389937263,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,4,1.0,51032942024.0,1.6e-05,6.6e-05,18734526.0,1075001.0,0.04370273365870052,3.1162761709058877,0.0,0.0,0.370254,0.243755,0.0,0.0,3.684984299178909e-61,1.4730898910077056e-60,5.241112151242172,0.5153342151242173,2.815,0.0,1.6502,0.1556,0.0,0.3429,0.2775,2.815,0.0,1.6502,0.1556,0.0,0.3429,0.1898,0.30637175974379977,0.4497255888703685,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-1.3611997922969041,1,1.4678573886898976,1,0.0,0.0,1637500.0,3350000.0,1850000.0,0.0,0.5241112151242172,none,none
LQD,4.763264097963854e-06,0.0,2,0,9.526528195927709e-06,2,52.0,4.380392,4.380392,,2,0,0,0.0,0.0,4.763264097963854e-06,0.0,2,0,1365000.0,0.0,1.979650575740934e-06,0.0,1,0,4.763264097963854e-06,LONG,2.381632048981927e-06,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,0.5,28970709478.0,4.7e-05,0.0,,,,,0.0,0.0,0.415608,0.0,0.0,0.0,8.220827490574607e-13,0.0,5.220719294099316,0.1798280075279154,2.815,0.0,1.6502,0.1556,0.0,0.6,0.0,0.8122,0.0,0.3861,0.0,0.0,0.6,0.0,0.40486615590241276,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-1.0217101998012488,1,-1.024444882814674,1,0.0,0.0,2160000.0,0.0,0.0,0.0,0.5220719294099316,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none
ASST,1259.5012777230193,0.0,2,0,2519.0025554460385,2,87.5,326.776907,326.776907,,2,0,0,0.0,0.0,1259.5012777230193,0.0,2,0,2679087.5,0.0,703.5104948479402,0.0,1,0,1259.5012777230193,LONG,629.7506388615096,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,881807330.0,0.003038,0.0,,,,,1e-06,0.0,0.558563,0.0,0.0,0.0,0.007141589975913555,0.0,5.101140283275733,0.12410833882274165,2.6864,0.009,1.6502,0.1556,0.0,0.6,0.0,0.3861,0.0,0.255,0.0,0.0,0.6,0.0,0.5364591606592821,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-2.319224462366547,1,0.0,0.0,3369475.0,0.0,0.0,0.0,0.5101140283275732,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned"
ALKS,6.204002320845347e-06,0.0,1,0,6.204002320845347e-06,1,67.0,130.0,130.0,,1,0,0,0.0,0.0,6.204002320845347e-06,0.0,1,0,601250.0,0.0,2.87003558151347e-06,0.0,1,0,6.204002320845347e-06,LONG,6.204002320845347e-06,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,8012106042.0,7.5e-05,0.0,1312473.0,307353.0,0.4581046619625699,0.0,0.0,0.0,0.46261,0.0,0.0,0.0,7.743285333872953e-12,0.0,5.065163738543761,0.18138424388117275,2.815,0.0,1.6502,0.0,0.0,0.6,0.0,0.7387,0.0,0.4751,0.0,0.0,0.6,0.0,0.4633192587499025,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-0.17630658706817454,1,-0.8604287475948003,1,0.0,0.0,601250.0,0.0,529380.0,0.0,0.5065163738543761,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none
EMN,4.2004859894740926e-29,0.0,1,0,4.2004859894740926e-29,1,51.0,4.118644,4.118644,,1,0,0,0.0,0.0,4.2004859894740926e-29,0.0,1,0,564000.0,0.0,1.4341968580515288e-29,0.0,1,0,4.2004859894740926e-29,LONG,4.2004859894740926e-29,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,7945035221.0,7.1e-05,0.0,641331.0,39545.0,0.8794210789748196,0.0,0.0,0.0,0.341436,0.0,0.0,0.0,5.286931867050175e-35,0.0,5.065163738543761,0.1720781580040502,2.815,0.0,1.6502,0.0,0.0,0.6,0.0,0.7607,0.0,0.3601,0.0,0.0,0.6,0.0,0.45350437003235994,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1.350723231126984,1,-1.0868076680864782,1,0.0,0.0,564000.0,0.0,0.0,0.0,0.5065163738543761,"not_extended, room_to_target, trend_continuation","confirmation_volume, momentum_aligned, trend_aligned"
ZBRA,1.410271093336429e-47,0.0,1,0,1.410271093336429e-47,1,38.0,83.647059,83.647059,,1,0,0,0.0,0.0,1.410271093336429e-47,0.0,1,0,2751570.0,0.0,7.641211656093405e-48,0.0,1,0,1.410271093336429e-47,LONG,1.410271093336429e-47,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,1.0,11323409946.0,0.000243,0.0,559079.0,10195523.0,4.921612151413306,0.0,0.0,0.0,0.541826,0.0,0.0,0.0,1.2454473520448741e-53,0.0,5.065163738543761,0.15367749472306225,2.815,0.0,1.6502,0.0,0.0,0.6,0.0,0.637,0.0,0.2998,0.0,0.0,0.6,0.0,0.52,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,3.5,1,-1.4789394896924402,1,0.0,0.0,2751570.0,0.0,0.0,0.0,0.5065163738543761,"momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",confirmation_volume
XP,1.8684191489225002e-56,0.0,1,0,1.8684191489225002e-56,1,45.0,197.159091,197.159091,,1,0,0,0.0,0.0,1.8684191489225002e-56,0.0,1,0,769500.0,0.0,5.875312128263985e-57,0.0,1,0,1.8684191489225002e-56,LONG,1.8684191489225002e-56,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,1.0,6529590038.0,0.000118,0.0,3325549.0,19717.0,0.23139036592153656,0.0,0.0,0.0,0.314454,0.0,0.0,0.0,2.8614647137859105e-62,0.0,5.065163738543761,0.19361216841144196,2.815,0.0,1.6502,0.0,0.0,0.6,0.0,0.8746,0.0,0.4615,0.0,0.0,0.6,0.0,0.52,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-0.8104098574769173,1,-1.0670807778850278,1,0.0,0.0,769500.0,0.0,0.0,0.0,0.5065163738543761,"momentum_aligned, not_extended, room_to_target","confirmation_volume, continuation_pattern, trend_aligned"
SMH,97896.01814494698,779197.3042149532,10,9,1585841.0702679746,19,47.842105,44.242901,49.232828,38.698538,19,4,4,42419.43513077283,100258.97857924,17136.121351757287,310641.29809883167,10,9,3830625.5,8601322.5,45520.98231942486,229197.05356569026,0,2,-681301.2860700062,SHORT,9789.601814494697,86577.47824610591,0.824956,0.601332,0.1256370082588747,1.0,0.0,0.2222222222222222,-0.3076923076923077,-0.0854700854700855,31-90,0.4444,0,0.0,73490152722.0,5.2e-05,0.000117,,,,,1e-06,3e-06,0.464993,0.277453,0.0,0.0,0.0013320970840170923,0.011780827095789675,5.049465387187251,0.48139281017219887,0.2993,0.0,1.6502,1.4,0.6,0.6,0.5,0.3327,0.0285,1.6502,1.2444,0.6,0.6,0.3581,0.6535084130032678,0.7431083485605801,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-3.5,1,0.0,5936109.0,7661251.0,10025295.0,0.0,1176000.0,0.5049465387187251,none,none
PONY,2.672768644733473e-54,0.0,1,0,2.672768644733473e-54,1,107.0,10.776119,10.776119,,1,1,0,2.672768644733473e-54,0.0,2.672768644733473e-54,0.0,1,0,561018.0,0.0,4.928814529611005e-55,0.0,1,0,2.672768644733473e-54,LONG,2.672768644733473e-54,0.0,0.0,0.0,99.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,1.0,0,0.0,3173524168.0,0.000177,0.0,1371464.0,73026.0,0.40906505748601496,0.0,0.0,0.0,0.184409,0.0,0.0,0.0,8.422083788376787e-60,0.0,4.958020881400903,0.12497868608962225,2.815,0.0,1.6502,0.0,0.15,0.3429,0.0,0.6227,0.0,0.2843,0.0,0.0,0.3429,0.0,0.5092857142857142,0.03428571428571428,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-0.9457581915431715,1,-1.4798979892349406,1,0.0,0.0,561018.0,0.0,0.0,0.0,0.4958020881400903,"bounce_and_fail, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned"
CLS,2823877.4212291753,3.785000161222384e-12,2,1,2823877.4212291753,3,76.666667,19.454832,26.222571,5.919355,3,0,0,0.0,0.0,1492607.9434462967,3.785000161222384e-12,2,1,6021909.0,638651.0,1284841.4971132209,4.596185426300705e-13,2,0,2823877.4212291753,LONG,1411938.7106145876,3.785000161222384e-12,0.471433,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,40378555178.0,0.000149,1.6e-05,,,,,3.2e-05,0.0,0.454992,0.121432,0.0,0.0,0.3496753918980919,9.37378800340191e-19,4.8412430829770665,0.2636894115105728,0.9185,1.2517,1.6502,0.1556,0.0,0.6,0.2653,0.3867,0.0,1.6502,0.0,0.0,0.6,0.0,0.6872595808241351,0.2887769184739585,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-3.102920730995689,1,0.0,0.0,6021909.0,638651.0,535020.0,0.0,0.48412430829770664,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target",trend_aligned
