ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bullish_score_raw,checks_passed,checks_failed
ACHR,27925.066784234972,0.0,2,0,55850.133568469944,2,56.0,580.96875,580.96875,,2,1,0,14351.373332503856,0.0,14351.373332503856,0.0,2,0,0.0,27925.066784234972,LONG,13962.533392117486,0.0,0.513924,0.0,99.0,1.0,178902341.47694007,0.000156,0.0,10.0,0.115,0.5821486747616249,"call_wall_clear, confirmation_volume, gamma_headwind, gamma_tailwind, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, short_dated_noise","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, structural_breakout, trend_aligned"
GLNG,45278.94461683357,39077.75662550902,4,8,123434.45786785161,12,87.166667,7.421904,20.516249,0.874732,12,1,4,16122.88716151027,22715.827333275116,16122.88716151027,6743.707500739383,4,8,0.0,6201.18799132455,LONG,11319.736154208393,4884.719578188628,0.356079,0.172572,1.1586884336977668,1.0,156350828.99401626,0.00029,0.00025,9.613923460544099,0.5308178660694239,0.566587298404388,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
KRE,318918.5680443043,1305.0753581016968,1,2,320449.69340248185,3,63.333333,1.443071,0.988091,1.670561,3,0,0,0.0,0.0,318918.5680443043,1079.0253580258957,1,2,0.0,317613.49268620263,LONG,318918.5680443043,652.5376790508484,1.0,0.826792,99.0,1.0,1535442951.4671748,0.000208,1e-06,8.124786296480636,0.2604949600383082,0.5065654594959741,"bullish_rejection_wick, call_wall_clear, gamma_tailwind, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, swing_dte_dominant","bounce_and_fail, bullish_strong_close, confirmation_volume, flag_breakout, structural_breakout, trend_aligned"
BA,42107.88987991187,43204.66523422736,10,7,96806.06364587319,17,68.235294,4.834135,2.803661,7.734813,17,5,1,11490.754741625857,608.2551735913714,23881.60019523642,41387.59980608446,10,7,0.0,-1096.7753543154904,SHORT,4210.788987991187,6172.095033461052,0.567153,0.957943,0.9746144230404403,1.0,1440513031.847644,2.9e-05,3e-05,7.660816921966233,0.3728570434378322,0.4878644991495475,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
AA,33921.14909711035,57.69733866375552,5,1,67899.99553288445,6,90.0,11.293747,13.485066,0.337151,6,1,0,15523.72535887207,0.0,15523.72535887207,57.69733866375552,5,1,0.0,33863.451758446594,LONG,6784.229819422069,57.69733866375552,0.457641,1.0,99.0,1.0,394294243.08651024,8.6e-05,0.0,5.4791441271879195,0.22753192077091045,0.39992900455633595,"call_wall_clear, confirmation_volume, gamma_tailwind, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, short_dated_noise","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, structural_breakout, trend_aligned"
CVI,5745.2527089426485,55.0152322798951,2,2,5850.7041942144015,4,44.0,140.179816,2.583055,277.776578,4,0,2,0.0,55.0152322798951,5743.716560231733,50.436252991858474,2,2,0.0,5690.237476662754,LONG,2872.6263544713242,27.50761613994755,0.999733,0.916769,99.0,1.0,55581414.24045944,0.000103,1e-06,4.803704056977144,0.3945114423288512,0.372704410298106,"bullish_strong_close, confirmation_volume, short_dated_noise, strong_trend, trend_aligned","bounce_and_fail, bullish_rejection_wick, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout"
MU,168151.0555898183,200051.83040115237,8,4,458617.4751794126,12,61.666667,1.263831,1.111049,1.569395,12,1,2,12322.995858959353,56088.59498926999,46021.64609646951,112743.22825348948,8,4,0.0,-31900.774811334064,SHORT,21018.88194872729,50012.95760028809,0.273692,0.56357,0.8405374509827513,1.0,16277594132.928183,1e-05,1.2e-05,4.771421527283048,0.351527582458976,0.3714032159933666,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
META,123641.57892214059,73704.4300966635,7,4,258580.8239891553,11,82.545455,0.240247,0.295927,0.142808,11,1,1,11364.993147471774,20480.169040908284,31860.25429916594,35132.27637637303,7,4,0.0,49937.14882547708,LONG,17663.08270316294,18426.107524165876,0.257682,0.476664,1.6775325276918147,1.0,7390575412.021637,1.7e-05,1e-05,4.547257558741132,0.32049589405842116,0.3623679612609018,"call_wall_clear, confirmation_volume, gamma_tailwind, healthy_pullback_volume, pullback_to_support, room_to_target, swing_dte_dominant","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, not_extended, structural_breakout, trend_aligned"
LYV,26038.986058934555,32784.18790608957,2,7,91607.36187111371,9,87.111111,5.128924,0.328579,6.500451,9,1,3,11740.424364927705,21090.54102182862,14298.561694006852,7281.601261727485,2,7,0.0,-6745.201847155018,SHORT,13019.493029467278,4683.455415155653,0.549121,0.222107,0.7942544172063474,1.0,496934926.70155334,5.2e-05,6.6e-05,4.079406066640019,0.3805653100852882,0.3435105265197477,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
FCX,2988.733255688522,4923.3546077323745,5,4,10906.234048608532,9,74.444444,0.138149,0.128169,0.150624,9,2,0,10.945612421974777,0.0,2915.3253619899415,4890.520946901803,5,4,0.0,-1934.6213520438523,SHORT,597.7466511377045,1230.8386519330936,0.975438,0.993331,0.6070522019670423,1.0,1011453069.5733621,3e-06,5e-06,4.044002424261047,0.2954192064095188,0.34208353122950647,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
