ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,bullish_score,bearish_score,bearish_score_raw
XLI,0.0,82635.05146041042,0,3,82635.05146041042,3,61.0,74.28,,74.28,3,0,1,0.0,47212.4097477182,0.0,47212.4097477182,0,3,-82635.05146041042,SHORT,0.0,27545.01715347014,0.0,0.57,0.0,1.0,0.05,10.0,0.8597620168176049
CMG,0.0,118590.71080475935,0,3,118590.71080475935,3,54.0,37.62,,37.62,3,0,2,0.0,118176.69675114905,0.0,97593.47014598559,0,3,-118590.71080475935,SHORT,0.0,39530.23693491978,0.0,0.82,0.0,1.0,0.05,9.66062225777452,0.8361405924234124
SPY,325317.2074978707,365062.9403675973,2,3,690380.147865468,5,51.8,0.84,0.77,0.88,5,1,2,129642.51332662241,219027.35470319883,195674.69417124832,146035.58566439844,2,3,-39745.73286972655,SHORT,162658.60374893536,121687.64678919909,0.6,0.4,0.8911263552808047,1.0,0.6458151573268177,8.500492401091671,0.7553930468790965
XLU,0.0,21294.918274741773,0,2,21294.918274741773,2,43.0,0.66,,0.66,2,0,2,0.0,21294.918274741773,0.0,21031.25288738545,0,2,-21294.918274741773,SHORT,0.0,10647.459137370886,0.0,0.99,0.0,1.0,0.05,6.845138198039073,0.6401768164433463
QQQ,0.0,516584.1684674415,0,2,516584.1684674415,2,90.0,0.14,,0.14,2,0,0,0.0,0.0,0.0,340340.84727710736,0,2,-516584.1684674415,SHORT,0.0,258292.08423372076,0.0,0.66,0.0,1.0,0.05,6.747442031251824,0.6333769520732364
IWM,0.0,162383.77085782736,0,1,162383.77085782736,1,56.0,0.52,,0.52,1,0,1,0.0,162383.77085782736,0.0,162383.77085782736,0,1,-162383.77085782736,SHORT,0.0,162383.77085782736,0.0,1.0,0.0,1.0,0.05,6.546945156969016,0.6194219362666998
HOOD,6.99814772810563,50935.54884337433,1,3,50942.546991102434,4,54.25,0.43,0.96,0.26,4,0,0,0.0,0.0,6.99814772810563,49949.88082046446,1,3,-50928.55069564623,SHORT,6.99814772810563,16978.516281124776,1.0,0.98,0.0001373922120604762,1.0,0.21619869620659865,6.470533674958228,0.6141035319620156
CIA,0.0,109724.22985311665,0,1,109724.22985311665,1,56.0,0.22,,0.22,1,0,0,0.0,0.0,0.0,109724.22985311665,0,1,-109724.22985311665,SHORT,0.0,109724.22985311665,0.0,1.0,0.0,1.0,0.05,5.620747590494149,0.5549565837450388
ORCL,62728.5194672737,105329.8477183053,1,1,168058.367185579,2,49.0,0.32,0.59,0.05,2,0,0,0.0,0.0,62728.5194672737,105329.8477183053,1,1,-42601.328251031606,SHORT,62728.5194672737,105329.8477183053,1.0,1.0,0.5955436262951331,1.0,0.5330925067163925,5.593710859306774,0.5530747688168683
LEU,0.0,76098.03424868075,0,1,76098.03424868075,1,90.0,0.77,,0.77,1,0,0,0.0,0.0,0.0,76098.03424868075,0,1,-76098.03424868075,SHORT,0.0,76098.03424868075,0.0,1.0,0.0,1.0,0.05,5.458838226098827,0.5436873420301981
WFC,0.0,76308.86668629324,0,1,76308.86668629324,1,90.0,0.24,,0.24,1,0,0,0.0,0.0,0.0,76308.86668629324,0,1,-76308.86668629324,SHORT,0.0,76308.86668629324,0.0,1.0,0.0,1.0,0.05,5.439720469341453,0.5423567048385262
PLTR,0.0,51558.51990086755,0,1,51558.51990086755,1,56.0,0.11,,0.11,1,0,0,0.0,0.0,0.0,51558.51990086755,0,1,-51558.51990086755,SHORT,0.0,51558.51990086755,0.0,1.0,0.0,1.0,0.05,5.238429664653576,0.5283464297597857
QCOM,0.0,42745.79336428388,0,1,42745.79336428388,1,56.0,0.12,,0.12,1,0,0,0.0,0.0,0.0,42745.79336428388,0,1,-42745.79336428388,SHORT,0.0,42745.79336428388,0.0,1.0,0.0,1.0,0.05,5.144985612535412,0.5218425217612179
TLT,0.0,39324.03338744043,0,1,39324.03338744043,1,119.0,0.14,,0.14,1,0,1,0.0,39324.03338744043,0.0,39324.03338744043,0,1,-39324.03338744043,SHORT,0.0,39324.03338744043,0.0,1.0,0.0,0.7,0.0,5.103994093048385,0.5189894234053377
HIMS,0.0,43500.0305094221,0,1,43500.0305094221,1,119.0,0.63,,0.63,1,0,0,0.0,0.0,0.0,43500.0305094221,0,1,-43500.0305094221,SHORT,0.0,43500.0305094221,0.0,1.0,0.0,0.7,0.0,4.45510158307337,0.4738251021866855
CRM,2643.6851665046424,554.5038661923664,1,3,3198.189032697009,4,44.0,6.82,0.93,8.79,4,0,0,0.0,0.0,2643.6851665046424,235.38283515551987,1,3,2089.181300312276,LONG,2643.6851665046424,184.83462206412216,1.0,0.42,4.767658672351808,1.0,0.4237477906036514,4.136968488716242,0.4516823512025782
ALAB,0.0,645.3691498669147,0,2,645.3691498669147,2,44.0,1.65,,1.65,2,0,0,0.0,0.0,0.0,502.63389826668543,0,2,-645.3691498669147,SHORT,0.0,322.6845749334573,0.0,0.78,0.0,1.0,0.05,3.5466079407949485,0.4105919810545803
U,0.0,143.84719717308246,0,1,143.84719717308246,1,30.0,0.7,,0.7,1,0,0,0.0,0.0,0.0,143.84719717308246,0,1,-143.84719717308246,SHORT,0.0,143.84719717308246,0.0,1.0,0.0,1.0,0.05,2.3204134115098967,0.32524619150414075
HPQ,0.0,1.2668808114325834,0,1,1.2668808114325834,1,32.0,1.0,,1.0,1,0,0,0.0,0.0,0.0,1.2668808114325834,0,1,-1.2668808114325834,SHORT,0.0,1.2668808114325834,0.0,1.0,0.0,1.0,0.05,0.25095163639834617,0.18120717899579936
RDDT,0.0,0.4449739005340292,0,1,0.4449739005340292,1,32.0,0.34,,0.34,1,0,0,0.0,0.0,0.0,0.4449739005340292,0,1,-0.4449739005340292,SHORT,0.0,0.4449739005340292,0.0,1.0,0.0,1.0,0.05,0.0,0.1637404026924672
